ImpactID	Desc	Name	IsForever	MaxOverlayCount	IsNeedNoticeClient	BuffIcon	BuffType	LogicID	DelayTime	EffectId	PlayTime	IsRemoveEffectFadeOut	FadeOutRule	MutexcollectionId	Mutexpriority	ParamValue_01	ParamValue_02	ParamValue_03	ParamValue_04	ParamValue_05	ParamValue_06	ParamValue_07	ParamValue_08	ParamValue_09	ParamValue_10	ParamValue_11	ParamValue_12	ParamValue_13	ParamValue_14	ParamValue_15
1306	类型伤害	迦叶功6级	0	-1	0	-1	0	0	832	-1	-1	0	2	-1	-1	250	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
1307	类型伤害	迦叶功7级	0	-1	0	-1	0	0	832	-1	-1	0	2	-1	-1	270	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
1308	类型伤害	迦叶功8级	0	-1	0	-1	0	0	832	-1	-1	0	2	-1	-1	290	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
1309	类型伤害	迦叶功9级	0	-1	0	-1	0	0	832	-1	-1	0	2	-1	-1	320	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
1310	类型伤害	迦叶功10级	0	-1	0	-1	0	0	832	-1	-1	0	2	-1	-1	350	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
1401	类型伤害单次	摩诃无量1级	0	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	65	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
1402	类型伤害单次	摩诃无量2级	0	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	70	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
1403	类型伤害单次	摩诃无量3级	0	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	75	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
1404	类型伤害单次	摩诃无量4级	0	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	80	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
1405	类型伤害单次	摩诃无量5级	0	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	85	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
1406	类型伤害单次	摩诃无量6级	0	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	90	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
1407	类型伤害单次	摩诃无量7级	0	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	95	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
1408	类型伤害单次	摩诃无量8级	0	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	100	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
1409	类型伤害单次	摩诃无量9级	0	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	105	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
1410	类型伤害单次	摩诃无量10级	0	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	110	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
1501	类型伤害	罗汉棍1级	0	-1	0	-1	0	0	667	-1	-1	0	2	-1	-1	200	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
1502	类型伤害	罗汉棍2级	0	-1	0	-1	0	0	667	-1	-1	0	2	-1	-1	210	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
1503	类型伤害	罗汉棍3级	0	-1	0	-1	0	0	667	-1	-1	0	2	-1	-1	220	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
1504	类型伤害	罗汉棍4级	0	-1	0	-1	0	0	667	-1	-1	0	2	-1	-1	230	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
1505	类型伤害	罗汉棍5级	0	-1	0	-1	0	0	667	-1	-1	0	2	-1	-1	240	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
1506	类型伤害	罗汉棍6级	0	-1	0	-1	0	0	667	-1	-1	0	2	-1	-1	250	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
1507	类型伤害	罗汉棍7级	0	-1	0	-1	0	0	667	-1	-1	0	2	-1	-1	270	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
1508	类型伤害	罗汉棍8级	0	-1	0	-1	0	0	667	-1	-1	0	2	-1	-1	290	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
1509	类型伤害	罗汉棍9级	0	-1	0	-1	0	0	667	-1	-1	0	2	-1	-1	310	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
1510	类型伤害	罗汉棍10级	0	-1	0	-1	0	0	667	-1	-1	0	2	-1	-1	330	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
2101	类型伤害	天山普攻	0	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	50	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2201	修正当前血量秒杀	八荒六合XP技	0	-1	0	-1	0	0	0	-1	-1	0	2	-1	-1	0	0	100	0	0	100	4	5	3	4	300	0	-1	-1	-1
2301	类型伤害第1刀	阳歌天钧1级	0	-1	0	-1	0	0	100	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2302	类型伤害第2刀	阳歌天钧1级	0	-1	0	-1	0	0	200	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2303	类型伤害第3刀	阳歌天钧1级	0	-1	0	-1	0	0	300	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2304	类型伤害第4刀	阳歌天钧1级	0	-1	0	-1	0	0	400	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2305	类型伤害第5刀	阳歌天钧1级	0	-1	0	-1	0	0	500	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2306	类型伤害第6刀	阳歌天钧1级	0	-1	0	-1	0	0	1000	-1	-1	0	2	-1	-1	100	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
2307	类型伤害第1刀	阳歌天钧2级	0	-1	0	-1	0	0	100	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2308	类型伤害第2刀	阳歌天钧2级	0	-1	0	-1	0	0	200	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2309	类型伤害第3刀	阳歌天钧2级	0	-1	0	-1	0	0	300	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2310	类型伤害第4刀	阳歌天钧2级	0	-1	0	-1	0	0	400	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2311	类型伤害第5刀	阳歌天钧2级	0	-1	0	-1	0	0	500	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2312	类型伤害第6刀	阳歌天钧2级	0	-1	0	-1	0	0	1000	-1	-1	0	2	-1	-1	110	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
2313	类型伤害第1刀	阳歌天钧3级	0	-1	0	-1	0	0	100	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2314	类型伤害第2刀	阳歌天钧3级	0	-1	0	-1	0	0	200	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2315	类型伤害第3刀	阳歌天钧3级	0	-1	0	-1	0	0	300	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2316	类型伤害第4刀	阳歌天钧3级	0	-1	0	-1	0	0	400	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2317	类型伤害第5刀	阳歌天钧3级	0	-1	0	-1	0	0	500	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2318	类型伤害第6刀	阳歌天钧3级	0	-1	0	-1	0	0	1000	-1	-1	0	2	-1	-1	120	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
2319	类型伤害第1刀	阳歌天钧4级	0	-1	0	-1	0	0	100	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2320	类型伤害第2刀	阳歌天钧4级	0	-1	0	-1	0	0	200	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2321	类型伤害第3刀	阳歌天钧4级	0	-1	0	-1	0	0	300	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2322	类型伤害第4刀	阳歌天钧4级	0	-1	0	-1	0	0	400	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2323	类型伤害第5刀	阳歌天钧4级	0	-1	0	-1	0	0	500	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2324	类型伤害第6刀	阳歌天钧4级	0	-1	0	-1	0	0	1000	-1	-1	0	2	-1	-1	130	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
2325	类型伤害第1刀	阳歌天钧5级	0	-1	0	-1	0	0	100	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2326	类型伤害第2刀	阳歌天钧5级	0	-1	0	-1	0	0	200	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2327	类型伤害第3刀	阳歌天钧5级	0	-1	0	-1	0	0	300	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2328	类型伤害第4刀	阳歌天钧5级	0	-1	0	-1	0	0	400	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2329	类型伤害第5刀	阳歌天钧5级	0	-1	0	-1	0	0	500	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2330	类型伤害第6刀	阳歌天钧5级	0	-1	0	-1	0	0	1000	-1	-1	0	2	-1	-1	140	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
2331	类型伤害第1刀	阳歌天钧6级	0	-1	0	-1	0	0	100	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2332	类型伤害第2刀	阳歌天钧6级	0	-1	0	-1	0	0	200	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2333	类型伤害第3刀	阳歌天钧6级	0	-1	0	-1	0	0	300	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2334	类型伤害第4刀	阳歌天钧6级	0	-1	0	-1	0	0	400	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2335	类型伤害第5刀	阳歌天钧6级	0	-1	0	-1	0	0	500	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2336	类型伤害第6刀	阳歌天钧6级	0	-1	0	-1	0	0	1000	-1	-1	0	2	-1	-1	150	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
2337	类型伤害第1刀	阳歌天钧7级	0	-1	0	-1	0	0	100	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2338	类型伤害第2刀	阳歌天钧7级	0	-1	0	-1	0	0	200	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2339	类型伤害第3刀	阳歌天钧7级	0	-1	0	-1	0	0	300	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2340	类型伤害第4刀	阳歌天钧7级	0	-1	0	-1	0	0	400	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2341	类型伤害第5刀	阳歌天钧7级	0	-1	0	-1	0	0	500	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2342	类型伤害第6刀	阳歌天钧7级	0	-1	0	-1	0	0	1000	-1	-1	0	2	-1	-1	170	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
2343	类型伤害第1刀	阳歌天钧8级	0	-1	0	-1	0	0	100	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2344	类型伤害第2刀	阳歌天钧8级	0	-1	0	-1	0	0	200	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2345	类型伤害第3刀	阳歌天钧8级	0	-1	0	-1	0	0	300	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2346	类型伤害第4刀	阳歌天钧8级	0	-1	0	-1	0	0	400	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2347	类型伤害第5刀	阳歌天钧8级	0	-1	0	-1	0	0	500	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2348	类型伤害第6刀	阳歌天钧8级	0	-1	0	-1	0	0	1000	-1	-1	0	2	-1	-1	190	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
2349	类型伤害第1刀	阳歌天钧9级	0	-1	0	-1	0	0	100	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2350	类型伤害第2刀	阳歌天钧9级	0	-1	0	-1	0	0	200	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2351	类型伤害第3刀	阳歌天钧9级	0	-1	0	-1	0	0	300	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2352	类型伤害第4刀	阳歌天钧9级	0	-1	0	-1	0	0	400	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2353	类型伤害第5刀	阳歌天钧9级	0	-1	0	-1	0	0	500	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2354	类型伤害第6刀	阳歌天钧9级	0	-1	0	-1	0	0	1000	-1	-1	0	2	-1	-1	210	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
2355	类型伤害第1刀	阳歌天钧10级	0	-1	0	-1	0	0	100	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2356	类型伤害第2刀	阳歌天钧10级	0	-1	0	-1	0	0	200	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2357	类型伤害第3刀	阳歌天钧10级	0	-1	0	-1	0	0	300	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2358	类型伤害第4刀	阳歌天钧10级	0	-1	0	-1	0	0	400	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2359	类型伤害第5刀	阳歌天钧10级	0	-1	0	-1	0	0	500	-1	-1	0	2	-1	-1	20	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1
2360	类型伤害第6刀	阳歌天钧10级	0	-1	0	-1	0	0	1000	-1	-1	0	2	-1	-1	230	0	0	0	30	0	0	0	0	0	0	0	-1	-1	-1
2401	类型伤害第1刀	阳关三叠1级	0	-1	0	-1	0	0	733	-1	-1	0	2	-1	-1	135	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2402	类型伤害第2刀	阳关三叠1级	0	-1	0	-1	0	0	1067	-1	-1	0	2	-1	-1	135	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2403	类型伤害第3刀	阳关三叠1级	0	-1	0	-1	0	0	1400	-1	-1	0	2	-1	-1	135	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2404	类型伤害第4刀	阳关三叠1级	0	-1	0	-1	0	0	1733	-1	-1	0	2	-1	-1	135	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2405	类型伤害第5刀	阳关三叠1级	0	-1	0	-1	0	0	2033	-1	-1	0	2	-1	-1	135	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2406	类型伤害第6刀	阳关三叠1级	0	-1	0	-1	0	0	3300	-1	-1	0	2	-1	-1	135	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2407	类型伤害第1刀	阳关三叠2级	0	-1	0	-1	0	0	733	-1	-1	0	2	-1	-1	143	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2408	类型伤害第2刀	阳关三叠2级	0	-1	0	-1	0	0	1067	-1	-1	0	2	-1	-1	143	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2409	类型伤害第3刀	阳关三叠2级	0	-1	0	-1	0	0	1400	-1	-1	0	2	-1	-1	143	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2410	类型伤害第4刀	阳关三叠2级	0	-1	0	-1	0	0	1733	-1	-1	0	2	-1	-1	143	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2411	类型伤害第5刀	阳关三叠2级	0	-1	0	-1	0	0	2033	-1	-1	0	2	-1	-1	143	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2412	类型伤害第6刀	阳关三叠2级	0	-1	0	-1	0	0	3300	-1	-1	0	2	-1	-1	143	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2413	类型伤害第1刀	阳关三叠3级	0	-1	0	-1	0	0	733	-1	-1	0	2	-1	-1	149	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2414	类型伤害第2刀	阳关三叠3级	0	-1	0	-1	0	0	1067	-1	-1	0	2	-1	-1	149	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2415	类型伤害第3刀	阳关三叠3级	0	-1	0	-1	0	0	1400	-1	-1	0	2	-1	-1	149	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2416	类型伤害第4刀	阳关三叠3级	0	-1	0	-1	0	0	1733	-1	-1	0	2	-1	-1	149	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2417	类型伤害第5刀	阳关三叠3级	0	-1	0	-1	0	0	2033	-1	-1	0	2	-1	-1	149	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2418	类型伤害第6刀	阳关三叠3级	0	-1	0	-1	0	0	3300	-1	-1	0	2	-1	-1	149	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2419	类型伤害第1刀	阳关三叠4级	0	-1	0	-1	0	0	733	-1	-1	0	2	-1	-1	158	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2420	类型伤害第2刀	阳关三叠4级	0	-1	0	-1	0	0	1067	-1	-1	0	2	-1	-1	158	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2421	类型伤害第3刀	阳关三叠4级	0	-1	0	-1	0	0	1400	-1	-1	0	2	-1	-1	158	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2422	类型伤害第4刀	阳关三叠4级	0	-1	0	-1	0	0	1733	-1	-1	0	2	-1	-1	158	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2423	类型伤害第5刀	阳关三叠4级	0	-1	0	-1	0	0	2033	-1	-1	0	2	-1	-1	158	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2424	类型伤害第6刀	阳关三叠4级	0	-1	0	-1	0	0	3300	-1	-1	0	2	-1	-1	158	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2425	类型伤害第1刀	阳关三叠5级	0	-1	0	-1	0	0	733	-1	-1	0	2	-1	-1	170	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2426	类型伤害第2刀	阳关三叠5级	0	-1	0	-1	0	0	1067	-1	-1	0	2	-1	-1	170	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2427	类型伤害第3刀	阳关三叠5级	0	-1	0	-1	0	0	1400	-1	-1	0	2	-1	-1	170	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2428	类型伤害第4刀	阳关三叠5级	0	-1	0	-1	0	0	1733	-1	-1	0	2	-1	-1	170	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2429	类型伤害第5刀	阳关三叠5级	0	-1	0	-1	0	0	2033	-1	-1	0	2	-1	-1	170	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2430	类型伤害第6刀	阳关三叠5级	0	-1	0	-1	0	0	3300	-1	-1	0	2	-1	-1	170	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2431	类型伤害第1刀	阳关三叠6级	0	-1	0	-1	0	0	733	-1	-1	0	2	-1	-1	180	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2432	类型伤害第2刀	阳关三叠6级	0	-1	0	-1	0	0	1067	-1	-1	0	2	-1	-1	180	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2433	类型伤害第3刀	阳关三叠6级	0	-1	0	-1	0	0	1400	-1	-1	0	2	-1	-1	180	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2434	类型伤害第4刀	阳关三叠6级	0	-1	0	-1	0	0	1733	-1	-1	0	2	-1	-1	180	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2435	类型伤害第5刀	阳关三叠6级	0	-1	0	-1	0	0	2033	-1	-1	0	2	-1	-1	180	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2436	类型伤害第6刀	阳关三叠6级	0	-1	0	-1	0	0	3300	-1	-1	0	2	-1	-1	180	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2437	类型伤害第1刀	阳关三叠7级	0	-1	0	-1	0	0	733	-1	-1	0	2	-1	-1	192	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2438	类型伤害第2刀	阳关三叠7级	0	-1	0	-1	0	0	1067	-1	-1	0	2	-1	-1	192	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2439	类型伤害第3刀	阳关三叠7级	0	-1	0	-1	0	0	1400	-1	-1	0	2	-1	-1	192	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2440	类型伤害第4刀	阳关三叠7级	0	-1	0	-1	0	0	1733	-1	-1	0	2	-1	-1	192	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2441	类型伤害第5刀	阳关三叠7级	0	-1	0	-1	0	0	2033	-1	-1	0	2	-1	-1	192	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2442	类型伤害第6刀	阳关三叠7级	0	-1	0	-1	0	0	3300	-1	-1	0	2	-1	-1	192	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2443	类型伤害第1刀	阳关三叠8级	0	-1	0	-1	0	0	733	-1	-1	0	2	-1	-1	203	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2444	类型伤害第2刀	阳关三叠8级	0	-1	0	-1	0	0	1067	-1	-1	0	2	-1	-1	203	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2445	类型伤害第3刀	阳关三叠8级	0	-1	0	-1	0	0	1400	-1	-1	0	2	-1	-1	203	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2446	类型伤害第4刀	阳关三叠8级	0	-1	0	-1	0	0	1733	-1	-1	0	2	-1	-1	203	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2447	类型伤害第5刀	阳关三叠8级	0	-1	0	-1	0	0	2033	-1	-1	0	2	-1	-1	203	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2448	类型伤害第6刀	阳关三叠8级	0	-1	0	-1	0	0	3300	-1	-1	0	2	-1	-1	203	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2449	类型伤害第1刀	阳关三叠9级	0	-1	0	-1	0	0	733	-1	-1	0	2	-1	-1	215	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2450	类型伤害第2刀	阳关三叠9级	0	-1	0	-1	0	0	1067	-1	-1	0	2	-1	-1	215	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2451	类型伤害第3刀	阳关三叠9级	0	-1	0	-1	0	0	1400	-1	-1	0	2	-1	-1	215	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2452	类型伤害第4刀	阳关三叠9级	0	-1	0	-1	0	0	1733	-1	-1	0	2	-1	-1	215	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2453	类型伤害第5刀	阳关三叠9级	0	-1	0	-1	0	0	2033	-1	-1	0	2	-1	-1	215	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2454	类型伤害第6刀	阳关三叠9级	0	-1	0	-1	0	0	3300	-1	-1	0	2	-1	-1	215	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
2455	类型伤害第1刀	阳关三叠10级	0	-1	0	-1	0	0	733	-1	-1	0	2	-1	-1	225	0	0	0	0	100	4	5	3	4	300	0	-1	-1	-1
