Id	Desc	Name	ScriptId	ConsumeFlag	CoolDownId	UseParamA	UseParamB	UseParamC	UseParamD
4511	人型2技能激活书	人型2技能激活书	11111	0	-1	0	0	-1	0
4512	人型3技能激活书	人型3技能激活书	11111	0	-1	0	0	-1	0
4513	人型4技能激活书	人型4技能激活书	11111	0	-1	0	0	-1	0
4514	人型5技能激活书	人型5技能激活书	11111	0	-1	0	0	-1	0
4515	人型6技能激活书	人型6技能激活书	11111	0	-1	0	0	-1	0
4516	人型7技能激活书	人型7技能激活书	11111	0	-1	0	0	-1	0
4517	人型8技能激活书	人型8技能激活书	11111	0	-1	0	0	-1	0
4518	人型9技能激活书	人型9技能激活书	11111	0	-1	0	0	-1	0
4519	人型10技能激活书	人型10技能激活书	11111	0	-1	0	0	-1	0
5500	少室山掉落坐骑	石狮子	111	1	-1	4	0	-1	0
5501	等级礼包坐骑	礼包坐骑	111	1	-1	1	0	-1	0
6000	首周奖励	进化狼	109	1	-1	18	3	-1	0
6001	首周奖励	进化狼	109	1	-1	2	3	-1	0
6002	副本抽奖伙伴	伙伴：豹	109	1	-1	3	1	-1	0
6003	橙色钟灵伙伴	钟灵	109	1	-1	10	4	-1	0
6004	橙色甘宝宝伙伴	甘宝宝	109	1	-1	11	4	-1	0
6005	橙色马夫人伙伴	马夫人	109	1	-1	12	4	-1	0
6006	橙色木婉清伙伴	木婉清	109	1	-1	13	4	-1	0
6007	橙色刀白凤伙伴	刀白凤	109	1	-1	14	4	-1	0
6008	橙色阿朱伙伴	阿朱	109	1	-1	15	4	-1	0
6009	橙色王语嫣伙伴	王语嫣	109	1	-1	16	4	-1	0
6010	橙色天山童姥伙伴	天山童姥	109	1	-1	19	4	-1	0
6011	橙色秦红棉伙伴	秦红棉	109	1	-1	20	4	-1	0
6012	橙色阮星竹伙伴	阮星竹	109	1	-1	21	4	-1	0
6013	橙色阿碧伙伴	阿碧	109	1	-1	22	4	-1	0
6014	橙色阿紫伙伴	阿紫	109	1	-1	23	4	-1	0
6015	橙色李秋水伙伴	李秋水	109	1	-1	24	4	-1	0
6016	橙色李青萝伙伴	李青萝	109	1	-1	25	4	-1	0
6017	橙色西夏公主伙伴	西夏公主	109	1	-1	26	4	-1	0
6018	白色天山童姥伙伴	天山童姥	109	1	-1	19	0	-1	0
6019	绿色天山童姥伙伴	天山童姥	109	1	-1	19	1	-1	0
6020	蓝色天山童姥伙伴	天山童姥	109	1	-1	19	2	-1	0
6021	紫色天山童姥伙伴	天山童姥	109	1	-1	19	3	-1	0
6022	闪电貂	闪电貂	109	1	-1	27	3	-1	0
6023	VIP宝宝	VIP宝宝	109	1	-1	28	4	-1	0
6024	火狐	火狐	109	1	-1	30	0	-1	0
6025	火狐	火狐	109	1	-1	30	1	-1	0
6026	火狐	火狐	109	1	-1	30	2	-1	0
6027	火狐	火狐	109	1	-1	30	3	-1	0
6028	火狐	火狐	109	1	-1	30	4	-1	0
6029	凤凰	凤凰	109	1	-1	31	0	-1	0
6030	凤凰	凤凰	109	1	-1	31	1	-1	0
6031	凤凰	凤凰	109	1	-1	31	2	-1	0
6032	凤凰	凤凰	109	1	-1	31	3	-1	0
6033	凤凰	凤凰	109	1	-1	31	4	-1	0
9501	宝箱钥匙（铜）	宝箱钥匙（铜）	115	1	-1	1	141	52193	1
52192	动态经验丹	经验丹	113	1	-1	0	0	-1	0
52193	铜宝箱	铜宝箱	115	1	-1	1	141	9501	1
52194	银宝箱	银宝箱	115	1	-1	1	142	52197	1
52195	金宝箱	金宝箱	115	1	-1	1	143	52198	1
52197	宝箱钥匙（银）	宝箱钥匙（银）	115	1	-1	1	142	52194	1
52198	宝箱钥匙（金）	宝箱钥匙（金）	115	1	-1	1	143	52195	1
52199	1000金币	1000金币	108	1	-1	0	1000	-1	0
52200	5000金币	5000金币	108	1	-1	0	5000	-1	0
52201	30000金币	30000金币	108	1	-1	0	30000	-1	0
56500	每日抽奖美人	西夏公主	110	1	-1	5	0	-1	0
56501	每日抽奖坐骑	白马	111	1	-1	1	0	-1	0
56502	每日抽奖伙伴	伙伴：豹	109	1	-1	3	3	-1	0
56503	每日抽奖橙色装备包	每日抽奖橙色装备包	107	1	-1	0	0	-1	0
56504	每日抽奖紫色装备包	每日抽奖紫色装备包	107	1	-1	0	0	-1	0
56505	每日抽奖4级宝石包	每日抽奖4级宝石包	107	1	-1	0	0	-1	0
56506	每日抽奖生活材料包	每日抽奖生活材料包	107	1	-1	0	0	-1	0
56507	每日抽奖金币包	每日抽奖金币包	107	1	-1	0	0	-1	0
56508	每日抽奖1级宝石	每日抽奖1级宝石	107	1	-1	0	0	-1	0
56509	300金币	300金币	108	1	-1	0	300	-1	0
56510	500金币	500金币	108	1	-1	0	500	-1	0
56511	800金币	800金币	108	1	-1	0	800	-1	0
56512	3K经验丹	一品经验丹	106	1	-1	0	3000	-1	0
56513	5K经验丹	二品经验丹	106	1	-1	0	5000	-1	0
56514	1W经验丹	三品经验丹	106	1	-1	0	10000	-1	0
56515	美人亲密宝箱	美人亲密宝箱	104	1	-1	1	22	-1	0
56516	1帮贡	帮贡	105	1	-1	0	1	-1	0
56517	红马（7日）	红马（7日）	111	1	-1	2	0	-1	0
56518	红马（30日）	红马（30日）	111	1	-1	2	0	-1	0
56519	红马（永久）	红马（永久）	111	1	-1	2	0	-1	0
56520	美人卡片	甘宝宝	110	1	-1	13	0	-1	0
56521	美人卡片	木婉清	110	1	-1	1	0	-1	0
56522	美人卡片	王语嫣	110	1	-1	2	0	-1	0
56523	美人卡片	阿朱	110	1	-1	3	0	-1	0
56524	美人卡片	阿紫	110	1	-1	4	0	-1	0
56525	美人卡片	西夏公主	110	1	-1	5	0	-1	0
56526	美人卡片	阿碧	110	1	-1	6	0	-1	0
56527	美人卡片	李秋水	110	1	-1	7	0	-1	0
56528	美人卡片	天山童姥	110	1	-1	8	0	-1	0
56529	美人卡片	刀白凤	110	1	-1	9	0	-1	0
56530	美人卡片	王夫人	110	1	-1	10	0	-1	0
56531	美人卡片	秦红棉	110	1	-1	11	0	-1	0
56532	美人卡片	软星竹	110	1	-1	12	0	-1	0
56533	美人卡片	钟灵	110	1	-1	0	0	-1	0
56534	美人卡片	马夫人	110	1	-1	14	0	-1	0
56550	每日抽奖伙伴礼包	伙伴礼包	107	1	-1	0	0	-1	0
56551	每日抽奖：狼	狼	109	1	-1	1	0	-1	0
56552	每日抽奖：进化狼	进化狼	109	1	-1	2	0	-1	0
56553	每日抽奖：豹	豹	109	1	-1	3	0	-1	0
56554	每日抽奖：进化豹	进化豹	109	1	-1	4	0	-1	0
56555	少室山掉落称号	稀有称号牌1	116	1	-1	0	32	-1	0
56556	少室山掉落称号	稀有称号牌2	116	1	-1	0	33	-1	0
56557	少室山掉落称号	稀有称号牌3	116	1	-1	0	34	-1	0
56558	10级大礼包	10级大礼包	119	1	-1	-1	-1	-1	0
56559	20级大礼包	20级大礼包	119	1	-1	-1	-1	-1	0
56560	30级大礼包	30级大礼包	119	1	-1	-1	-1	-1	0
56561	40级大礼包	40级大礼包	119	1	-1	-1	-1	-1	0
56562	50级大礼包	50级大礼包	119	1	-1	-1	-1	-1	0
56563	60级大礼包	60级大礼包	119	1	-1	-1	-1	-1	0
56564	70级大礼包	70级大礼包	119	1	-1	-1	-1	-1	0
56565	80级大礼包	80级大礼包	119	1	-1	-1	-1	-1	0
56566	90级大礼包	90级大礼包	119	1	-1	-1	-1	-1	0
56567	100级大礼包	100级大礼包	119	1	-1	-1	-1	-1	0
56568	等级礼包称号	礼包紫色称号	116	1	-1	0	38	-1	0
56569	等级礼包时装	礼包时装	117	1	-1	1	0	-1	0
56570	等级礼包称号	礼包蓝色称号	116	1	-1	0	39	-1	0
56571	等级礼包称号	礼包绿色称号	116	1	-1	0	40	-1	0
56572	等级礼包称号	礼包白色称号	116	1	-1	0	41	-1	0
56573	萧峰侠客	萧峰侠客	114	1	-1	55	0	-1	0
56574	向望海侠客	向望海侠客	114	1	-1	1	0	-1	0
56575	姚伯当侠客	姚伯当侠客	114	1	-1	2	0	-1	0
56576	鲍千灵侠客	鲍千灵侠客	114	1	-1	3	0	-1	0
56577	司马林侠客	司马林侠客	114	1	-1	4	0	-1	0
56578	单正侠客	单正侠客	114	1	-1	5	0	-1	0
56579	单伯山侠客	单伯山侠客	114	1	-1	6	0	-1	0
56580	单仲山侠客	单仲山侠客	114	1	-1	7	0	-1	0
56581	单季山侠客	单季山侠客	114	1	-1	8	0	-1	0
56582	单叔山侠客	单叔山侠客	114	1	-1	9	0	-1	0
56583	单小山侠客	单小山侠客	114	1	-1	10	0	-1	0
56584	崔百泉侠客	崔百泉侠客	114	1	-1	11	0	-1	0
56585	钟万仇侠客	钟万仇侠客	114	1	-1	12	0	-1	0
56586	乌老大侠客	乌老大侠客	114	1	-1	13	0	-1	0
56587	桑土公侠客	桑土公侠客	114	1	-1	14	0	-1	0
56588	哈大霸侠客	哈大霸侠客	114	1	-1	15	0	-1	0
56589	不平道长侠客	不平道长侠客	114	1	-1	16	0	-1	0
56590	智光大师侠客	智光大师侠客	114	1	-1	17	0	-1	0
56591	谭公侠客	谭公侠客	114	1	-1	18	0	-1	0
56592	赵钱孙侠客	赵钱孙侠客	114	1	-1	19	0	-1	0
56593	摘星子侠客	摘星子侠客	114	1	-1	20	0	-1	0
56594	褚万里侠客	褚万里侠客	114	1	-1	21	0	-1	0
56595	古笃诚侠客	古笃诚侠客	114	1	-1	22	0	-1	0
56596	傅思归侠客	傅思归侠客	114	1	-1	23	0	-1	0
56597	朱丹臣侠客	朱丹臣侠客	114	1	-1	24	0	-1	0
56598	白世镜侠客	白世镜侠客	114	1	-1	25	0	-1	0
56599	陈孤雁侠客	陈孤雁侠客	114	1	-1	26	0	-1	0
56600	吴长风侠客	吴长风侠客	114	1	-1	27	0	-1	0
56601	全冠清侠客	全冠清侠客	114	1	-1	28	0	-1	0
56602	巴天石侠客	巴天石侠客	114	1	-1	29	0	-1	0
56603	邓百川侠客	邓百川侠客	114	1	-1	30	0	-1	0
56604	公冶乾侠客	公冶乾侠客	114	1	-1	31	0	-1	0
56605	包不同侠客	包不同侠客	114	1	-1	32	0	-1	0
56606	风波恶侠客	风波恶侠客	114	1	-1	33	0	-1	0
56607	卓不凡侠客	卓不凡侠客	114	1	-1	34	0	-1	0
56608	哲罗星侠客	哲罗星侠客	114	1	-1	35	0	-1	0
56609	神山上人侠客	神山上人侠客	114	1	-1	36	0	-1	0
56610	云中鹤侠客	云中鹤侠客	114	1	-1	37	0	-1	0
56611	南海鳄神侠客	南海鳄神侠客	114	1	-1	38	0	-1	0
56612	慕容复侠客	慕容复侠客	114	1	-1	39	0	-1	0
56613	鸠摩智侠客	鸠摩智侠客	114	1	-1	40	0	-1	0
56614	枯荣大师侠客	枯荣大师侠客	114	1	-1	41	0	-1	0
56615	黄眉大师侠客	黄眉大师侠客	114	1	-1	42	0	-1	0
56616	丁春秋侠客	丁春秋侠客	114	1	-1	43	0	-1	0
56617	游坦之侠客	游坦之侠客	114	1	-1	44	0	-1	0
56618	段延庆侠客	段延庆侠客	114	1	-1	45	0	-1	0
56619	段正明侠客	段正明侠客	114	1	-1	46	0	-1	0
56620	段正淳侠客	段正淳侠客	114	1	-1	47	0	-1	0
56621	玄难侠客	玄难侠客	114	1	-1	48	0	-1	0
56622	玄悲侠客	玄悲侠客	114	1	-1	49	0	-1	0
56623	玄苦侠客	玄苦侠客	114	1	-1	50	0	-1	0
56624	玄慈侠客	玄慈侠客	114	1	-1	51	0	-1	0
56625	苏星河侠客	苏星河侠客	114	1	-1	52	0	-1	0
56626	段誉侠客	段誉侠客	114	1	-1	53	0	-1	0
56627	虚竹侠客	虚竹侠客	114	1	-1	54	0	-1	0
56628	【废弃】萧峰侠客	萧峰侠客	114	1	-1	55	0	-1	0
56629	萧远山侠客	萧远山侠客	114	1	-1	56	0	-1	0
56630	慕容博侠客	慕容博侠客	114	1	-1	57	0	-1	0
56631	逍遥子侠客	逍遥子侠客	114	1	-1	58	0	-1	0
56632	无崖子侠客	无崖子侠客	114	1	-1	59	0	-1	0
56633	扫地神僧侠客	扫地神僧侠客	114	1	-1	60	0	-1	0
56634	2W经验丹	四品经验丹	106	1	-1	0	20000	-1	0
56635	5W经验丹	五品经验丹	106	1	-1	0	50000	-1	0
56636	10W经验丹	六品经验丹	106	1	-1	0	100000	-1	0
56637	20W经验丹	七品经验丹	106	1	-1	0	200000	-1	0
56638	50W经验丹	八品经验丹	106	1	-1	0	500000	-1	0
56639	100W经验丹	九品经验丹	106	1	-1	0	1000000	-1	0
58057	伙伴技能书宝箱	伙伴技能书宝箱	104	1	-1	1	509	-1	0
59001	Vip1礼包	10级橙色武器	107	1	-1	0	0	-1	0
59002	Vip2礼包	紫色钟灵	109	1	-1	10	3	-1	0
59003	【废弃】Vip3礼包	打星石礼包	107	1	-1	0	0	-1	0
59004	【废弃】Vip5礼包	冰魄神丹礼包	107	1	-1	0	0	-1	0
59005	Vip7宠物	【暂定】掌柜萌萌哒	109	1	-1	4	4	-1	0
59006	【废弃】Vip12礼包	70级橙色武器	107	1	-1	0	0	-1	0
59021	结婚马车	结婚马车	111	1	-1	3	0	-1	0
59022	结婚礼服	结婚礼服	117	1	-1	2	0	-1	0
59023	VIP4王语嫣	王语嫣	110	1	-1	2	0	-1	0
59024	VIP8阿朱	阿朱	110	1	-1	3	0	-1	0
59025	SNS分享者	分享礼包	120	1	-1	-1	-1	-1	1
59026	SNS参与者	成长礼包	120	1	-1	-1	-1	-1	1
59027	SNS分享者	分享礼包（30级）	120	1	-1	-1	-1	-1	1
59028	SNS参与者	成长礼包（30级）	120	1	-1	-1	-1	-1	1
59029	金币5000	金币5000	108	1	-1	0	5000	-1	0
59030	绑定元宝50	绑定元宝50	108	1	-1	2	50	-1	0
59039	狮子7	狮子	111	1	-1	5	0	-1	0
59040	狮子30	狮子	111	1	-1	5	0	-1	0
59041	狮子永久	狮子	111	1	-1	5	0	-1	0
59042	麒麟7	麒麟	111	1	-1	6	0	-1	0
59043	麒麟30	麒麟	111	1	-1	6	0	-1	0
59044	麒麟永久	麒麟	111	1	-1	6	0	-1	0
59045	白马7日	白马	111	1	-1	1	0	-1	0
59046	白马永久	白马（永久）	111	1	-1	1	0	-1	0
59047	封测礼包	封测礼包	123	1	-1	-1	-1	-1	0
59048	人物改名书	人物改名书	122	0	-1	1	0	-1	0
59049	帮会改名书	帮会改名书	122	0	-1	2	0	-1	0
59050	师门改名书	师门改名书	122	0	-1	3	0	-1	0
59051	陆行雕7	陆行雕7	111	1	-1	7	0	-1	0
59052	陆行雕30	陆行雕30	111	1	-1	7	0	-1	0
59053	陆行雕永久	陆行雕永久	111	1	-1	7	0	-1	0
59066	世界BOSS宝石包（临时）	宝石奖励包	104	1	-1	1	2156	-1	0
59067	世界BOSS技能书包（临时）	伙伴技能书奖励包	104	1	-1	1	2157	-1	0
59068	世界BOSS天山童姥伙伴包（临时）	天山童姥伙伴奖励包	104	1	-1	1	2158	-1	0
59070	中转礼包-个人	中转礼包-个人	104	1	-1	1	2164	-1	0
59071	中转礼包-公会	中转礼包-公会	104	1	-1	1	2165	-1	0
59072	战神礼包	战神礼包	104	1	-1	1	2159	-1	0
59073	争霸礼包	争霸礼包	104	1	-1	1	2160	-1	0
59074	公会礼包	公会礼包	104	1	-1	1	2161	-1	0
59075	会长礼包	会长礼包	104	1	-1	1	2162	-1	0
59076	元老礼包	元老礼包	104	1	-1	1	2163	-1	0
59077	粉花小烟花	落英如画烟花	124	1	124	2	-1	-1	0
59078	蓝星小烟花	繁星点点烟花	124	1	124	3	-1	-1	0
59079	橙桃小烟花	红心飘零烟花	124	1	124	4	-1	-1	0
59080	橙射中烟花	华美绽放焰火	124	1	124	5	-1	-1	0
59081	粉荆中烟花	漫天花雨焰火	124	1	124	6	-1	-1	0
59082	缤纷大烟花	缤纷璀璨礼花	124	1	124	7	-1	-1	0
59084	副本钥匙（聚贤庄）	副本钥匙（聚贤庄）	121	1	-1	11	1	-1	0
59085	副本钥匙（燕子坞）	副本钥匙（燕子坞）	121	1	-1	19	1	-1	0
59086	副本钥匙（燕王古墓）	副本钥匙（燕王古墓）	121	1	-1	27	1	-1	0
59087	副本钥匙（珍珑棋局）	副本钥匙（珍珑棋局）	121	1	-1	28	1	-1	0
59088	副本钥匙（少室山）	副本钥匙（少室山）	121	1	-1	31	1	-1	0
59089	仙侣情缘（7天）	仙侣情缘（7天）	117	1	-1	0	0	-1	0
59090	仙侣情缘（30天）	仙侣情缘（30天）	117	1	-1	0	1	-1	0
59091	仙侣情缘（永久）	仙侣情缘（永久）	117	1	-1	0	2	-1	0
59092	暗淡雕灵（7天）	暗淡雕灵（7天）	117	1	-1	1	0	-1	0
59093	暗淡雕灵（30天）	暗淡雕灵（30天）	117	1	-1	1	1	-1	0
59094	暗淡雕灵（永久）	暗淡雕灵（永久）	117	1	-1	1	2	-1	0
59095	新婚礼服（7天）	新婚礼服（7天）	117	1	-1	2	0	-1	0
59096	新婚礼服（30天）	新婚礼服（30天）	117	1	-1	2	1	-1	0
59097	新婚礼服（永久）	新婚礼服（永久）	117	1	-1	2	2	-1	0
59098	龙门飞甲（7天）	龙门飞甲（7天）	117	1	-1	3	0	-1	0
59099	龙门飞甲（30天）	龙门飞甲（30天）	117	1	-1	3	1	-1	0
59100	龙门飞甲（永久）	龙门飞甲（永久）	117	1	-1	3	2	-1	0
59101	大方无隅（7天）	大方无隅（7天）	117	1	-1	4	0	-1	0
59102	大方无隅（30天）	大方无隅（30天）	117	1	-1	4	1	-1	0
59103	大方无隅（永久）	大方无隅（永久）	117	1	-1	4	2	-1	0
59104	弦月菩心（7天）	弦月菩心（7天）	117	1	-1	5	0	-1	0
59105	弦月菩心（30天）	弦月菩心（30天）	117	1	-1	5	1	-1	0
59106	弦月菩心（永久）	弦月菩心（永久）	117	1	-1	5	2	-1	0
59107	寒山采晴（7天）	寒山采晴（7天）	117	1	-1	6	0	-1	0
59108	寒山采晴（30天）	寒山采晴（30天）	117	1	-1	6	1	-1	0
59109	寒山采晴（永久）	寒山采晴（永久）	117	1	-1	6	2	-1	0
59110	日月同辉（7天）	日月同辉（7天）	117	1	-1	2	0	-1	0
59111	日月同辉（30天）	日月同辉（30天）	117	1	-1	2	1	-1	0
59112	日月同辉（永久）	日月同辉（永久）	117	1	-1	2	2	-1	0
59113	封测元老	封测元老	116	1	-1	0	86	-1	0
59114	战神	战神	116	1	-1	0	87	-1	0
59115	帮会争霸	帮会争霸	116	1	-1	0	88	-1	0
59116	万圣节_南瓜	南瓜	126	0	-1	1	0	-1	0
59117	万圣节_普通礼包	糖果礼包	104	1	-1	1	2166	-1	0
59118	万圣节_豪华礼包	奢华糖果礼包	104	1	-1	1	2167	-1	0
59119	10万金币	小堆金币	108	1	-1	0	100000	-1	0
59120	100万金币	大堆金币	108	1	-1	0	1000000	-1	0
59121	800元宝	元宝如山	108	1	-1	2	800	-1	0
59122	万圣节_熊猫时装3	清新翠竹	117	1	-1	8	0	-1	0
59123	万圣节_熊猫时装7	清新翠竹	117	1	-1	8	0	-1	0
59124	万圣节_熊猫时装永久	清新翠竹	117	1	-1	8	0	-1	0
59125	万圣节_熊猫坐骑3	翠竹熊猫	111	1	-1	11	0	-1	0
59126	万圣节_熊猫坐骑7	翠竹熊猫	111	1	-1	11	0	-1	0
59127	万圣节_熊猫坐骑永久	翠竹熊猫（永久）	111	1	-1	11	0	-1	0
59128	光棍节_玫瑰	娇艳玫瑰	125	1	-1	0	0	-1	0
59129	情人节_巧克力	沁香巧克力	125	1	-1	0	0	-1	0
59130	光棍节_1天时装包	相亲装束	104	1	-1	1	2168	-1	0
59131	龙门飞甲（1天）	龙门飞甲	117	1	-1	3	0	-1	0
59132	大方无隅（1天）	大方无隅	117	1	-1	4	0	-1	0
59133	弦月菩心（1天）	弦月菩心	117	1	-1	5	0	-1	0
59134	寒山采晴（1天）	寒山采晴	117	1	-1	6	0	-1	0
59135	日月同辉（1天）	日月同辉	117	1	-1	2	0	-1	0
59136	感恩节_火鸡	烤火鸡	104	1	-1	1	2169	-1	0
59137	感恩节_称号	火鸡终结者	116	1	-1	0	90	-1	0
59138	10000金币	10000金币	108	1	-1	0	10000	-1	0
59139	50000金币	50000金币	108	1	-1	0	50000	-1	0
59140	500000金币	500000金币	108	1	-1	0	500000	-1	0
59141	感恩节_礼包	恩赐礼包	104	1	-1	1	2191	-1	0
59143	红马7天	汗血马	111	1	-1	8	0	-1	0
