Id	MissionType	MissionName	MissionDesc	MissionDoneDesc	FollowText	TargetNpcPosX	TargetNpcPosZ	TargetNpcSceneID	TargetNpcDataID	AccepteNpcPosX	AccepteNpcPosZ	AccepteNpcSceneID	AcceptNpcDataID	CompleteNpcPosX	CompleteNpcPosZ	CompleteNpcSceneID	CompleteNpcDataID	IsAcceptAutoFindPath
12	2	{0}【主】{1}交情	老夫曾和无量剑派有些交情，你此次前去可以找东宗掌门的左子穆左大侠说明来意。	你不提他还好，提起姓段的小子我就有气。	找左子穆：{0}{1}/1	28.23	17.49	2	34	52.89	11.41	2	31	28.23	17.49	2	34	1
13	0	{0}【主】{1}比武	姓段的不识好歹，竟敢看不起我东西两宗五年一度的比试，想见段誉，先过了我的无量剑阵再说吧。	阁下果然有些功夫，念在你年轻的份上老夫才没下杀手。	剑湖宫副本：{0}{1}/1	49	32	2	-1	28.23	17.49	2	34	28.23	17.49	2	34	1
14	2	{0}【主】{1}转机	不知我无量剑派倒了什么霉运！罢了，告诉你也无妨，他刚刚被一个带着闪电貂的丫头救走，你到剑湖宫外面找找吧	看你不像是这里的人，你要找什么人？	找钟灵：{0}{1}/1	17.55	52.42	2	32	28.23	17.49	2	34	17.55	52.42	2	32	1
15	1	{0}【主】{1}出气	在剑湖宫无量剑欺负段大哥，咱们得帮他出了这口气，快帮我教训这些无礼的东宗弟子	看不出你还有两下子，武功么比本姑娘弱那么一点点，哈哈。	教训剑宗弟子：{0}{1}/6	32.68	5.85	2	36	17.55	52.42	2	32	17.55	52.42	2	32	1
16	2	{0}【主】{1}痴愚	段大哥听说神农帮要血洗无量剑派去找他们理论，也不知道凶多吉少，咱们过去看看吧。	怎么又来一个疯子？难道我神农帮的虎须是何人都能捋得么！	找司空玄：{0}{1}/1	51.77	53.41	2	35	17.55	52.42	2	32	51.77	53.41	2	35	1
17	0	{0}【主】{1}真相	无量剑弟子个个草包，占着无量玉璧又有什么用。倒不如让出来给童姥观瞻，嘿嘿!	想救段誉这小子，就乖乖的听话。	和司空玄交谈：{0}{1}/1	51.77	53.41	2	35	51.77	53.41	2	35	51.77	53.41	2	35	1
18	1	{0}【主】{1}制毒	有十里断魂烟，剑湖宫被攻下是迟早的事。只是这断魂烟需要狼毫才能配置出来，你去弄些狼毫来，不然我宰了姓段的小子。	看不出你手脚还挺麻利的，放心只要你们不给老子捣乱，我也不会伤害你们。	收集狼毫：{0}{1}/5	36.39	57.04	2	38	51.77	53.41	2	35	51.77	53.41	2	35	1
19	1	{0}【主】{1}放毒	嘿嘿，这放毒烟的事就交给你去办吧，这个小丫头给我留下做人质。	蠢货谁让你在我旁边放毒烟了，咳咳咳……	释放毒烟：{0}{1}/1	51.77	53.41	2	35	51.77	53.41	2	35	51.77	53.41	2	35	1
20	2	{0}【主】{1}询问	该死，被这小丫头的貂儿咬了一口，也不知是什么毒，哎呦，疼死我了。你快去问问那丫头如何解毒？	司空玄这老儿还真厉害，连闪电貂也让他吓跑了。	找钟灵：{0}{1}/1	17.55	52.42	2	32	51.77	53.41	2	35	17.55	52.42	2	32	1
21	2	{0}【主】{1}送信	这毒只有我爹爹能解，为了段大哥，辛苦$R去万劫谷找来福，这只鞋子你拿着，我家里人看到就会明白的。	呜呜……你是什么人？	找来福：{0}{1}/1	57.89	10.17	5	40	41	53	2	32	57.89	10.17	5	40	1
22	1	{0}【主】{1}进喜	进喜儿是我最好的伙伴，我俩从小一起长大，不能让他白白给恶人害了。请$R帮我教训这些江湖邪士！	进喜儿你可以瞑目了，你的仇$R给你报了。	江湖邪士：{0}{1}/10	49.54	11.08	5	45	57.89	10.17	5	40	57.89	10.17	5	40	1
23	2	{0}【主】{1}来福	我家小姐让你来求救的？你怎么不早说，赶快去见我家夫人，她正在那边树下纳凉。	来福今天怎么了，怎么随随便便就放外人入谷。	找甘宝宝：{0}{1}/1	40.85	9.52	5	41	57.89	10.17	5	40	40.85	9.52	5	41	1
24	0	{0}【主】{1}信物	没错，这是灵儿的绣花鞋，是她让你来找我的？	感谢$R，刚才言语多有冒犯还请见谅。	与甘宝宝对话：{0}{1}/1	40.85	9.52	5	41	40.85	9.52	5	41	40.85	9.52	5	41	1
25	1	{0}【主】{1}情仇	$R快走，我夫君终日疑神疑鬼，非常难缠！	还好没伤到$R，我这丈夫鲁莽让$R见笑了。	打伤钟万仇：{0}{1}/1	42.23	11.87	5	42	40.85	9.52	5	41	40.85	9.52	5	41	1
26	2	{0}【主】{1}借马	我得留下照顾夫君，没法和$R同去了，你去找木姑娘借匹快马。	既然是师叔介绍你来的，就借给你吧。	找木婉清：{0}{1}/1	53.89	53.15	5	43	40.85	9.52	5	41	53.89	53.15	5	43	1
27	0	{0}【主】{1}冷艳	拿了马怎么还不走？	真是个呆子，随你吧。	和木婉清对话：{0}{1}/1	53.89	53.15	5	43	53.89	53.15	5	43	53.89	53.15	5	43	1
28	1	{0}【主】{1}保护	这些人是来杀我的，又不干你的事，你难道到不怕他们为难你？	看来师傅说的也不全对？世间的人也不全是险恶的。	曼陀杀手：{0}{1}/15	47.95	50.58	5	46	53.89	53.15	5	43	53.89	53.15	5	43	1
29	3	{0}【主】{1}采药	我受了刀伤，你去那边帮我采些草药吧，不准偷看我的脸，否则杀了你。	草药交给我就行了，你转过身去。	采集草药：{0}{1}/1	8	22	5	-1	53.89	53.15	5	43	53.89	53.15	5	43	1
30	1	{0}【主】{1}取胆	贱人的刀上居然有毒，你去后山杀几只黑豹取些黑豹胆来，我这里等你。	很好，辛苦你了。	寻找黑豹胆：{0}{1}/1	17.19	23.58	5	47	53.89	53.15	5	43	53.89	53.15	5	43	1
31	2	{0}【主】{1}回程	这些伤我可以应付，你快去找钟灵吧，晚了他们就没命了。养好伤我自会去找他们。	今天已是第七日了，若段大哥有什么好歹，我要神农帮所有人赔命。	找钟灵：{0}{1}/1	17.55	52.42	2	32	53.89	53.15	5	43	17.55	52.42	2	32	1
32	0	{0}【主】{1}圣使	你可算回来了，我爹爹妈妈怎么没来？	刚有两个穿着黑袍的圣使来过……我想到办法了！	和钟灵交谈：{0}{1}/1	17.55	52.42	2	32	17.55	52.42	2	32	17.55	52.42	2	32	1
33	1	{0}【主】{1}截杀	神农帮似乎对灵鹫宫圣使十分忌惮，惟命是从。若是扮成圣使的模样一定可以救出段大哥。	哇，这两个小娘们真凶，衣服都勾破了，快披上斗篷。	灵鹫宫圣使：{0}{1}/1	10	42	2	52	17.55	52.42	2	32	17.55	52.42	2	32	1
34	0	{0}【主】{1}假扮	披上斗篷连我都认不出来，司空老儿未必会疑心你是假扮的，那段大哥就有救了。	属下遵命，来人，快快放了段公子！	让司空玄放人：{0}{1}/1	51.77	53.41	2	35	17.55	52.42	2	32	51.77	53.41	2	35	1
35	0	{0}【主】{1}劝说	好险，差点穿帮了。$R你怎么来了，你的伤势好的差不多了么？	若有你陪同，行走江湖的乐趣也会多一些，就这么愉快的决定了。	与段誉对话：{0}{1}/1	48.49	55.35	2	33	48.49	55.35	2	33	48.49	55.35	2	33	1
36	1	{0}【主】{1}毒王	我给埋在土里的时候听见他们说起一种叫‘莽牯毒蛤’的稀奇玩意就在这附近，叫声古怪：江昂！江昂！你听……它又叫了。	我的天，这就是莽牯毒蛤么，幸好有你在。	除掉莽牯毒蛤：{0}{1}/1	9	50	2	39	48.52	55.35	2	33	48.52	55.35	2	33	1
37	0	{0}【主】{1}结拜	若非和$R有缘，今日又焉有段誉命在，小弟愿与$R结拜金兰，这松鹤楼地契算是见面礼，望你不要推辞。	出来也有些日子了，想必朱二哥他们也快寻到此处了。	置办一桌酒菜：{0}{1}/1	48.49	55.35	2	33	48.49	55.35	2	33	48.49	55.35	2	33	1
38	0	{0}【主】{1}竞技	和我一起服侍老爷的进喜儿被人打死了，我好怕，我还年轻我不想死，$R若有能力保护我性命，小的愿意给你牵马坠蹬。	$R神勇，你的武功与老爷相比也不逞相让。	江湖名人录：{0}{1}/1	-1	-1	-1	-1	57.89	10.17	5	40	57.89	10.17	5	40	1
39	0	{0}【主】{1}强化	看你这周身上下也没件像样的装备，我就教你怎么强化装备吧，不然待会怎么救得出灵儿他们呢。	恩，这法子你要牢记于心，以后遇到打不过的人就可以通过强化自身的装备来打败他。	完成装备吸收：{0}{1}/1	40.85	9.52	5	41	40.85	9.52	5	41	40.85	9.52	5	41	1
40	0	{0}【门派】{1}掌门问候	小镜湖问候王语嫣王姑娘。		问候王语嫣：{0}{1}/1	12.08	33.57	9	218	-1	-1	-1	-1	-1	-1	-1	31	1
41	1	{0}【门派】{1}行侠仗义	除掉小镜湖的宵小		教训宵小：{0}{1}/40	54.17	32.03	9	161	-1	-1	-1	-1	-1	-1	-1	-1	1
42	5	{0}【门派】{1}收集物资	除掉燕子坞恶奴获得玄铁		收集玄铁：{0}{1}/5	62.03	25.2	21	158	-1	-1	-1	-1	-1	-1	-1	-1	1
43	0	{0}【门派】{1}掌门问候	去洱海问候乔峰乔大侠。		问候乔峰：{0}{1}/1	54	32	1	8	-1	-1	-1	-1	-1	-1	-1	8	1
44	1	{0}【门派】{1}行侠仗义	除掉小镜湖的马贼		教训马贼：{0}{1}/40	24.15	23.98	9	162	-1	-1	-1	-1	-1	-1	-1	-1	1
45	5	{0}【门派】{1}收集物资	除掉燕子坞秦家寨弟子获得灵芝		收集灵芝：{0}{1}/5	17.92	55.37	21	156	-1	-1	-1	-1	-1	-1	-1	-1	1
46	0	{0}【门派】{1}掌门问候	燕子坞问候阿朱姑娘。		问候阿朱：{0}{1}/1	60.76	51.64	21	200	-1	-1	-1	-1	-1	-1	-1	6	1
47	1	{0}【门派】{1}行侠仗义	除掉小镜湖的漕运盗贼。		漕运强盗：{0}{1}/40	23.21	44.27	9	163	-1	-1	-1	-1	-1	-1	-1	-1	1
48	5	{0}【门派】{1}收集物资	除掉燕子坞青城弟子获得魂玉		收集魂玉：{0}{1}/5	21.7	19.68	21	157	-1	-1	-1	-1	-1	-1	-1	-1	1
49	1	{0}【野外】{1}除恶	除掉无量山野狼		野狼：{0}{1}/80	26.84	58.23	2	38	-1	-1	-1	-1	-1	-1	-1	-1	1
50	1	{0}【野外】{1}除恶	除掉无量山神农帮弟子		神农帮弟子：{0}{1}/80	44.55	46.05	2	37	-1	-1	-1	-1	-1	-1	-1	-1	1
51	1	{0}【野外】{1}除恶	除掉无量山剑宗弟子		剑宗弟子：{0}{1}/80	30.75	9.64	2	36	-1	-1	-1	-1	-1	-1	-1	-1	1
52	1	{0}【野外】{1}除恶	除掉万劫谷江湖邪士		江湖邪士：{0}{1}/80	61.65	10.53	5	45	-1	-1	-1	-1	-1	-1	-1	-1	1
53	1	{0}【野外】{1}除恶	除掉万劫谷曼陀杀手		曼陀杀手：{0}{1}/80	47.07	42.85	5	46	-1	-1	-1	-1	-1	-1	-1	-1	1
54	1	{0}【野外】{1}除恶	除掉万劫谷黑豹		黑豹：{0}{1}/80	14.95	12.6	5	47	-1	-1	-1	-1	-1	-1	-1	-1	1
55	1	{0}【野外】{1}除恶	除掉苍山藩邦探子		藩邦探子：{0}{1}/80	18.01	6.45	20	152	-1	-1	-1	-1	-1	-1	-1	-1	1
56	1	{0}【野外】{1}除恶	除掉苍山明王随从		明王随从：{0}{1}/80	50.49	10.05	20	153	-1	-1	-1	-1	-1	-1	-1	-1	1
57	1	{0}【野外】{1}除恶	除掉苍山红熊		红熊：{0}{1}/80	24.21	43.85	20	154	-1	-1	-1	-1	-1	-1	-1	-1	1
58	1	{0}【野外】{1}除恶	除掉燕子坞秦家寨弟子		秦家寨弟子：{0}{1}/80	17.92	55.37	21	156	-1	-1	-1	-1	-1	-1	-1	-1	1
59	1	{0}【野外】{1}除恶	除掉燕子坞青城弟子		青城弟子：{0}{1}/80	21.7	19.68	21	157	-1	-1	-1	-1	-1	-1	-1	-1	1
60	1	{0}【野外】{1}除恶	除掉燕子坞恶奴		恶奴：{0}{1}/80	62.03	25.2	21	158	-1	-1	-1	-1	-1	-1	-1	-1	1
61	1	{0}【野外】{1}除恶	除掉小镜湖宵小		宵小：{0}{1}/80	54.17	32.03	9	161	-1	-1	-1	-1	-1	-1	-1	-1	1
62	1	{0}【野外】{1}除恶	除掉小镜湖马贼		马贼：{0}{1}/80	24.15	23.98	9	162	-1	-1	-1	-1	-1	-1	-1	-1	1
63	1	{0}【野外】{1}除恶	除掉小镜湖漕运强盗		漕运强盗：{0}{1}/80	23.21	44.27	9	163	-1	-1	-1	-1	-1	-1	-1	-1	1
64	1	{0}【野外】{1}除恶	除掉杏子林丐帮叛徒		丐帮叛徒：{0}{1}/80	36.95	4.95	26	164	-1	-1	-1	-1	-1	-1	-1	-1	1
65	1	{0}【野外】{1}除恶	除掉杏子林西夏武士		西夏武士：{0}{1}/80	44.83	54.78	26	165	-1	-1	-1	-1	-1	-1	-1	-1	1
66	1	{0}【野外】{1}除恶	除掉杏子林一品堂高手		一品堂高手：{0}{1}/80	23.91	43	26	166	-1	-1	-1	-1	-1	-1	-1	-1	1
67	1	{0}【野外】{1}除恶	除掉聚贤庄剑客		剑客：{0}{1}/80	19.21	71.92	22	168	-1	-1	-1	-1	-1	-1	-1	-1	1
68	1	{0}【野外】{1}除恶	除掉聚贤庄刀客		刀客：{0}{1}/80	47.68	58.78	22	169	-1	-1	-1	-1	-1	-1	-1	-1	1
69	1	{0}【野外】{1}除恶	除掉聚贤庄家丁		家丁：{0}{1}/80	21.5	41.88	22	170	-1	-1	-1	-1	-1	-1	-1	-1	1
70	1	{0}【野外】{1}除恶	除掉少室山少林铜人		少林铜人：{0}{1}/80	47.08	41.25	15	171	-1	-1	-1	-1	-1	-1	-1	-1	1
71	1	{0}【野外】{1}除恶	除掉少室山猛虎		猛虎：{0}{1}/80	47.96	15.45	15	172	-1	-1	-1	-1	-1	-1	-1	-1	1
72	1	{0}【野外】{1}除恶	除掉少室山星宿弟子		星宿弟子：{0}{1}/80	14.62	42.73	15	173	-1	-1	-1	-1	-1	-1	-1	-1	1
73	1	{0}【野外】{1}除恶	除掉雁门关戈壁马匪		戈壁马匪：{0}{1}/80	18.05	19.95	23	174	-1	-1	-1	-1	-1	-1	-1	-1	1
74	1	{0}【野外】{1}除恶	除掉雁门关宋兵		宋兵：{0}{1}/80	48.37	25.69	23	175	-1	-1	-1	-1	-1	-1	-1	-1	1
75	1	{0}【野外】{1}除恶	除掉雁门关荒原豹		荒原豹：{0}{1}/80	33.25	36.06	23	176	-1	-1	-1	-1	-1	-1	-1	-1	1
76	1	{0}【野外】{1}除恶	除掉敦煌西夏兵		西夏兵：{0}{1}/80	19.52	31.07	24	177	-1	-1	-1	-1	-1	-1	-1	-1	1
77	1	{0}【野外】{1}除恶	除掉敦煌辽兵		辽兵：{0}{1}/80	24.27	58.23	24	178	-1	-1	-1	-1	-1	-1	-1	-1	1
78	1	{0}【野外】{1}除恶	除掉敦煌盗贼		盗贼：{0}{1}/80	47.02	38.1	24	179	-1	-1	-1	-1	-1	-1	-1	-1	1
79	1	{0}【野外】{1}除恶	除掉雪原女真猎手		女真猎手：{0}{1}/80	7.41	30.47	4	180	-1	-1	-1	-1	-1	-1	-1	-1	1
80	1	{0}【野外】{1}除恶	除掉雪原冰原狼		冰原狼：{0}{1}/80	40.36	16.6	4	181	-1	-1	-1	-1	-1	-1	-1	-1	1
81	1	{0}【野外】{1}除恶	除掉雪原雪豹		雪豹：{0}{1}/80	46.33	33.07	4	182	-1	-1	-1	-1	-1	-1	-1	-1	1
82	1	{0}【野外】{1}除恶	除掉缥缈峰玄天部众		玄天部众：{0}{1}/80	37.49	12.5	25	183	-1	-1	-1	-1	-1	-1	-1	-1	1
83	1	{0}【野外】{1}除恶	除掉缥缈峰昊天部众		昊天部众：{0}{1}/80	56.31	35.66	25	184	-1	-1	-1	-1	-1	-1	-1	-1	1
84	1	{0}【野外】{1}除恶	除掉缥缈峰叛乱洞主		叛乱洞主：{0}{1}/80	9.66	35.64	25	185	-1	-1	-1	-1	-1	-1	-1	-1	1
85	1	{0}【副本】{1}燕子坞	参加任意难度燕子坞副本		燕子坞：{0}{1}/1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
86	1	{0}【副本】{1}燕王古墓	参加任意难度燕王古墓副本		燕王古墓：{0}{1}/1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
87	1	{0}【副本】{1}珍珑棋局	参加任意难度珍珑棋局副本		珍珑棋局：{0}{1}/1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
88	1	{0}【副本】{1}聚贤庄	参加任意难度聚贤庄副本		聚贤庄：{0}{1}/1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
89	1	{0}【副本】{1}少室山	挑战一次少室山副本		少室山：{0}{1}/1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
90	1	{0}【副本】{1}藏经阁	挑战一次藏经阁		藏经阁：{0}{1}/1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
91	1	{0}【强化】{1}装备吸收	强化中完成一次装备吸收		装备吸收：{0}{1}/1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
92	1	{0}【强化】{1}装备打星	强化中完成一次装备打星		装备打星：{0}{1}/1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
93	1	{0}【强化】{1}装备镶嵌	完成一次宝石镶嵌		装备镶嵌：{0}{1}/1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
94	1	{0}【竞技】{1}江湖名人录	挑战一次江湖名人录		江湖名人录：{0}{1}/1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
95	1	{0}【竞技】{1}华山论剑	参加一次华山论剑		华山论剑：{0}{1}/1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
96	1	{0}【竞技】{1}世界BOSS	参与世界BOSS活动		世界BOSS：{0}{1}/1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
97	1	{0}【竞技】{1}命运收割	在野外除掉一名玩家		教训玩家：{0}{1}/1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
98	1	{0}【帮会】{1}帮战	参加一次帮战		参加帮战：{0}{1}/1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
99	3	{0}【主】{1}帮忙	您要打听的人我知道，可是咱这最有名的雕梅酒有点供不应求了，少了青梅是做不出地道的雕梅酒的，$R可愿意帮忙摘些来？	有劳$R了，你要打听的人就是旁边的这位客官，您可别说是我说的。	采集青梅：{0}{1}/1	22.11239	82.21916	1	-1	49.87	28.58	1	187	49.87	28.58	1	187	1
100	0	{0}【主】{1}酒量	这位客官似是大有来头，小的也很好奇，此人在我店里已经喝了二十多碗酒了，却清醒如常，真乃奇人。	哈哈哈，痛快！想不到我乔某在大理能结交$R如此人物，真是三生有幸！	找乔峰对话：{0}{1}/1	54.05	32.17	1	8	49.87	28.58	1	187	54.05	32.17	1	8	1
101	0	{0}【主】{1}驭兽	大理子民十分敬仰王爷，帮忙找寻世子我们义不容辞，小人恰巧略懂驭兽之术，可对寻找世子有些帮助。	只要方法得当，$R短时间掌握第一种层次是没问题的。	和裁缝对话：{0}{1}/1	81.04	66	1	9	81.04	66	1	9	81.04	66	1	9	1
102	3	{0}【主】{1}豺肉	第一种驭兽层次比较易学，首先就是得到它的认同。可通过喂食使它消除敌意并产生信赖，去弄点豺肉来我告诉你怎么做。	要从动物的天性去理解它们的行为，这样慢慢就可以掌握到窍门了。	获得豺肉：{0}{1}/1	15.24	66.27	1	186	81.04	66	1	9	81.04	66	1	9	1
103	0	{0}【主】{1}朋友	你瞧什么呐，没见过美女么，本姑娘就是钟灵。 	原来如此，那我们现在也算半个朋友，朋友有难你不能不帮吧？	和钟灵对话：{0}{1}/1	17.55	52.42	2	32	17.55	52.42	2	32	17.55	52.42	2	32	1
104	3	{0}【主】{1}解渴	我在这山里转了大半天了，走不动了，$R帮我弄点梅子解解渴呗。	你和段大哥对我都很好，不像那些什么宗的弟子蛮横不讲理，仗着武功乱欺负人。	采集青梅：{0}{1}/1	9	22	2	-1	17.55	52.42	2	32	17.55	52.42	2	32	1
105	5	{0}【主】{1}字牌	你虽然帮我报了进喜儿的仇，但是进谷需要正确切口，你若答对我就放你进去。	$R是怎么知道这切口的，莫非你识得我家主人？	完成字牌：{0}{1}/1	57.89	10.17	5	40	57.89	10.17	5	40	57.89	10.17	5	40	1
106	2	{0}【主】{1}约定	咱们行走江湖之前我想先告诉朱兄一声，也好让父王放心。不如你先去万劫谷等我，稍后我便与你汇合。	$R果然是守信之人，我代小女感谢$R！	找甘宝宝：{0}{1}/1	40.85	9.52	5	41	48.52	55.35	2	33	40.85	9.52	5	41	1
107	0	{0}【主】{1}孽缘	我听灵儿说这次遇险，一起被救的还有个姓段的年轻人？可否与我说说。	今天说话的内容你要守口如瓶，千万不要让我夫君知晓。	对话甘宝宝：{0}{1}/1	40.85	9.52	5	41	40.85	9.52	5	41	40.85	9.52	5	41	1
108	2	{0}【主】{1}生辰	这个锦盒里有灵儿的生辰八字你拿去交给朱丹臣，让他转交给王爷,看后他自会明白的。	没想到在此遇到$R，我们追寻世子消息到了这里，却发现世子被四大恶人掳走了。	找朱丹臣：{0}{1}/1	22.8	50.06	5	314	40.85	9.52	5	41	22.8	50.06	5	314	1
109	2	{0}【主】{1}拜师	南海恶神硬要逼着世子拜他为师，不然就扭断他的脖子，这可如何是好。	哈哈，小子让我摸摸你的后脑海，看看是否适合做我南海恶神的传人。	找岳老三：{0}{1}/1	19.94	37.89	5	188	22.8	50.06	5	314	19.94	37.89	5	188	1
110	0	{0}【主】{1}威逼	段誉这小子练我南海派武功绝错不了，后脑海的反骨和我的一模一样，哈哈!	谁不听话我就咔嚓一下扭断他的脖子，怎么样厉害吧？	对话岳老三：{0}{1}/1	19.94	37.89	5	188	19.94	37.89	5	188	19.94	37.89	5	188	1
111	5	{0}【主】{1}溜走	你不同意段誉拜我为师，就是我岳老二的敌人，吃我一剪！	哼，岳老二今天不和你打了，改天咱们再来过。	打败岳老三：{0}{1}/1	19.94	37.89	5	188	19.94	37.89	5	188	19.94	37.89	5	188	1
112	2	{0}【主】{1}援手	你武功不错，老大是打不过的，但叶二娘是一定打的过。三妹和老四去追赶段小子和她的小媳妇了，你去不去？	$R可是前来援手的，散人先谢过$R。	找玉虚散人：{0}{1}/1	9.71	47.51	5	189	19.94	37.89	5	188	9.71	47.51	5	189	1
113	5	{0}【主】{1}切磋	没想到四大恶人中只是叶二娘和云中鹤已经这么厉害了。	犬子能结交你这样的朋友是他的造化。	打败叶二娘：{0}{1}/1	9.71	47.51	5	189	9.71	47.51	5	189	9.71	47.51	5	189	1
114	2	{0}【主】{1}躲避	此地不宜久留，四大恶人定会再来，誉儿中了邪毒被他伯父带去苍山天龙寺。你前去那里拜见本因方丈，或许有办法可以抵挡他们。	阿弥陀佛，有劳施主为大理皇室子孙奔走操劳，老衲有礼了。	找本因方丈：{0}{1}/1	46.58	17.45	20	192	9.71	47.51	5	189	46.58	17.45	20	192	1
