Id	Desc	Name	Level	BaseClass	AttrClass	MaxHP	MaxMP	PysAttack	MagAttack	PysDef	MagDef	Hit	Dodge	Critical	Decritical	Strike	Ductical	CritiAdd	CritiMis	EffectID
8502		2级外防宝石	2	2	5	0	0	0	0	243	0	0	0	0	0	0	0	0	0	117
8503		3级外防宝石	3	2	5	0	0	0	0	468	0	0	0	0	0	0	0	0	0	118
8504		4级外防宝石	4	2	5	0	0	0	0	789	0	0	0	0	0	0	0	0	0	118
8505		5级外防宝石	5	2	5	0	0	0	0	1197	0	0	0	0	0	0	0	0	0	118
8506		6级外防宝石	6	2	5	0	0	0	0	1686	0	0	0	0	0	0	0	0	0	119
8507		7级外防宝石	7	2	5	0	0	0	0	2247	0	0	0	0	0	0	0	0	0	119
8508		8级外防宝石	8	2	5	0	0	0	0	2877	0	0	0	0	0	0	0	0	0	119
8509		9级外防宝石	9	2	5	0	0	0	0	3576	0	0	0	0	0	0	0	0	0	120
8510		10级外防宝石	10	2	5	0	0	0	0	8673	0	0	0	0	0	0	0	0	0	120
8511		11级外防宝石	11	2	5	0	0	0	0	15477	0	0	0	0	0	0	0	0	0	120
8512		12级外防宝石	12	2	5	0	0	0	0	24168	0	0	0	0	0	0	0	0	0	120
8601		1级内防宝石	1	2	6	0	0	0	0	0	141	0	0	0	0	0	0	0	0	109
8602		2级内防宝石	2	2	6	0	0	0	0	0	243	0	0	0	0	0	0	0	0	109
8603		3级内防宝石	3	2	6	0	0	0	0	0	468	0	0	0	0	0	0	0	0	110
8604		4级内防宝石	4	2	6	0	0	0	0	0	789	0	0	0	0	0	0	0	0	110
8605		5级内防宝石	5	2	6	0	0	0	0	0	1197	0	0	0	0	0	0	0	0	110
8606		6级内防宝石	6	2	6	0	0	0	0	0	1686	0	0	0	0	0	0	0	0	111
8607		7级内防宝石	7	2	6	0	0	0	0	0	2247	0	0	0	0	0	0	0	0	111
8608		8级内防宝石	8	2	6	0	0	0	0	0	2877	0	0	0	0	0	0	0	0	111
8609		9级内防宝石	9	2	6	0	0	0	0	0	3576	0	0	0	0	0	0	0	0	112
8610		10级内防宝石	10	2	6	0	0	0	0	0	8673	0	0	0	0	0	0	0	0	112
8611		11级内防宝石	11	2	6	0	0	0	0	0	15477	0	0	0	0	0	0	0	0	112
8612		12级内防宝石	12	2	6	0	0	0	0	0	24168	0	0	0	0	0	0	0	0	112
8701		1级命中宝石	1	1	7	0	0	0	0	0	0	84	0	0	0	0	0	0	0	113
8702		2级命中宝石	2	1	7	0	0	0	0	0	0	142	0	0	0	0	0	0	0	113
8703		3级命中宝石	3	1	7	0	0	0	0	0	0	274	0	0	0	0	0	0	0	114
8704		4级命中宝石	4	1	7	0	0	0	0	0	0	464	0	0	0	0	0	0	0	114
8705		5级命中宝石	5	1	7	0	0	0	0	0	0	704	0	0	0	0	0	0	0	114
8706		6级命中宝石	6	1	7	0	0	0	0	0	0	990	0	0	0	0	0	0	0	115
8707		7级命中宝石	7	1	7	0	0	0	0	0	0	1320	0	0	0	0	0	0	0	115
8708		8级命中宝石	8	1	7	0	0	0	0	0	0	1690	0	0	0	0	0	0	0	115
8709		9级命中宝石	9	1	7	0	0	0	0	0	0	2100	0	0	0	0	0	0	0	116
8710		10级命中宝石	10	1	7	0	0	0	0	0	0	5093	0	0	0	0	0	0	0	116
8711		11级命中宝石	11	1	7	0	0	0	0	0	0	9090	0	0	0	0	0	0	0	149
8712		12级命中宝石	12	1	7	0	0	0	0	0	0	14192	0	0	0	0	0	0	0	150
8801		1级闪避宝石	1	2	8	0	0	0	0	0	0	0	42	0	0	0	0	0	0	105
8802		2级闪避宝石	2	2	8	0	0	0	0	0	0	0	71	0	0	0	0	0	0	105
8803		3级闪避宝石	3	2	8	0	0	0	0	0	0	0	137	0	0	0	0	0	0	106
8804		4级闪避宝石	4	2	8	0	0	0	0	0	0	0	232	0	0	0	0	0	0	106
8805		5级闪避宝石	5	2	8	0	0	0	0	0	0	0	352	0	0	0	0	0	0	106
8806		6级闪避宝石	6	2	8	0	0	0	0	0	0	0	495	0	0	0	0	0	0	107
8807		7级闪避宝石	7	2	8	0	0	0	0	0	0	0	660	0	0	0	0	0	0	107
8808		8级闪避宝石	8	2	8	0	0	0	0	0	0	0	845	0	0	0	0	0	0	107
8809		9级闪避宝石	9	2	8	0	0	0	0	0	0	0	1050	0	0	0	0	0	0	108
8810		10级闪避宝石	10	2	8	0	0	0	0	0	0	0	2546	0	0	0	0	0	0	108
8811		11级闪避宝石	11	2	8	0	0	0	0	0	0	0	4545	0	0	0	0	0	0	108
8812		12级闪避宝石	12	2	8	0	0	0	0	0	0	0	7096	0	0	0	0	0	0	108
8901		1级暴击宝石	1	1	9	0	0	0	0	0	0	0	0	72	0	0	0	0	0	105
8902		2级暴击宝石	2	1	9	0	0	0	0	0	0	0	0	122	0	0	0	0	0	105
8903		3级暴击宝石	3	1	9	0	0	0	0	0	0	0	0	235	0	0	0	0	0	106
8904		4级暴击宝石	4	1	9	0	0	0	0	0	0	0	0	398	0	0	0	0	0	106
8905		5级暴击宝石	5	1	9	0	0	0	0	0	0	0	0	603	0	0	0	0	0	106
8906		6级暴击宝石	6	1	9	0	0	0	0	0	0	0	0	849	0	0	0	0	0	107
8907		7级暴击宝石	7	1	9	0	0	0	0	0	0	0	0	1131	0	0	0	0	0	107
8908		8级暴击宝石	8	1	9	0	0	0	0	0	0	0	0	1449	0	0	0	0	0	107
8909		9级暴击宝石	9	1	9	0	0	0	0	0	0	0	0	1800	0	0	0	0	0	108
8910		10级暴击宝石	10	1	9	0	0	0	0	0	0	0	0	4366	0	0	0	0	0	108
8911		11级暴击宝石	11	1	9	0	0	0	0	0	0	0	0	7791	0	0	0	0	0	145
8912		12级暴击宝石	12	1	9	0	0	0	0	0	0	0	0	12165	0	0	0	0	0	146
9001		1级暴抗宝石	1	2	10	0	0	0	0	0	0	0	0	0	48	0	0	0	0	105
9002		2级暴抗宝石	2	2	10	0	0	0	0	0	0	0	0	0	81	0	0	0	0	105
9003		3级暴抗宝石	3	2	10	0	0	0	0	0	0	0	0	0	157	0	0	0	0	106
9004		4级暴抗宝石	4	2	10	0	0	0	0	0	0	0	0	0	265	0	0	0	0	106
9005		5级暴抗宝石	5	2	10	0	0	0	0	0	0	0	0	0	402	0	0	0	0	106
9006		6级暴抗宝石	6	2	10	0	0	0	0	0	0	0	0	0	566	0	0	0	0	107
9007		7级暴抗宝石	7	2	10	0	0	0	0	0	0	0	0	0	754	0	0	0	0	107
9008		8级暴抗宝石	8	2	10	0	0	0	0	0	0	0	0	0	966	0	0	0	0	107
9009		9级暴抗宝石	9	2	10	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	108
9010		10级暴抗宝石	10	2	10	0	0	0	0	0	0	0	0	0	2910	0	0	0	0	108
9011		11级暴抗宝石	11	2	10	0	0	0	0	0	0	0	0	0	5194	0	0	0	0	108
9012		12级暴抗宝石	12	2	10	0	0	0	0	0	0	0	0	0	8110	0	0	0	0	108
9101		1级穿透宝石	1	1	11	0	0	0	0	0	0	0	0	0	0	87	0	0	0	113
9102		2级穿透宝石	2	1	11	0	0	0	0	0	0	0	0	0	0	149	0	0	0	113
9103		3级穿透宝石	3	1	11	0	0	0	0	0	0	0	0	0	0	287	0	0	0	114
9104		4级穿透宝石	4	1	11	0	0	0	0	0	0	0	0	0	0	485	0	0	0	114
9105		5级穿透宝石	5	1	11	0	0	0	0	0	0	0	0	0	0	736	0	0	0	114
9106		6级穿透宝石	6	1	11	0	0	0	0	0	0	0	0	0	0	1035	0	0	0	115
9107		7级穿透宝石	7	1	11	0	0	0	0	0	0	0	0	0	0	1380	0	0	0	115
9108		8级穿透宝石	8	1	11	0	0	0	0	0	0	0	0	0	0	1767	0	0	0	115
9109		9级穿透宝石	9	1	11	0	0	0	0	0	0	0	0	0	0	2195	0	0	0	116
9110		10级穿透宝石	10	1	11	0	0	0	0	0	0	0	0	0	0	5325	0	0	0	116
9111		11级穿透宝石	11	1	11	0	0	0	0	0	0	0	0	0	0	9504	0	0	0	149
9112		12级穿透宝石	12	1	11	0	0	0	0	0	0	0	0	0	0	14839	0	0	0	150
9201		1级韧性宝石	1	2	12	0	0	0	0	0	0	0	0	0	0	0	87	0	0	109
9202		2级韧性宝石	2	2	12	0	0	0	0	0	0	0	0	0	0	0	149	0	0	109
9203		3级韧性宝石	3	2	12	0	0	0	0	0	0	0	0	0	0	0	287	0	0	110
9204		4级韧性宝石	4	2	12	0	0	0	0	0	0	0	0	0	0	0	485	0	0	110
9205		5级韧性宝石	5	2	12	0	0	0	0	0	0	0	0	0	0	0	736	0	0	110
9206		6级韧性宝石	6	2	12	0	0	0	0	0	0	0	0	0	0	0	1035	0	0	111
9207		7级韧性宝石	7	2	12	0	0	0	0	0	0	0	0	0	0	0	1380	0	0	111
9208		8级韧性宝石	8	2	12	0	0	0	0	0	0	0	0	0	0	0	1767	0	0	111
9209		9级韧性宝石	9	2	12	0	0	0	0	0	0	0	0	0	0	0	2195	0	0	112
9210		10级韧性宝石	10	2	12	0	0	0	0	0	0	0	0	0	0	0	5325	0	0	112
9211		11级韧性宝石	11	2	12	0	0	0	0	0	0	0	0	0	0	0	9504	0	0	112
9212		12级韧性宝石	12	2	12	0	0	0	0	0	0	0	0	0	0	0	14839	0	0	112
9301		1级暴加宝石	1	1	13	0	0	0	0	0	0	0	0	0	0	0	0	112	0	105
9302		2级暴加宝石	2	1	13	0	0	0	0	0	0	0	0	0	0	0	0	190	0	105
9303		3级暴加宝石	3	1	13	0	0	0	0	0	0	0	0	0	0	0	0	367	0	106
9304		4级暴加宝石	4	1	13	0	0	0	0	0	0	0	0	0	0	0	0	620	0	106
9305		5级暴加宝石	5	1	13	0	0	0	0	0	0	0	0	0	0	0	0	940	0	106
9306		6级暴加宝石	6	1	13	0	0	0	0	0	0	0	0	0	0	0	0	1322	0	107
9307		7级暴加宝石	7	1	13	0	0	0	0	0	0	0	0	0	0	0	0	1762	0	107
9308		8级暴加宝石	8	1	13	0	0	0	0	0	0	0	0	0	0	0	0	2257	0	107
9309		9级暴加宝石	9	1	13	0	0	0	0	0	0	0	0	0	0	0	0	2804	0	108
9310		10级暴加宝石	10	1	13	0	0	0	0	0	0	0	0	0	0	0	0	6801	0	108
9311		11级暴加宝石	11	1	13	0	0	0	0	0	0	0	0	0	0	0	0	12137	0	145
9312		12级暴加宝石	12	1	13	0	0	0	0	0	0	0	0	0	0	0	0	18950	0	146
9401		1级暴减宝石	1	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	112	105
9402		2级暴减宝石	2	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	190	105
9403		3级暴减宝石	3	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	367	106
9404		4级暴减宝石	4	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	620	106
9405		5级暴减宝石	5	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	940	106
9406		6级暴减宝石	6	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1322	107
9407		7级暴减宝石	7	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1762	107
9408		8级暴减宝石	8	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	2257	107
9409		9级暴减宝石	9	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	2804	108
9410		10级暴减宝石	10	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	6801	108
9411		11级暴减宝石	11	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	12137	108
9412		12级暴减宝石	12	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	18950	108
