Id	Desc	Name	Info	Icon	Type	OpenLevel	ProductGroup	Money	Stamina	StuffID1	StuffCount1	StuffID2	StuffCount2	StuffID3	StuffCount3	StuffID4	StuffCount4
14	丹药90级法术攻击	3品元气丹	增强内功攻击1082	mofagongji_03	1	90	15	150	8	2041	1	2031	40	2032	40	-1	-1
15	丹药100级法术攻击	4品元气丹	增强内功攻击1788	mofagongji_04	1	100	16	200	10	2042	1	2032	50	2033	50	-1	-1
16	丹药50级物理防御	1品护元丹	增强外功防御101	wulifangyu_01	1	50	17	50	4	2039	1	2030	20	-1	-1	-1	-1
17	丹药70级物理防御	2品护元丹	增强外功防御409	wulifangyu_02	1	70	18	100	6	2040	1	2030	30	2031	30	-1	-1
18	丹药90级物理防御	3品护元丹	增强外功防御686	wulifangyu_03	1	90	19	150	8	2041	1	2031	40	2032	40	-1	-1
19	丹药100级物理防御	4品护元丹	增强外功防御1134	wulifangyu_04	1	100	20	200	10	2042	1	2032	50	2033	50	-1	-1
20	丹药50级法术防御	1品护心丹	增强内功防御101	mofafangyu_01	1	50	21	50	4	2039	1	2030	20	-1	-1	-1	-1
21	丹药70级法术防御	2品护心丹	增强内功防御409	mofafangyu_02	1	70	22	100	6	2040	1	2030	30	2031	30	-1	-1
22	丹药90级法术防御	3品护心丹	增强内功防御686	mofafangyu_03	1	90	23	150	8	2041	1	2031	40	2032	40	-1	-1
23	丹药100级法术防御	4品护心丹	增强内功防御1134	mofafangyu_04	1	100	24	200	10	2042	1	2032	50	2033	50	-1	-1
24	丹药50级命中	1品凝神丹	增强命中93	mingzhong_01	1	50	25	50	4	2039	1	2030	20	-1	-1	-1	-1
25	丹药70级命中	2品凝神丹	增强命中370	mingzhong_02	1	70	26	100	6	2040	1	2030	30	2031	30	-1	-1
26	丹药90级命中	3品凝神丹	增强命中614	mingzhong_03	1	90	27	150	8	2041	1	2031	40	2032	40	-1	-1
27	丹药100级命中	4品凝神丹	增强命中1011	mingzhong_04	1	100	28	200	10	2042	1	2032	50	2033	50	-1	-1
28	丹药50级闪避	1品轻身丹	增强闪避49	shanbi_01	1	50	29	50	4	2039	1	2030	20	-1	-1	-1	-1
29	丹药70级闪避	2品轻身丹	增强闪避192	shanbi_02	1	70	30	100	6	2040	1	2030	30	2031	30	-1	-1
30	丹药90级闪避	3品轻身丹	增强闪避317	shanbi_03	1	90	31	150	8	2041	1	2031	40	2032	40	-1	-1
31	丹药100级闪避	4品轻身丹	增强闪避520	shanbi_04	1	100	32	200	10	2042	1	2032	50	2033	50	-1	-1
32	丹药50级暴击	1品炎阳丹	增强暴击86	baoji_01	1	50	33	50	4	2039	1	2030	20	-1	-1	-1	-1
33	丹药70级暴击	2品炎阳丹	增强暴击333	baoji_02	1	70	34	100	6	2040	1	2030	30	2031	30	-1	-1
34	丹药90级暴击	3品炎阳丹	增强暴击545	baoji_03	1	90	35	150	8	2041	1	2031	40	2032	40	-1	-1
35	丹药100级暴击	4品炎阳丹	增强暴击892	baoji_04	1	100	36	200	10	2042	1	2032	50	2033	50	-1	-1
36	丹药50级血上限	1品凝血丹	增强血上限2370	zhanyishangxian_01	1	50	37	50	4	2039	1	2030	20	-1	-1	-1	-1
37	丹药70级血上限	2品凝血丹	增强血上限9810	zhanyishangxian_02	1	70	38	100	6	2040	1	2030	30	2031	30	-1	-1
38	丹药90级血上限	3品凝血丹	增强血上限16680	zhanyishangxian_03	1	90	39	150	8	2041	1	2031	40	2032	40	-1	-1
39	丹药100级血上限	4品凝血丹	增强血上限27720	zhanyishangxian_04	1	100	40	200	10	2042	1	2032	50	2033	50	-1	-1
