Id	Desc	LimitID	BonusID	MissionType	LogicType	LogicID	ScriptID	NextMissionID	AcceptDataID	CompleteDataID	DalityMissionTabID
37	【主】结拜	37	37	1	-1	-1	2014	209	33	33	-1
38	【主】竞技	38	38	1	-1	-1	2020	22	40	40	-1
39	【主】强化	39	39	1	-1	-1	2018	25	41	41	-1
40	【门派】掌门问候	40	-1	0	0	22	-1	-1	-1	218	0
41	【门派】行侠仗义	41	-1	0	1	8	-1	-1	-1	-1	1
42	【门派】收集物资	42	-1	0	5	3	-1	-1	-1	-1	2
43	【门派】掌门问候	43	-1	0	0	23	-1	-1	-1	8	3
44	【门派】行侠仗义	44	-1	0	1	9	-1	-1	-1	-1	4
45	【门派】收集物资	45	-1	0	5	4	-1	-1	-1	-1	5
46	【门派】掌门问候	46	-1	0	0	24	-1	-1	-1	200	6
47	【门派】行侠仗义	47	-1	0	1	10	-1	-1	-1	-1	7
48	【门派】收集物资	48	-1	0	5	5	-1	-1	-1	-1	8
49	【野外】无量山除恶	49	-1	0	1	11	-1	-1	-1	-1	9
50	【野外】无量山除恶	50	-1	0	1	12	-1	-1	-1	-1	10
51	【野外】无量山除恶	51	-1	0	1	13	-1	-1	-1	-1	11
52	【野外】万劫谷除恶	52	-1	0	1	14	-1	-1	-1	-1	12
53	【野外】万劫谷除恶	53	-1	0	1	15	-1	-1	-1	-1	13
54	【野外】万劫谷除恶	54	-1	0	1	16	-1	-1	-1	-1	14
55	【野外】苍山除恶	55	-1	0	1	17	-1	-1	-1	-1	15
56	【野外】苍山除恶	56	-1	0	1	18	-1	-1	-1	-1	16
57	【野外】苍山除恶	57	-1	0	1	19	-1	-1	-1	-1	17
58	【野外】燕子坞除恶	58	-1	0	1	20	-1	-1	-1	-1	18
59	【野外】燕子坞除恶	59	-1	0	1	21	-1	-1	-1	-1	19
60	【野外】燕子坞除恶	60	-1	0	1	22	-1	-1	-1	-1	20
61	【野外】小镜湖除恶	61	-1	0	1	23	-1	-1	-1	-1	21
62	【野外】小镜湖除恶	62	-1	0	1	24	-1	-1	-1	-1	22
63	【野外】小镜湖除恶	63	-1	0	1	25	-1	-1	-1	-1	23
64	【野外】杏子林除恶	64	-1	0	1	26	-1	-1	-1	-1	24
65	【野外】杏子林除恶	65	-1	0	1	27	-1	-1	-1	-1	25
66	【野外】杏子林除恶	66	-1	0	1	28	-1	-1	-1	-1	26
67	【野外】聚贤庄除恶	67	-1	0	1	29	-1	-1	-1	-1	27
68	【野外】聚贤庄除恶	68	-1	0	1	30	-1	-1	-1	-1	28
69	【野外】聚贤庄除恶	69	-1	0	1	31	-1	-1	-1	-1	29
70	【野外】少室山除恶	70	-1	0	1	32	-1	-1	-1	-1	30
71	【野外】少室山除恶	71	-1	0	1	33	-1	-1	-1	-1	31
72	【野外】少室山除恶	72	-1	0	1	34	-1	-1	-1	-1	32
73	【野外】雁门关除恶	73	-1	0	1	35	-1	-1	-1	-1	33
74	【野外】雁门关除恶	74	-1	0	1	36	-1	-1	-1	-1	34
75	【野外】雁门关除恶	75	-1	0	1	37	-1	-1	-1	-1	35
76	【野外】敦煌除恶	76	-1	0	1	38	-1	-1	-1	-1	36
77	【野外】敦煌除恶	77	-1	0	1	39	-1	-1	-1	-1	37
78	【野外】敦煌除恶	78	-1	0	1	40	-1	-1	-1	-1	38
79	【野外】雪原除恶	79	-1	0	1	41	-1	-1	-1	-1	39
80	【野外】雪原除恶	80	-1	0	1	42	-1	-1	-1	-1	40
81	【野外】雪原除恶	81	-1	0	1	43	-1	-1	-1	-1	41
82	【野外】缥缈峰除恶	82	-1	0	1	44	-1	-1	-1	-1	42
83	【野外】缥缈峰除恶	83	-1	0	1	45	-1	-1	-1	-1	43
84	【野外】缥缈峰除恶	84	-1	0	1	46	-1	-1	-1	-1	44
85	【副本】燕子坞—普通	85	-1	0	-1	-1	-1	-1	-1	-1	45
86	【副本】燕王古墓—普通	86	-1	0	-1	-1	-1	-1	-1	-1	46
87	【副本】珍珑棋局—普通	87	-1	0	-1	-1	-1	-1	-1	-1	47
88	【副本】聚贤庄—普通	88	-1	0	-1	-1	-1	-1	-1	-1	48
89	【副本】少室山—普通	89	-1	0	-1	-1	-1	-1	-1	-1	49
90	【副本】藏经阁	90	-1	0	-1	-1	-1	-1	-1	-1	50
91	【强化】装备吸收	91	-1	0	-1	-1	-1	-1	-1	-1	51
92	【强化】装备打星	92	-1	0	-1	-1	-1	-1	-1	-1	52
93	【强化】装备镶嵌	93	-1	0	-1	-1	-1	-1	-1	-1	53
94	【竞技】江湖名人录	94	-1	0	-1	-1	-1	-1	-1	-1	54
95	【竞技】华山论剑	95	-1	0	-1	-1	-1	-1	-1	-1	55
96	【竞技】世界BOSS	96	-1	0	-1	-1	-1	-1	-1	-1	56
97	【竞技】命运收割	97	-1	0	-1	-1	-1	-1	-1	-1	57
98	【帮会】帮战	98	-1	0	-1	-1	-1	-1	-1	-1	58
99	【主】5帮忙	99	99	1	3	2	-1	100	187	187	-1
100	【主】6酒量	100	100	1	0	25	-1	5	187	8	-1
101	【主】9驭兽	101	101	1	0	26	-1	102	9	9	-1
102	【主】10豺肉	102	102	1	5	6	-1	7	9	9	-1
103	【主】18朋友	103	103	1	0	27	-1	104	32	32	-1
104	【主】19解渴	104	104	1	3	3	-1	10	32	32	-1
105	【主】30字牌	105	105	1	-1	-1	2032	23	40	40	-1
106	【主】约定1	106	106	1	2	18	-1	107	33	41	-1
107	【主】孽缘2	107	107	1	0	28	-1	108	41	41	-1
108	【主】生辰3	108	108	1	2	19	-1	109	41	314	-1
109	【主】拜师4	109	109	1	2	20	-1	110	314	188	-1
110	【主】威逼5	110	110	1	0	29	-1	111	188	188	-1
111	【主】溜走6	111	111	1	6	5	-1	112	188	188	-1
112	【主】援手7	112	112	1	2	21	-1	113	188	189	-1
113	【主】切磋8	113	113	1	6	6	-1	114	189	189	-1
114	【主】躲避9	114	114	1	2	22	-1	115	189	192	-1
115	【主】危难10	115	115	1	0	30	-1	116	192	192	-1
116	【主】求助11	116	116	1	2	23	-1	117	192	193	-1
117	【主】磨练12	117	117	1	1	47	-1	118	193	193	-1
118	【主】降怪13	118	118	1	1	48	2005	119	193	193	-1
119	【主】福源14	119	119	1	2	24	-1	120	193	192	-1
120	【主】解困15	120	120	1	1	49	-1	121	192	192	-1
121	【主】美景16	121	121	1	4	1	2027	122	192	192	-1
122	【主】威胁17	122	122	1	1	50	-1	123	192	192	-1
123	【主】丹药18	123	123	1	3	4	-1	124	192	192	-1
124	【主】爬塔19	124	124	1	-1	-1	2022	210	192	192	-1
125	【主】重入20	125	125	1	-1	-1	2023	126	192	192	-1
126	【主】提醒21	126	126	1	2	25	-1	127	192	193	-1
127	【主】挑衅22	127	127	1	0	31	-1	128	193	193	-1
128	【主】比武23	128	128	1	6	10	-1	129	193	193	-1
129	【主】参悟24	129	129	1	-1	-1	2028	130	193	193	-1
130	【主】焚烧25	130	130	1	6	7	-1	131	193	193	-1
131	【主】拜服26	131	131	1	2	26	-1	132	193	194	-1
132	【主】剑谱27	132	132	1	-1	-1	2024	133	194	197	-1
133	【主】挟持28	133	133	1	0	32	-1	134	197	197	-1
134	【主】寻路29	134	134	1	2	27	-1	135	197	195	-1
135	【主】冤屈30	135	135	1	0	33	-1	136	195	195	-1
136	【主】报答31	136	136	1	2	28	-1	137	195	198	-1
137	【主】恶奴32	137	137	1	1	51	-1	138	198	198	-1
138	【主】搭救33	138	138	1	2	29	-1	139	198	195	-1
139	【主】阿碧34	139	139	1	2	30	-1	140	195	196	-1
140	【主】警惕35	140	140	1	0	34	-1	141	196	196	-1
141	【主】阿朱36	141	141	1	2	31	-1	142	196	200	-1
142	【主】烦恼37	142	142	1	0	35	-1	143	200	200	-1
143	【主】美食38	143	143	1	3	5	-1	144	200	200	-1
144	【主】伪装39	144	144	1	-1	-1	2025	145	200	200	-1
145	【主】宝贝40	145	145	1	0	54	-1	146	200	200	-1
146	【主】告知41	146	146	1	2	32	-1	147	200	201	-1
147	【主】演戏42	147	147	1	0	36	-1	148	201	201	-1
148	【主】出手43	148	148	1	1	52	-1	149	201	201	-1
149	【主】【30-40】1教训	149	149	1	1	53	-1	150	201	201	-1
150	【主】2神兽	150	150	1	-1	-1	2002	151	201	201	-1
151	【主】3暂避	151	151	1	2	33	-1	152	201	200	-1
152	【主】4澄清	152	152	1	0	37	-1	153	200	200	-1
153	【主】5燕子坞	153	153	1	6	8	-1	154	200	200	-1
154	【主】6同门	154	154	1	2	34	-1	155	200	196	-1
155	【主】7门派	155	155	1	2	35	-1	156	196	319	-1
156	【主】8报仇	156	156	1	0	38	-1	157	319	319	-1
157	【主】9历练	157	157	1	-1	-1	2026	158	319	319	-1
158	【主】10秘笈	158	158	1	2	36	-1	159	319	217	-1
159	【主】11花肥	159	159	1	1	54	-1	160	217	217	-1
160	【主】12免罚	160	160	1	1	55	-1	161	217	217	-1
161	【主】13寻找	161	161	1	0	39	-1	162	217	217	-1
162	【主】14琅嬛	162	162	1	2	37	-1	163	217	218	-1
163	【主】15外界	163	163	1	0	40	-1	164	218	218	-1
164	【主】16招式	164	164	1	1	56	-1	165	218	218	-1
165	【主】17丐帮	165	165	1	2	38	-1	166	218	219	-1
166	【主】18剿匪	166	166	1	1	57	-1	167	219	219	-1
167	【主】19遗失	167	167	1	5	7	-1	168	219	219	-1
168	【主】20蹊跷	168	168	1	0	41	-1	169	219	219	-1
169	【主】21同行	169	169	1	2	39	-1	170	219	221	-1
170	【主】22平乱	170	170	1	1	58	-1	171	221	221	-1
171	【主】23帮主	171	171	1	2	40	-1	172	221	222	-1
172	【主】24不解	172	172	1	0	42	-1	173	222	222	-1
173	【主】25御敌	173	173	1	1	59	-1	174	222	222	-1
174	【主】26擒王	174	174	1	2	41	-1	175	222	223	-1
175	【主】27拉拢	175	175	1	0	43	-1	176	223	223	-1
176	【主】28高手	176	176	1	1	60	-1	177	223	223	-1
177	【主】29恐吓	177	177	1	2	42	-1	178	223	222	-1
178	【主】30劲敌	178	178	1	6	9	-1	179	222	222	-1
179	【主】31宝石	179	179	1	-1	-1	2004	180	222	222	-1
180	【主】32身世	180	180	1	2	43	-1	181	222	322	-1
181	【主】争辩33	181	181	1	0	44	-1	182	322	322	-1
182	【主】怒气34	182	182	1	2	44	-1	183	322	323	-1
183	【主】求证35	183	183	1	2	45	-1	184	323	324	-1
184	【主】神医36	184	184	1	0	45	-1	185	324	324	-1
185	【主】发帖37	185	185	1	2	46	-1	186	324	325	-1
186	【主】聚众38	186	186	1	0	46	-1	187	325	325	-1
187	【主】送信39	187	187	1	2	47	-1	188	325	326	-1
188	【主】奇冤40	188	188	1	0	47	-1	189	326	326	-1
189	【主】续命41	189	189	1	2	48	-1	237	326	327	-1
190	【主】犯险42	190	190	1	1	61	-1	191	327	327	-1
191	【主】担忧43	191	191	1	1	62	-1	192	327	327	-1
192	【主】托付44	192	192	1	0	48	-1	193	327	327	-1
193	【主】埋伏45	193	193	1	1	63	-1	194	327	327	-1
194	【主】牵挂46	194	194	1	2	49	-1	195	327	326	-1
195	【主】杀戮47	195	195	1	-1	-1	2029	196	326	326	-1
196	【主】医治48	196	196	1	2	50	-1	197	326	325	-1
197	【主】和尚49	197	197	1	2	51	-1	198	325	320	-1
198	【主】吃肉50	198	198	1	5	8	-1	199	320	320	-1
199	【主】无趣51	199	199	1	0	49	-1	200	320	320	-1
200	【主】寻乐52	200	200	1	1	64	-1	201	320	320	-1
201	【主】玄慈53	201	201	1	2	52	-1	202	320	321	-1
202	【主】秘密54	202	202	1	0	50	-1	203	321	321	-1
203	【主】疯癫55	203	203	1	2	53	-1	204	321	320	-1
204	【主】喝酒56	204	204	1	5	9	-1	205	320	320	-1
205	【主】帮派57	205	205	1	2	54	-1	207	320	214	-1
206	【主】入帮58	206	206	2	-1	-1	2030	-1	214	214	-1
207	【主】日常59	207	207	1	-1	-1	2031	233	214	214	-1
208	【主】人质	208	208	1	2	55	-1	35	35	33	-1
209	【主】棋局	209	209	1	-1	-1	2007	106	33	33	-1
210	【主】渐进	210	210	1	-1	-1	2006	125	192	192	-1
211	【抽奖】每日抽奖	211	-1	0	8	3	-1	-1	-1	-1	59
212	【美人】亲密	212	-1	0	8	1	-1	-1	-1	-1	60
213	【伙伴】吸收	213	-1	0	8	2	-1	-1	-1	-1	61
214	【支】宝物	214	214	2	5	10	-1	215	214	214	-1
215	【支】玄铁	215	215	2	-1	-1	-1	216	214	214	-1
216	【支】古墓	216	216	2	-1	-1	-1	217	214	214	-1
217	【支】合成	217	217	2	-1	-1	-1	-1	214	214	-1
218	【主】精进	218	218	1	7	1	-1	219	214	214	-1
219	【主】打星	219	219	1	-1	-1	2038	241	214	214	-1
220	【主】而立	220	220	1	7	2	-1	222	214	214	-1
221	【主】魔头	221	221	2	-1	-1	-1	-1	214	214	-1
222	【主】立德	222	222	1	7	3	-1	223	214	214	-1
223	【主】锄奸	223	223	1	-1	-1	-1	242	214	214	-1
224	【主】立言	224	224	1	7	4	-1	225	214	214	-1
225	【主】侠客	225	225	1	-1	-1	-1	226	214	214	-1
226	【主】立身	226	226	1	7	5	-1	227	214	214	-1
227	【主】不惑	227	227	1	7	6	-1	228	214	214	-1
228	【主】天命	228	228	1	7	7	-1	229	214	214	-1
229	【主】盟主	229	229	1	-1	-1	-1	230	214	214	-1
230	【主】耳顺	230	230	1	7	8	-1	231	214	214	-1
231	【主】从心	231	231	1	7	9	-1	232	214	214	-1
232	【主】所欲	232	232	1	7	10	-1	-1	214	214	-1
233	【主】装备	233	233	1	-1	-1	2008	218	214	214	-1
234	【主】经验	234	234	1	-1	-1	2010	220	214	214	-1
235	【主】棋魂	235	235	1	-1	-1	2011	224	214	214	-1
236	【主】耕耘	236	236	2	-1	-1	2012	-1	212	212	-1
237	【主】丹药	237	237	1	5	11	2033	190	327	327	-1
238	【光棍节】表白	238	238	2	-1	-1	2034	-1	208	208	-1
239	【感恩节】仪式	239	239	2	-1	-1	2035	-1	208	12	-1
240	【感恩节】礼拜	240	240	2	0	-1	2036	-1	12	12	-1
241	【主】前行	241	241	1	-1	-1	2037	234	214	214	-1
242	【主】坚持	242	242	1	-1	-1	2037	235	214	214	-1
