Id	Description	CharModelID	Name	Sex	NpcType	Level	AttackType	AttackDisType	SkillstrategyIndex	MaxHP	MaxMP	MaxXP	PDefense	PAttack	MDefense	MAttack	Hit	Dodge	Critical	DeCritical	Strike	Ductical	CritiAdd	CritiMis	AttackTime	MoveSpeed	Camp	PathRadius	AlertRadius	IsRanbdMove	RandMoveDis	CorpseTime	ReviveTime	DialogID	DialogRadius	DropItemId	Exp	IsAttackFly	BornEffctID	DieEffectID	RampType	EnhanceID	BelongType	CombatNPC	MissionNpcFlag
7	洱海—NPC	7	褚万里	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	7	2	-1	100	1	-1	-1	-1	-1	2	0	0
8	洱海—NPC	8	乔峰	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	8	2	-1	100	1	-1	-1	-1	-1	2	0	0
9	洱海—NPC	9	裁缝	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	9	2	-1	100	1	-1	-1	-1	-1	2	0	0
10	洱海—NPC	10	结婚	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	10	2	-1	100	1	-1	-1	-1	-1	2	0	0
11	洱海—NPC	11	强化	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	11	2	-1	100	1	-1	-1	-1	-1	2	0	0
12	洱海—NPC	12	奖励	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	12	2	-1	100	1	-1	-1	-1	-1	2	0	0
13	洱海—NPC	13	伙伴	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	13	2	-1	100	1	-1	-1	-1	-1	2	0	0
14	洱海—NPC	14	商人	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	14	2	-1	100	1	-1	-1	-1	-1	2	0	0
15	洱海—野怪	93	豹子	1	0	2	0	0	0	364	0	0	29	80	29	80	10212	-2119	2002	-998	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	2	24	1	-1	-1	-1	-1	2	0	0
16	洱海—NPC	16	铁匠	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	15	2	-1	100	1	-1	-1	-1	-1	2	0	0
17	洱海—NPC	17	活动	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	16	2	-1	100	1	-1	-1	-1	-1	2	0	0
18	洱海—NPC	18	伙伴	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	17	2	-1	100	1	-1	-1	-1	-1	2	0	0
19	洱海—NPC	19	酒楼	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	18	2	-1	100	1	-1	-1	-1	-1	2	0	0
20	洱海—NPC	20	任务	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	-1	2	-1	100	1	-1	-1	-1	-1	2	0	0
21	洱海—NPC	21	商人	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	19	2	-1	100	1	-1	-1	-1	-1	2	0	0
22	洱海—NPC	22	节日	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	12	2	-1	100	1	-1	-1	-1	-1	2	0	0
23	洱海—NPC	23	强化	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	21	2	-1	100	1	-1	-1	-1	-1	2	0	0
24	洱海—NPC	8	帮会	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	22	2	-1	100	1	-1	-1	-1	-1	2	0	0
25	洱海—NPC	25	奖励	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	23	2	-1	100	1	-1	-1	-1	-1	2	0	0
26	洱海—NPC	26	仓库	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	24	2	-1	100	1	-1	-1	-1	-1	2	0	0
27	洱海—NPC	27	逍遥接引	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	25	2	-1	100	1	-1	-1	-1	-1	2	0	0
28	洱海—NPC	28	少林接引	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	26	2	-1	100	1	-1	-1	-1	-1	2	0	0
29	洱海—NPC	29	天山接引	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	27	2	-1	100	1	-1	-1	-1	-1	2	0	0
30	洱海—NPC	30	大理接引	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	28	2	-1	100	1	-1	-1	-1	-1	2	0	0
31	无量山—NPC	31	马伍德	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	29	2	-1	100	1	-1	-1	-1	-1	2	0	0
32	无量山—NPC	32	钟灵	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	30	2	-1	100	1	-1	-1	-1	-1	2	0	0
33	无量山—NPC	33	段誉	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	31	2	-1	100	1	-1	-1	-1	-1	2	0	0
34	无量山—NPC	252	左子穆	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	32	2	-1	100	1	-1	-1	-1	-1	2	0	0
35	无量山—NPC	253	司空玄	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	33	2	-1	100	1	-1	-1	-1	-1	2	0	0
36	无量山—野怪	80	剑宗弟子	1	0	12	0	0	0	1816	0	0	76	213	76	213	10243	-2041	2028	-969	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	2	84	1	-1	-1	-1	-1	2	1	0
37	无量山—野怪	37	神农帮弟子	1	0	11	0	0	0	1704	0	0	70	198	70	198	10240	-2050	2026	-972	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	2	78	1	-1	-1	-1	-1	2	1	0
38	无量山—野怪	78	野狼	1	0	14	0	0	0	2056	0	0	86	244	86	244	10250	-2023	2033	-964	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	2	96	1	-1	-1	-1	-1	2	0	0
39	无量山—野外boss	39	莽牯毒蛤	1	2	19	0	0	2	13697	0	0	118	354	118	354	10266	-1979	2046	-950	0	0	0	0	1500	375	3	12	5	1	2	3000	2000	-1	2	-1	1260	1	-1	139	2	-1	2	0	0
40	万劫谷—NPC	40	来福	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	34	2	-1	100	1	-1	-1	-1	-1	2	0	0
41	万劫谷—NPC	41	甘宝宝	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	35	2	-1	100	1	-1	-1	-1	-1	2	0	0
42	野外boss	42	钟万仇	0	2	16	0	0	0	11335	0	0	101	306	101	306	10256	-2005	2038	-958	0	0	0	0	1200	375	2	12	5	0	0	3000	2000	36	2	-1	190	1	-1	-1	-1	-1	2	1	1
43	万劫谷—NPC	43	木婉清	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	37	2	-1	100	1	-1	-1	-1	-1	2	0	0
44	万劫谷—NPC	44	平婆婆	0	0	1	0	0	0	200	100	0	20	85	0	85	10000	0	5000	0	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	38	2	-1	100	1	-1	-1	-1	-1	2	0	0
45	野怪	45	江湖邪士	1	0	15	0	0	0	2176	0	0	91	259	91	259	10253	-2014	2036	-961	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	2	102	1	-1	-1	-1	-1	2	1	0
46	野怪	46	曼陀杀手	1	0	17	0	0	0	2408	0	0	102	289	102	289	10260	-1997	2041	-955	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	2	114	1	-1	-1	-1	-1	2	1	0
47	野怪	47	黑豹	1	0	17	0	0	0	2408	0	0	102	289	102	289	10260	-1997	2041	-955	0	0	0	0	1200	375	2	12	5	1	2	3000	2000	-1	2	2	114	1	-1	-1	-1	-1	2	0	0
48	剑湖宫boss	48	龚光杰	1	2	10	0	0	0	5640	0	0	70	200	70	200	10359	-1752	2121	-861	0	0	0	0	2200	375	3	20	5	0	0	3000	2000	-1	2	-1	720	1	-1	-1	-1	-1	2	1	0
49	剑湖宫boss	49	干光豪	1	2	10	0	0	0	5640	0	0	70	200	70	200	10359	-1752	2121	-861	0	0	0	0	2200	375	3	20	5	0	0	3000	2000	-1	2	-1	720	1	-1	-1	-1	-1	2	1	0
50	剑湖宫boss	50	容子矩	1	2	10	0	0	0	5640	0	0	70	200	70	200	10359	-1752	2121	-861	0	0	0	0	2200	375	3	20	5	0	0	3000	2000	-1	2	-1	720	1	-1	-1	-1	-1	2	1	0
51	剑湖宫boss	88	左子穆	1	2	10	0	0	0	10017	0	0	70	200	70	200	10237	-2059	2023	-974	0	0	0	0	2200	375	3	20	5	0	0	6000	2000	-1	2	2192	720	1	-1	-1	2	-1	2	1	0
52	野外boss	132	灵鹫宫圣使	1	2	18	1	0	0	12910	0	0	112	338	112	338	10263	-1988	2043	-953	0	0	0	0	1200	375	2	12	5	0	0	3000	2000	-1	2	-1	1200	1	-1	-1	-1	-1	2	1	1
53	雁门关教学副本小怪	109	黑衣人	1	0	1	0	0	0	312	0	0	25	67	25	67	10210	-2125	2000	-1000	0	0	0	0	1200	375	3	12	12	0	0	3000	2000	-1	2	-1	18	1	-1	-1	-1	-1	2	1	0
54		54	少林精英	0	0	60	0	0	0	422073	23330	0	17433	36295	17433	0	21433	7241	13589	7697	0	0	0	0	1200	375	0	0	0	0	0	3000	2000	-1	2	-1	100	1	-1	-1	-1	-1	2	0	0
55		55	天山精英	1	0	60	0	0	0	422073	23330	0	17433	36295	17433	0	21433	7241	13589	7697	0	0	0	0	1200	375	1	0	0	0	0	3000	2000	-1	2	-1	100	1	-1	-1	-1	-1	2	0	0
56		56	大理精英	0	0	60	0	0	0	422073	23330	0	17433	36295	17433	0	21433	7241	13589	7697	0	0	0	0	1200	375	0	12	5	1	2	3000	2000	-1	2	-1	100	1	-1	-1	-1	-1	2	0	0
57		57	逍遥精英	1	0	60	0	0	0	422073	23330	0	17433	36295	17433	0	21433	7241	13589	7697	0	0	0	0	1200	375	0	12	5	1	2	3000	2000	-1	2	-1	100	1	-1	-1	-1	-1	2	0	0
58	雁门关教学副本BOSS	328	蒙面人	0	2	1	0	0	28	1236	0	0	50	67	50	67	10210	-2125	2000	-1000	0	0	0	0	2100	375	3	20	7	0	0	3000	2000	-1	2	-1	100	1	-1	-1	-1	-1	2	1	0
59	雁门关教学副本	41	神秘老人	0	0	1	0	0	0	200	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	2	12	5	0	0	3000	2000	-1	2	-1	100	1	-1	-1	-1	-1	2	1	0
60	聚贤庄副本-单人-简单	170	马夫人	1	2	1	0	0	3	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	4	100	1	-1	-1	2	34	2	1	0
61	聚贤庄副本-单人-困难	170	马夫人	1	2	1	0	0	3	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	4	100	1	-1	-1	2	35	2	1	0
62	聚贤庄副本-单人-挑战	170	马夫人	1	2	1	0	0	3	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	4	100	1	-1	-1	2	36	2	1	0
63	聚贤庄副本-队伍-简单	170	马夫人	1	2	1	0	0	3	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	5	100	1	-1	-1	2	37	2	1	0
64	聚贤庄副本-队伍-困难	170	马夫人	1	2	1	0	0	3	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	5	100	1	-1	-1	2	38	2	1	0
65	聚贤庄副本-队伍-挑战	170	马夫人	1	2	1	0	0	3	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	5	100	1	-1	-1	2	39	2	1	0
66	聚贤庄副本-单人-简单	171	游骥	1	2	1	0	0	9	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	4	100	1	-1	-1	2	34	2	1	0
67	聚贤庄副本-单人-困难	171	游骥	1	2	1	0	0	9	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	4	100	1	-1	-1	2	35	2	1	0
68	聚贤庄副本-单人-挑战	171	游骥	1	2	1	0	0	9	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	4	100	1	-1	-1	2	36	2	1	0
69	聚贤庄副本-队伍-简单	171	游骥	1	2	1	0	0	9	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	5	100	1	-1	-1	2	37	2	1	0
70	聚贤庄副本-队伍-困难	171	游骥	1	2	1	0	0	9	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	5	100	1	-1	-1	2	38	2	1	0
71	聚贤庄副本-队伍-挑战	171	游骥	1	2	1	0	0	9	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	5	100	1	-1	-1	2	39	2	1	0
72	聚贤庄副本-单人-简单	172	游驹	1	2	1	0	0	10	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	4	100	1	-1	-1	2	34	2	1	0
73	聚贤庄副本-单人-困难	172	游驹	1	2	1	0	0	10	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	4	100	1	-1	-1	2	35	2	1	0
74	聚贤庄副本-单人-挑战	172	游驹	1	2	1	0	0	10	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	4	100	1	-1	-1	2	36	2	1	0
75	聚贤庄副本-队伍-简单	172	游驹	1	2	1	0	0	10	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	5	100	1	-1	-1	2	37	2	1	0
76	聚贤庄副本-队伍-困难	172	游驹	1	2	1	0	0	10	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	5	100	1	-1	-1	2	38	2	1	0
77	聚贤庄副本-队伍-挑战	172	游驹	1	2	1	0	0	10	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	5	100	1	-1	-1	2	39	2	1	0
78	聚贤庄副本-单人-简单	173	玄难	1	2	1	0	0	11	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	4	100	1	-1	-1	2	34	2	1	0
79	聚贤庄副本-单人-困难	173	玄难	1	2	1	0	0	11	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	4	100	1	-1	-1	2	35	2	1	0
80	聚贤庄副本-单人-挑战	173	玄难	1	2	1	0	0	11	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	4	100	1	-1	-1	2	36	2	1	0
81	聚贤庄副本-队伍-简单	173	玄难	1	2	1	0	0	11	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	5	100	1	-1	-1	2	37	2	1	0
82	聚贤庄副本-队伍-困难	173	玄难	1	2	1	0	0	11	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	5	100	1	-1	-1	2	38	2	1	0
83	聚贤庄副本-队伍-挑战	173	玄难	1	2	1	0	0	11	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	5	100	1	-1	-1	2	39	2	1	0
84	聚贤庄副本-单人-简单	174	向望海	1	2	1	0	0	12	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	4	100	1	-1	-1	2	34	2	1	0
85	聚贤庄副本-单人-困难	174	向望海	1	2	1	0	0	12	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	4	100	1	-1	-1	2	35	2	1	0
86	聚贤庄副本-单人-挑战	174	向望海	1	2	1	0	0	12	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	4	100	1	-1	-1	2	36	2	1	0
87	聚贤庄副本-队伍-简单	174	向望海	1	2	1	0	0	12	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	5	100	1	-1	-1	2	37	2	1	0
88	聚贤庄副本-队伍-困难	174	向望海	1	2	1	0	0	12	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	5	100	1	-1	-1	2	38	2	1	0
89	聚贤庄副本-队伍-挑战	174	向望海	1	2	1	0	0	12	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	0	2	3000	2000	-1	2	5	100	1	-1	-1	2	39	2	1	0
90	聚贤庄副本-单人-简单	175	白世镜	1	2	1	0	0	13	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	4	100	1	-1	-1	2	34	2	1	0
91	聚贤庄副本-单人-困难	175	白世镜	1	2	1	0	0	13	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	4	100	1	-1	-1	-1	35	2	1	0
92	聚贤庄副本-单人-挑战	175	白世镜	1	2	1	0	0	13	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	4	100	1	-1	-1	-1	36	2	1	0
93	聚贤庄副本-队伍-简单	175	白世镜	1	2	1	0	0	13	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	5	100	1	-1	-1	-1	37	2	1	0
94	聚贤庄副本-队伍-困难	175	白世镜	1	2	1	0	0	13	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	5	100	1	-1	-1	-1	38	2	1	0
95	聚贤庄副本-队伍-挑战	175	白世镜	1	2	1	0	0	13	6000	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	5	100	1	-1	-1	-1	39	2	1	0
96	聚贤庄副本-单人-简单-马夫人小怪	176	丐帮弟子	1	0	1	0	0	0	200	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	2	100	1	-1	-1	-1	28	2	1	0
97	聚贤庄副本-单人-困难-马夫人小怪	176	丐帮弟子	1	0	1	0	0	0	200	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	2	100	1	-1	-1	-1	29	2	1	0
98	聚贤庄副本-单人-挑战-马夫人小怪	176	丐帮弟子	1	0	1	0	0	0	200	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	2	100	1	-1	-1	-1	30	2	1	0
99	聚贤庄副本-队伍-简单-马夫人小怪	176	丐帮弟子	1	0	1	0	0	0	200	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	3	100	1	-1	-1	-1	31	2	1	0
100	聚贤庄副本-队伍-困难-马夫人小怪	176	丐帮弟子	1	0	1	0	0	0	200	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	3	100	1	-1	-1	-1	32	2	1	0
101	聚贤庄副本-队伍-挑战-马夫人小怪	176	丐帮弟子	1	0	1	0	0	0	200	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	3	100	1	-1	-1	-1	33	2	1	0
102	聚贤庄副本-单人-简单-游骥游驹小怪	177	聚贤庄庄客	1	0	1	0	0	0	200	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	2	100	1	-1	-1	-1	28	2	1	0
103	聚贤庄副本-单人-困难-游骥游驹小怪	177	聚贤庄庄客	1	0	1	0	0	0	200	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	2	100	1	-1	-1	-1	29	2	1	0
104	聚贤庄副本-单人-挑战-游骥游驹小怪	177	聚贤庄庄客	1	0	1	0	0	0	200	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	2	100	1	-1	-1	-1	30	2	1	0
105	聚贤庄副本-队伍-简单-游骥游驹小怪	177	聚贤庄庄客	1	0	1	0	0	0	200	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	3	100	1	-1	-1	-1	31	2	1	0
106	聚贤庄副本-队伍-困难-游骥游驹小怪	177	聚贤庄庄客	1	0	1	0	0	0	200	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	3	100	1	-1	-1	-1	32	2	1	0
107	聚贤庄副本-队伍-挑战-游骥游驹小怪	177	聚贤庄庄客	1	0	1	0	0	0	200	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	3	100	1	-1	-1	-1	33	2	1	0
108	聚贤庄副本-单人-简单-玄难小怪	178	少林弟子	1	0	1	0	0	0	200	100	0	20	850	0	850	10000	0	3000	0	0	0	0	0	1200	375	3	12	5	1	2	3000	2000	-1	2	2	100	1	-1	-1	-1	28	2	1	0
