Id	Desc	Name	EquipId1	EquipId2	EquipId3	EquipId4	EffectType1	EffectValue1	EffectType2	EffectValue2	EffectType3	EffectValue3
33	少林职业紫90级套系1	神兵护法	38109	38209	38309	38409	8	819	1001	351	0	8540
34	少林职业紫90级套系2	神力无穷	38509	38609	38709	-1	9	921	1000	553	-1	-1
35	天山职业紫90级套系1	神兵护法	39109	39209	39309	39409	8	819	1001	351	0	8540
36	天山职业紫90级套系2	神力无穷	39509	39609	39709	-1	9	921	1000	553	-1	-1
37	大理职业紫90级套系1	神兵护法	41109	41209	41309	41409	8	819	1001	351	0	8540
38	大理职业紫90级套系2	神力无穷	41509	41609	41709	-1	9	921	1000	553	-1	-1
39	逍遥职业紫90级套系1	神兵护法	40109	40209	40309	40409	8	819	1001	351	0	8540
40	逍遥职业紫90级套系2	神力无穷	40509	40609	40709	-1	9	921	1000	553	-1	-1
41	少林职业橙60级套系1	浩然正气	42106	42206	42306	42406	8	696	1001	304	0	7219
42	少林职业橙60级套系2	仁者无敌	42506	42606	42706	-1	9	785	1000	481	-1	-1
43	天山职业橙60级套系1	浩然正气	43106	43206	43306	43406	8	696	1001	304	0	7219
44	天山职业橙60级套系2	仁者无敌	43506	43606	43706	-1	9	785	1000	481	-1	-1
45	大理职业橙60级套系1	浩然正气	45106	45206	45306	45406	8	696	1001	304	0	7219
46	大理职业橙60级套系2	仁者无敌	45506	45606	45706	-1	9	785	1000	481	-1	-1
47	逍遥职业橙60级套系1	浩然正气	44106	44206	44306	44406	8	696	1001	304	0	7219
48	逍遥职业橙60级套系2	仁者无敌	44506	44606	44706	-1	9	785	1000	481	-1	-1
49	少林职业橙70级套系1	浩然正气	42107	42207	42307	42407	8	803	1001	349	0	8371
50	少林职业橙70级套系2	仁者无敌	42507	42607	42707	-1	9	906	1000	551	-1	-1
51	天山职业橙70级套系1	浩然正气	43107	43207	43307	43407	8	803	1001	349	0	8371
52	天山职业橙70级套系2	仁者无敌	43507	43607	43707	-1	9	906	1000	551	-1	-1
53	大理职业橙70级套系1	浩然正气	45107	45207	45307	45407	8	803	1001	349	0	8371
54	大理职业橙70级套系2	仁者无敌	45507	45607	45707	-1	9	906	1000	551	-1	-1
55	逍遥职业橙70级套系1	浩然正气	44107	44207	44307	44407	8	803	1001	349	0	8371
56	逍遥职业橙70级套系2	仁者无敌	44507	44607	44707	-1	9	906	1000	551	-1	-1
57	少林职业橙80级套系1	浩然正气	42108	42208	42308	42408	8	911	1001	394	0	9523
58	少林职业橙80级套系2	仁者无敌	42508	42608	42708	-1	9	1026	1000	622	-1	-1
59	天山职业橙80级套系1	浩然正气	43108	43208	43308	43408	8	911	1001	394	0	9523
60	天山职业橙80级套系2	仁者无敌	43508	43608	43708	-1	9	1026	1000	622	-1	-1
61	大理职业橙80级套系1	浩然正气	45108	45208	45308	45408	8	911	1001	394	0	9523
62	大理职业橙80级套系2	仁者无敌	45508	45608	45708	-1	9	1026	1000	622	-1	-1
63	逍遥职业橙80级套系1	浩然正气	44108	44208	44308	44408	8	911	1001	394	0	9523
64	逍遥职业橙80级套系2	仁者无敌	44508	44608	44708	-1	9	1026	1000	622	-1	-1
65	少林职业橙90级套系1	浩然正气	42109	42209	42309	42409	8	1024	1001	439	0	10675
66	少林职业橙90级套系2	仁者无敌	42509	42609	42709	-1	9	1152	1000	692	-1	-1
67	天山职业橙90级套系1	浩然正气	43109	43209	43309	43409	8	1024	1001	439	0	10675
68	天山职业橙90级套系2	仁者无敌	43509	43609	43709	-1	9	1152	1000	692	-1	-1
69	大理职业橙90级套系1	浩然正气	45109	45209	45309	45409	8	1024	1001	439	0	10675
70	大理职业橙90级套系2	仁者无敌	45509	45609	45709	-1	9	1152	1000	692	-1	-1
71	逍遥职业橙90级套系1	浩然正气	44109	44209	44309	44409	8	1024	1001	439	0	10675
72	逍遥职业橙90级套系2	仁者无敌	44509	44609	44709	-1	9	1152	1000	692	-1	-1
73	少林职业紫100级套系1	神兵护法	38110	38210	38310	38410	8	905	1001	387	0	9461
74	少林职业紫100级套系2	神力无穷	38510	38610	38710	-1	9	1017	1000	610	-1	-1
75	天山职业紫100级套系1	神兵护法	39110	39210	39310	39410	8	905	1001	387	0	9461
76	天山职业紫100级套系2	神力无穷	39510	39610	39710	-1	9	1017	1000	610	-1	-1
77	逍遥职业紫100级套系1	神兵护法	40110	40210	40310	40410	8	905	1001	387	0	9461
78	逍遥职业紫100级套系2	神力无穷	40510	40610	40710	-1	9	1017	1000	610	-1	-1
79	大理职业紫100级套系1	神兵护法	41110	41210	41310	41410	8	905	1001	387	0	9461
80	大理职业紫100级套系2	神力无穷	41510	41610	41710	-1	9	1017	1000	610	-1	-1
81	少林职业橙100级套系1	浩然正气	42110	42210	42310	42410	8	1131	1001	483	0	11827
82	少林职业橙100级套系2	仁者无敌	42510	42610	42710	-1	9	1272	1000	762	-1	-1
83	天山职业橙100级套系1	浩然正气	43110	43210	43310	43410	8	1131	1001	483	0	11827
84	天山职业橙100级套系2	仁者无敌	43510	43610	43710	-1	9	1272	1000	762	-1	-1
85	逍遥职业橙100级套系1	浩然正气	44110	44210	44310	44410	8	1131	1001	483	0	11827
86	逍遥职业橙100级套系2	仁者无敌	44510	44610	44710	-1	9	1272	1000	762	-1	-1
87	大理职业橙100级套系1	浩然正气	45110	45210	45310	45410	8	1131	1001	483	0	11827
88	大理职业橙100级套系2	仁者无敌	45510	45610	45710	-1	9	1272	1000	762	-1	-1
89	VIP少林职业橙70级套系	伏虎降龙	59013	59017	59031	59035	0	9523	1000	622	11	1144
90	VIP天山职业橙70级套系	伏虎降龙	59014	59018	59032	59036	0	9523	1000	622	11	1144
91	VIP逍遥职业橙70级套系	伏虎降龙	59015	59019	59033	59037	0	9523	1000	622	11	1144
92	VIP大理职业橙70级套系	伏虎降龙	59016	59020	59034	59038	0	9523	1000	622	11	1144
