Id	Desc	SkillClass	Type	BaseSkill	Quality	Level	NextSkillId	LevelupConsumeType	LevelupConsumeSubType	LevelupConsumeNum	ActiveConsumeType	ActiveConsumeSubType	ActiveConsumeNum
50700	狂野1级	1	3	50700	2	1	50701	5	4506	5	5	4506	1
50701	狂野2级	1	3	50700	2	2	50702	5	4506	10	-1	-1	-1
50702	狂野3级	1	3	50700	2	3	50703	5	4506	30	-1	-1	-1
50703	狂野4级	1	3	50700	2	4	50704	5	4506	50	-1	-1	-1
50704	狂野5级	1	3	50700	2	5	-1	-1	-1	-1	-1	-1	-1
50800	荆棘之狩1级	1	4	50800	3	1	50801	5	4507	5	5	4507	1
50801	荆棘之狩2级	1	4	50800	3	2	50802	5	4507	10	-1	-1	-1
50802	荆棘之狩3级	1	4	50800	3	3	50803	5	4507	30	-1	-1	-1
50803	荆棘之狩4级	1	4	50800	3	4	50804	5	4507	50	-1	-1	-1
50804	荆棘之狩5级	1	4	50800	3	5	-1	-1	-1	-1	-1	-1	-1
50900	熔炼之狩1级	1	4	50900	3	1	50901	5	4508	5	5	4508	1
50901	熔炼之狩2级	1	4	50900	3	2	50902	5	4508	10	-1	-1	-1
50902	熔炼之狩3级	1	4	50900	3	3	50903	5	4508	30	-1	-1	-1
50903	熔炼之狩4级	1	4	50900	3	4	50904	5	4508	50	-1	-1	-1
50904	熔炼之狩5级	1	4	50900	3	5	-1	-1	-1	-1	-1	-1	-1
51000	群兽怒吼1级	1	5	51000	4	1	51001	5	4509	5	5	4509	1
51001	群兽怒吼2级	1	5	51000	4	2	51002	5	4509	10	-1	-1	-1
51002	群兽怒吼3级	1	5	51000	4	3	51003	5	4509	30	-1	-1	-1
51003	群兽怒吼4级	1	5	51000	4	4	51004	5	4509	50	-1	-1	-1
51004	群兽怒吼5级	1	5	51000	4	5	-1	-1	-1	-1	-1	-1	-1
60100	借力1级	2	1	60100	0	1	60101	5	4510	5	5	4510	1
60101	借力2级	2	1	60100	0	2	60102	5	4510	10	-1	-1	-1
60102	借力3级	2	1	60100	0	3	60103	5	4510	30	-1	-1	-1
60103	借力4级	2	1	60100	0	4	60104	5	4510	50	-1	-1	-1
60104	借力5级	2	1	60100	0	5	-1	-1	-1	-1	-1	-1	-1
60200	御敌1级	2	1	60200	0	1	60201	5	4511	5	5	4511	1
60201	御敌2级	2	1	60200	0	2	60202	5	4511	10	-1	-1	-1
60202	御敌3级	2	1	60200	0	3	60203	5	4511	30	-1	-1	-1
60203	御敌4级	2	1	60200	0	4	60204	5	4511	50	-1	-1	-1
60204	御敌5级	2	1	60200	0	5	-1	-1	-1	-1	-1	-1	-1
60300	疗伤1级	2	1	60300	0	1	60301	5	4512	5	5	4512	1
60301	疗伤2级	2	1	60300	0	2	60302	5	4512	10	-1	-1	-1
60302	疗伤3级	2	1	60300	0	3	60303	5	4512	30	-1	-1	-1
60303	疗伤4级	2	1	60300	0	4	60304	5	4512	50	-1	-1	-1
60304	疗伤5级	2	1	60300	0	5	-1	-1	-1	-1	-1	-1	-1
60400	霜瀑1级	2	2	60400	1	1	60401	5	4513	5	5	4513	1
60401	霜瀑2级	2	2	60400	1	2	60402	5	4513	10	-1	-1	-1
60402	霜瀑3级	2	2	60400	1	3	60403	5	4513	30	-1	-1	-1
60403	霜瀑4级	2	2	60400	1	4	60404	5	4513	50	-1	-1	-1
60404	霜瀑5级	2	2	60400	1	5	-1	-1	-1	-1	-1	-1	-1
60500	看破1级	2	2	60500	1	1	60501	5	4514	5	5	4514	1
60501	看破2级	2	2	60500	1	2	60502	5	4514	10	-1	-1	-1
60502	看破3级	2	2	60500	1	3	60503	5	4514	30	-1	-1	-1
60503	看破4级	2	2	60500	1	4	60504	5	4514	50	-1	-1	-1
60504	看破5级	2	2	60500	1	5	-1	-1	-1	-1	-1	-1	-1
60600	护主1级	2	3	60600	2	1	60601	5	4515	5	5	4515	1
60601	护主2级	2	3	60600	2	2	60602	5	4515	10	-1	-1	-1
60602	护主3级	2	3	60600	2	3	60603	5	4515	30	-1	-1	-1
60603	护主4级	2	3	60600	2	4	60604	5	4515	50	-1	-1	-1
60604	护主5级	2	3	60600	2	5	-1	-1	-1	-1	-1	-1	-1
60700	绊足1级	2	3	60700	2	1	60701	5	4516	5	5	4516	1
60701	绊足2级	2	3	60700	2	2	60702	5	4516	10	-1	-1	-1
60702	绊足3级	2	3	60700	2	3	60703	5	4516	30	-1	-1	-1
60703	绊足4级	2	3	60700	2	4	60704	5	4516	50	-1	-1	-1
60704	绊足5级	2	3	60700	2	5	-1	-1	-1	-1	-1	-1	-1
60800	碧波护体1级	2	4	60800	3	1	60801	5	4517	5	5	4517	1
60801	碧波护体2级	2	4	60800	3	2	60802	5	4517	10	-1	-1	-1
60802	碧波护体3级	2	4	60800	3	3	60803	5	4517	30	-1	-1	-1
60803	碧波护体4级	2	4	60800	3	4	60804	5	4517	50	-1	-1	-1
60804	碧波护体5级	2	4	60800	3	5	-1	-1	-1	-1	-1	-1	-1
60900	郁兰芬芳1级	2	4	60900	3	1	60901	5	4518	5	5	4518	1
60901	郁兰芬芳2级	2	4	60900	3	2	60902	5	4518	10	-1	-1	-1
60902	郁兰芬芳3级	2	4	60900	3	3	60903	5	4518	30	-1	-1	-1
60903	郁兰芬芳4级	2	4	60900	3	4	60904	5	4518	50	-1	-1	-1
60904	郁兰芬芳5级	2	4	60900	3	5	-1	-1	-1	-1	-1	-1	-1
61000	般若心经1级	2	5	61000	4	1	61001	5	4519	5	5	4519	1
61001	般若心经2级	2	5	61000	4	2	61002	5	4519	10	-1	-1	-1
61002	般若心经3级	2	5	61000	4	3	61003	5	4519	30	-1	-1	-1
61003	般若心经4级	2	5	61000	4	4	61004	5	4519	50	-1	-1	-1
61004	般若心经5级	2	5	61000	4	5	-1	-1	-1	-1	-1	-1	-1
