Id	Desc	ModelId	EffectId	Component	SetId	Durable	HP	HP_Per	MP	MP_Per	PhysicsAttack	PhysicsAttack_Per	MagicAttack	MagicAttack_Per	PhysicsDefence	PhysicsDefence_Per	MagicDefence	MagicDefence_Per	AttackSpeed	AttackSpeed_Per	AllAttack	AllAttack_Per	AllDefence	AllDefence_Per	AddAttrType1	AddAttrValue1	AddAttrPer1	AddAttrType2	AddAttrValue2	AddAttrPer2	AddAttrType3	AddAttrValue3	AddAttrPer3	AddAttrType4	AddAttrValue4	AddAttrPer4
20300	新手装逍遥下衣(1)	-1	-1	4	-1	-1	230	0	54	0	0	0	0	0	14	0	15	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	14	0
20400	新手装逍遥鞋子(1)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	7	0	8	0	-1	0	0	0	0	0	-1	0	0	8	48	0	-1	0	0	10	7	0
20500	新手装逍遥手腕(1)	-1	-1	5	-1	-1	230	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	36	0
20600	新手装逍遥武器(1)	-1	-1	1	-1	-1	0	0	0	0	0	0	67	0	0	0	0	0	0.6	0	0	0	0	0	7	19	0	-1	0	0	9	38	0	-1	0	0
20700	新手装逍遥饰品1(1)	-1	-1	7	-1	-1	0	0	0	0	0	0	27	0	0	0	0	0	-1	0	0	0	0	0	7	38	0	-1	0	0	9	38	0	-1	0	0
20800	新手装逍遥饰品2(1)	-1	-1	8	-1	-1	77	0	36	0	0	0	20	0	0	0	0	0	-1	0	0	0	0	0	7	19	0	-1	0	0	9	25	0	-1	0	0
21100	新手装大理头部(1)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	29	0	29	0	-1	0	0	0	0	0	-1	0	0	8	12	0	-1	0	0	10	7	0
21200	新手装大理上衣(1)	-1	-1	3	-1	-1	156	0	54	0	0	0	0	0	22	0	22	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	7	0
21300	新手装大理下衣(1)	-1	-1	4	-1	-1	234	0	54	0	0	0	0	0	15	0	15	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	14	0
21400	新手装大理鞋子(1)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	7	0	7	0	-1	0	0	0	0	0	-1	0	0	8	48	0	-1	0	0	10	7	0
21500	新手装大理手腕(1)	-1	-1	5	-1	-1	234	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	36	0
21600	新手装大理武器(1)	-1	-1	1	-1	-1	0	0	0	0	64	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7	22	0	-1	0	0	9	40	0	-1	0	0
21700	新手装大理饰品1(1)	-1	-1	7	-1	-1	0	0	0	0	25	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	43	0	-1	0	0	9	40	0	-1	0	0
21800	新手装大理饰品2(1)	-1	-1	8	-1	-1	78	0	36	0	19	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	22	0	-1	0	0	9	26	0	-1	0	0
22101	散件白少林头部(10)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	70	0	54	0	-1	0	0	0	0	0	-1	0	0	8	20	0	-1	0	0	10	16	0
22201	散件白少林上衣(10)	-1	-1	3	-1	-1	577	0	86	0	0	0	0	0	52	0	40	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	16	0
22301	散件白少林下衣(10)	-1	-1	4	-1	-1	866	0	86	0	0	0	0	0	35	0	27	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	33	0
22401	散件白少林鞋子(10)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	17	0	13	0	-1	0	0	0	0	0	-1	0	0	8	80	0	-1	0	0	10	16	0
22501	散件白少林手腕(10)	-1	-1	5	-1	-1	866	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	82	0
22601	散件白少林武器(10)	-1	-1	1	-1	-1	0	0	0	0	113	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7	36	0	-1	0	0	9	56	0	-1	0	0
22701	散件白少林饰品1(10)	-1	-1	7	-1	-1	0	0	0	0	45	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	71	0	-1	0	0	9	56	0	-1	0	0
22801	散件白少林饰品2(10)	-1	-1	8	-1	-1	289	0	58	0	34	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	36	0	-1	0	0	9	37	0	-1	0	0
22102	散件白少林头部(20)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	108	0	83	0	-1	0	0	0	0	0	-1	0	0	8	28	0	-1	0	0	10	23	0
22202	散件白少林上衣(20)	5	-1	3	-1	-1	1033	0	122	0	0	0	0	0	81	0	62	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	23	0
22302	散件白少林下衣(20)	-1	-1	4	-1	-1	1550	0	122	0	0	0	0	0	54	0	41	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	47	0
22402	散件白少林鞋子(20)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	27	0	21	0	-1	0	0	0	0	0	-1	0	0	8	111	0	-1	0	0	10	23	0
22502	散件白少林手腕(20)	-1	-1	5	-1	-1	1550	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	116	0
22602	散件白少林武器(20)	5	-1	1	-1	-1	0	0	0	0	173	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7	52	0	-1	0	0	9	76	0	-1	0	0
22702	散件白少林饰品1(20)	-1	-1	7	-1	-1	0	0	0	0	69	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	104	0	-1	0	0	9	76	0	-1	0	0
22802	散件白少林饰品2(20)	-1	-1	8	-1	-1	517	0	82	0	52	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	52	0	-1	0	0	9	50	0	-1	0	0
22103	散件白少林头部(30)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	146	0	111	0	-1	0	0	0	0	0	-1	0	0	8	36	0	-1	0	0	10	30	0
22203	散件白少林上衣(30)	5	-1	3	-1	-1	1489	0	158	0	0	0	0	0	110	0	84	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	30	0
22303	散件白少林下衣(30)	-1	-1	4	-1	-1	2234	0	158	0	0	0	0	0	73	0	56	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	60	0
22403	散件白少林鞋子(30)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	37	0	28	0	-1	0	0	0	0	0	-1	0	0	8	143	0	-1	0	0	10	30	0
22503	散件白少林手腕(30)	-1	-1	5	-1	-1	2234	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	151	0
22603	散件白少林武器(30)	5	-1	1	-1	-1	0	0	0	0	233	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7	68	0	-1	0	0	9	95	0	-1	0	0
22703	散件白少林饰品1(30)	-1	-1	7	-1	-1	0	0	0	0	93	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	136	0	-1	0	0	9	95	0	-1	0	0
22803	散件白少林饰品2(30)	-1	-1	8	-1	-1	745	0	106	0	70	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	68	0	-1	0	0	9	64	0	-1	0	0
22104	散件白少林头部(40)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	185	0	140	0	-1	0	0	0	0	0	-1	0	0	8	44	0	-1	0	0	10	37	0
22204	散件白少林上衣(40)	5	-1	3	-1	-1	1945	0	194	0	0	0	0	0	139	0	105	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	37	0
22304	散件白少林下衣(40)	-1	-1	4	-1	-1	2918	0	194	0	0	0	0	0	92	0	70	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	74	0
22404	散件白少林鞋子(40)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	46	0	35	0	-1	0	0	0	0	0	-1	0	0	8	175	0	-1	0	0	10	37	0
22504	散件白少林手腕(40)	-1	-1	5	-1	-1	2918	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	185	0
22604	散件白少林武器(40)	5	-1	1	-1	-1	0	0	0	0	293	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7	84	0	-1	0	0	9	115	0	-1	0	0
22704	散件白少林饰品1(40)	-1	-1	7	-1	-1	0	0	0	0	117	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	169	0	-1	0	0	9	115	0	-1	0	0
22804	散件白少林饰品2(40)	-1	-1	8	-1	-1	973	0	130	0	88	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	84	0	-1	0	0	9	77	0	-1	0	0
22105	散件白少林头部(50)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	223	0	169	0	-1	0	0	0	0	0	-1	0	0	8	52	0	-1	0	0	10	44	0
22205	散件白少林上衣(50)	5	-1	3	-1	-1	2401	0	230	0	0	0	0	0	167	0	127	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	44	0
22305	散件白少林下衣(50)	-1	-1	4	-1	-1	3602	0	230	0	0	0	0	0	112	0	84	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	88	0
22405	散件白少林鞋子(50)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	56	0	42	0	-1	0	0	0	0	0	-1	0	0	8	206	0	-1	0	0	10	44	0
22505	散件白少林手腕(50)	-1	-1	5	-1	-1	3602	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	219	0
22605	散件白少林武器(50)	5	-1	1	-1	-1	0	0	0	0	353	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7	101	0	-1	0	0	9	135	0	-1	0	0
22705	散件白少林饰品1(50)	-1	-1	7	-1	-1	0	0	0	0	141	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	202	0	-1	0	0	9	135	0	-1	0	0
22805	散件白少林饰品2(50)	-1	-1	8	-1	-1	1201	0	154	0	106	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	101	0	-1	0	0	9	90	0	-1	0	0
22106	散件白少林头部(60)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	262	0	198	0	-1	0	0	0	0	0	-1	0	0	8	60	0	-1	0	0	10	51	0
22206	散件白少林上衣(60)	5	-1	3	-1	-1	2857	0	266	0	0	0	0	0	196	0	148	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	51	0
22306	散件白少林下衣(60)	-1	-1	4	-1	-1	4286	0	266	0	0	0	0	0	131	0	99	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	101	0
22406	散件白少林鞋子(60)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	65	0	49	0	-1	0	0	0	0	0	-1	0	0	8	238	0	-1	0	0	10	51	0
22506	散件白少林手腕(60)	-1	-1	5	-1	-1	4286	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	253	0
22606	散件白少林武器(60)	5	-1	1	-1	-1	0	0	0	0	413	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7	117	0	-1	0	0	9	155	0	-1	0	0
22706	散件白少林饰品1(60)	-1	-1	7	-1	-1	0	0	0	0	165	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	234	0	-1	0	0	9	155	0	-1	0	0
22806	散件白少林饰品2(60)	-1	-1	8	-1	-1	1429	0	178	0	124	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	117	0	-1	0	0	9	103	0	-1	0	0
22107	散件白少林头部(70)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	300	0	227	0	-1	0	0	0	0	0	-1	0	0	8	67	0	-1	0	0	10	57	0
22207	散件白少林上衣(70)	5	-1	3	-1	-1	3313	0	302	0	0	0	0	0	225	0	170	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	57	0
22307	散件白少林下衣(70)	-1	-1	4	-1	-1	4970	0	302	0	0	0	0	0	150	0	113	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	115	0
22407	散件白少林鞋子(70)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	75	0	57	0	-1	0	0	0	0	0	-1	0	0	8	270	0	-1	0	0	10	57	0
22507	散件白少林手腕(70)	-1	-1	5	-1	-1	4970	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	287	0
22607	散件白少林武器(70)	5	-1	1	-1	-1	0	0	0	0	473	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7	133	0	-1	0	0	9	175	0	-1	0	0
22707	散件白少林饰品1(70)	-1	-1	7	-1	-1	0	0	0	0	189	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	267	0	-1	0	0	9	175	0	-1	0	0
22807	散件白少林饰品2(70)	-1	-1	8	-1	-1	1657	0	202	0	142	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	133	0	-1	0	0	9	116	0	-1	0	0
22108	散件白少林头部(80)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	338	0	255	0	-1	0	0	0	0	0	-1	0	0	8	75	0	-1	0	0	10	64	0
22208	散件白少林上衣(80)	5	-1	3	-1	-1	3769	0	338	0	0	0	0	0	254	0	192	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	64	0
22308	散件白少林下衣(80)	-1	-1	4	-1	-1	5654	0	338	0	0	0	0	0	169	0	128	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	129	0
22408	散件白少林鞋子(80)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	85	0	64	0	-1	0	0	0	0	0	-1	0	0	8	301	0	-1	0	0	10	64	0
22508	散件白少林手腕(80)	-1	-1	5	-1	-1	5654	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	322	0
22608	散件白少林武器(80)	5	-1	1	-1	-1	0	0	0	0	533	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7	150	0	-1	0	0	9	194	0	-1	0	0
22708	散件白少林饰品1(80)	-1	-1	7	-1	-1	0	0	0	0	213	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	300	0	-1	0	0	9	194	0	-1	0	0
22808	散件白少林饰品2(80)	-1	-1	8	-1	-1	1885	0	226	0	160	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	150	0	-1	0	0	9	130	0	-1	0	0
22109	散件白少林头部(90)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	377	0	284	0	-1	0	0	0	0	0	-1	0	0	8	84	0	-1	0	0	10	72	0
22209	散件白少林上衣(90)	5	-1	3	-1	-1	4225	0	374	0	0	0	0	0	283	0	213	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	72	0
22309	散件白少林下衣(90)	-1	-1	4	-1	-1	6338	0	374	0	0	0	0	0	188	0	142	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	144	0
22409	散件白少林鞋子(90)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	94	0	71	0	-1	0	0	0	0	0	-1	0	0	8	336	0	-1	0	0	10	72	0
22509	散件白少林手腕(90)	-1	-1	5	-1	-1	6338	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	360	0
22609	散件白少林武器(90)	5	-1	1	-1	-1	0	0	0	0	593	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7	168	0	-1	0	0	9	216	0	-1	0	0
22709	散件白少林饰品1(90)	-1	-1	7	-1	-1	0	0	0	0	237	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	336	0	-1	0	0	9	216	0	-1	0	0
22809	散件白少林饰品2(90)	-1	-1	8	-1	-1	2113	0	250	0	178	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	168	0	-1	0	0	9	144	0	-1	0	0
22110	散件白少林头部(100)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	415	0	313	0	-1	0	0	0	0	0	-1	0	0	8	92	0	-1	0	0	10	79	0
22210	散件白少林上衣(100)	5	-1	3	-1	-1	4681	0	410	0	0	0	0	0	311	0	235	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	79	0
22310	散件白少林下衣(100)	-1	-1	4	-1	-1	7022	0	410	0	0	0	0	0	208	0	156	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	158	0
22410	散件白少林鞋子(100)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	104	0	78	0	-1	0	0	0	0	0	-1	0	0	8	368	0	-1	0	0	10	79	0
22510	散件白少林手腕(100)	-1	-1	5	-1	-1	7022	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	394	0
22610	散件白少林武器(100)	5	-1	1	-1	-1	0	0	0	0	653	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7	184	0	-1	0	0	9	236	0	-1	0	0
22710	散件白少林饰品1(100)	-1	-1	7	-1	-1	0	0	0	0	261	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	369	0	-1	0	0	9	236	0	-1	0	0
22810	散件白少林饰品2(100)	-1	-1	8	-1	-1	2341	0	274	0	196	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	184	0	-1	0	0	9	157	0	-1	0	0
23101	散件白天山头部(10)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	60	0	45	0	-1	0	0	0	0	0	-1	0	0	8	30	0	-1	0	0	10	12	0
23201	散件白天山上衣(10)	-1	-1	3	-1	-1	547	0	86	0	0	0	0	0	45	0	34	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	12	0
23301	散件白天山下衣(10)	-1	-1	4	-1	-1	821	0	86	0	0	0	0	0	30	0	23	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	23	0
23401	散件白天山鞋子(10)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	15	0	11	0	-1	0	0	0	0	0	-1	0	0	8	118	0	-1	0	0	10	12	0
23501	散件白天山手腕(10)	-1	-1	5	-1	-1	821	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	58	0
23601	散件白天山武器(10)	-1	-1	1	-1	-1	0	0	0	0	121	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7	36	0	-1	0	0	9	70	0	-1	0	0
23701	散件白天山饰品1(10)	-1	-1	7	-1	-1	0	0	0	0	48	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	71	0	-1	0	0	9	70	0	-1	0	0
23801	散件白天山饰品2(10)	-1	-1	8	-1	-1	274	0	58	0	36	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	36	0	-1	0	0	9	47	0	-1	0	0
23102	散件白天山头部(20)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	94	0	64	0	-1	0	0	0	0	0	-1	0	0	8	42	0	-1	0	0	10	16	0
23202	散件白天山上衣(20)	5	-1	3	-1	-1	979	0	122	0	0	0	0	0	71	0	48	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	16	0
23302	散件白天山下衣(20)	-1	-1	4	-1	-1	1469	0	122	0	0	0	0	0	47	0	32	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	32	0
23402	散件白天山鞋子(20)	-1	-1	6	-1	-1	0	0	0	0	0	0	0	0	24	0	16	0	-1	0	0	0	0	0	-1	0	0	8	169	0	-1	0	0	10	16	0
23502	散件白天山手腕(20)	-1	-1	5	-1	-1	1469	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	80	0
23602	散件白天山武器(20)	5	-1	1	-1	-1	0	0	0	0	187	0	0	0	0	0	0	0	0.6	0	0	0	0	0	7	52	0	-1	0	0	9	97	0	-1	0	0
23702	散件白天山饰品1(20)	-1	-1	7	-1	-1	0	0	0	0	75	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	104	0	-1	0	0	9	97	0	-1	0	0
23802	散件白天山饰品2(20)	-1	-1	8	-1	-1	490	0	82	0	56	0	0	0	0	0	0	0	-1	0	0	0	0	0	7	52	0	-1	0	0	9	65	0	-1	0	0
23103	散件白天山头部(30)	-1	-1	2	-1	-1	0	0	0	0	0	0	0	0	128	0	84	0	-1	0	0	0	0	0	-1	0	0	8	55	0	-1	0	0	10	21	0
23203	散件白天山上衣(30)	5	-1	3	-1	-1	1411	0	158	0	0	0	0	0	96	0	63	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	10	21	0
