Id	Desc	StrDictionary
1063	好友_UI_20140226	等级:{0}
1064	好友_UI_20140226	战力:{0}
1065	好友_UI_20140226	帮会名称
1066	好友_UI_20140226	可输入玩家姓名
1067	好友_UI_20140226	私信
1068	好友_UI_20140226	组队
1069	好友_UI_20140226	删除
1070	好友_UI_20140226	黑名单
1071	好友_UI_20140226	解除
1072	好友_UI_20140226	将您加为好友，是否回关注？
1073	好友_UI_20140226	加好友
1074	好友_UI_20140226	取消
1075	好友_提示内容_20140226	未找到您想查找的玩家。
1076	好友_提示内容_20140227	操作过于频繁，请稍候再试。
1077	好友_提示内容_20140228	没有找到符合的玩家，请再次确认输入名称。
1078	好友_提示内容_20140229	该玩家已将您加入黑名单。
1079	好友_提示内容_20140230	该玩家拒绝别人加好友。
1080	好友_提示内容_20140231	您当前的好友列表已满。
1081	好友_提示内容_20140232	已将
1082	好友_提示内容_20140233	加为好友。
1083	好友_提示内容_20140234	该玩家已在您的黑名单中。
1084	好友_提示内容_20140235	您当前的黑名单列表已满，
1085	好友_提示内容_20140236	该玩家已加入黑名单。
1086	系统商店_UI_20140226	回购
1087	系统商店_UI_20140226	批量购买
1088	系统商店_UI_20140226	双击商品名称部分直接购买。
1089	系统商店_UI_20140226	-
1090	系统商店_UI_20140226	+
1091	系统商店_UI_20140226	/
1092	系统商店_提示内容_20140226	当前商品存货不足，请稍候刷新查看。
1093	系统商店_提示内容_20140226	您今天所购买的次数已经达到
1094	系统商店_提示内容_20140226	次，请明日再来。
1095	系统商店_提示内容_20140226	您所携带的
1096	系统商店_提示内容_20140226	不足。
1097	系统商店_提示内容_20140226	当前背包空间不足。
1098	系统商店_提示内容_20140226	该商品暂不支持出售。
1099	PK系统_UI_20140226	PK设置
1100	PK系统_UI_20140226	休战模式
1101	PK系统_UI_20140226	杀戮模式
1102	PK系统_UI_20140226	无法攻击其他玩家，被杀戮模式玩家攻击时可合法反击。
1103	PK系统_UI_20140226	可以攻击所有玩家，且攻击其他杀戮模式的玩家不会受到杀气惩罚。
1104	PK系统_UI_20140226	当前杀气值：{0}
1105	PK系统_UI_20140226	击杀单个玩家增加杀气值：1点。
1106	PK系统_提示内容_20140226	此模式下将会攻击除自己之外的所有玩家，请确认开启
1107	PK系统_提示内容_20140226	您已经切换到:杀戮模式
1108	PK系统_提示内容_20140226	您已经切换到:休战模式
1109	PK系统_提示内容_20140226	当前PK模式:休战模式
1110	PK系统_提示内容_20140226	您将在{0}分{1}秒后自动切换到休战模式，此期间任何PK行为均会重置倒数计时
1111	PK系统_提示内容_20140226	30级以上才能切换到杀戮模式
1112	PK系统_提示内容_20140226	无法攻击30级以下的玩家
1113	PK系统_提示内容_20140226	注意!你正在被玩家{0}恶意攻击，可进行合法反击
1114	PK系统_提示内容_20140226	当前杀气值不为0，留下反省吧。
1115	PK系统_提示内容_20140226	您被{0}杀死了
1116	PK系统_提示内容_20140226	当前场景无法PK
1117	PK系统_提示内容_20140226	仇家：{0}
1118	PK系统_提示内容_20140226	等级：{0}
1119	PK系统_提示内容_20140226	帮会：{0}
1120	PK系统_提示内容_20140226	您杀死了{0}增加了{1}点杀气。
1121	PK系统_提示内容_20140226	当前PK模式:杀戮模式
1122	PK系统_提示内容_20140226	PK预留
1123	邮件_UI_20140226	邮件
1124	邮件_UI_20140226	收件箱
1125	邮件_UI_20140226	写邮件
1126	邮件_UI_20140226	全部删除
1127	邮件_UI_20140226	提取全部
1128	邮件_UI_20140226	删除
1129	邮件_UI_20140226	回复
1130	邮件_UI_20140226	提取附件
1131	邮件_UI_20140226	收件人
1132	邮件_UI_20140226	发送邮件
1133	邮件_UI_20140226	发件人
1134	邮件_UI_20140226	只能同时持有32封邮件，请及时清理。
1135	邮件_提示内容_20140226	仍有未提取的附件或钱币，确定要删除吗？
1136	邮件_提示内容_20140226	当前背包已满，请整理后提取。
1137	邮件_提示内容_20140226	确定要将所有已读邮件删除吗？
1138	邮件_提示内容_20140226	请输入收件人姓名。
1139	邮件_提示内容_20140226	收件人不存在，请再次确认。
1140	邮件_提示内容_20140226	每日只能向同一个玩家发送10封邮件
1141	邮件_提示内容_20140226	邮件正文或标题内容不能都为空。
1142	邮件_提示内容_20140226	对方已将您加入黑名单，无法发送。
1143	邮件_提示内容_20140226	邮件发送成功。
1144	邮件_提示内容_20140226	邮箱已满，请尽快清理。
1145	组队_提示内容_20140226	您所在队伍已满，无法继续邀请其他玩家入队！
1146	组队_提示内容_20140226	对方当前状态无法加入队伍！
1147	组队_提示内容_20140226	对方拒绝了您的邀请！
1148	组队_提示内容_20140226	对方队伍已满，您无法加入队伍！
1149	组队_提示内容_20140226	您当前状态无法加入队伍！
1150	组队_提示内容_20140226	您所在队伍已满，无法继续邀请其他玩家入队！
1151	组队_提示内容_20140226	队长拒绝了该玩家入队！
1152	组队_提示内容_20140226	队长拒绝了您的入队请求！
1153	组队_UI_20140226	设置密聊
1154	组队_UI_20140226	添加好友
1155	组队_UI_20140226	查看信息
1156	组队_UI_20140226	邀请入帮
1157	组队_UI_20140226	邀请入队
1158	组队_UI_20140226	申请入队
1159	组队_UI_20140226	举报玩家
1160	组队_UI_20140226	屏蔽发言
1161	组队_UI_20140226	展示玩家
1162	组队_UI_20140226	关闭
1163	组队_UI_20140226	请离队伍
1164	组队_UI_20140226	任命为队长
1165	组队_UI_20140226	队长
1166	组队_UI_20140226	{0}级
1167	组队_UI_20140226	{0}战力
1168	组队_UI_20140226	离开队伍
1169	组队_UI_20140226	解散队伍
1170	组队_UI_20140226	加为好友
1171	组队_UI_20140226	发起组队跟随
1172	组队_UI_20140226	申请组队跟随
1173	组队_UI_20140226	玩家{0}邀请您加入队伍，是否同意？
1174	组队_UI_20140226	玩家{0}申请加入队伍，是否同意？
1175	地图_UI_20140227	场景：
1176	坐骑_UI_20140227	速度：+{0}%
1177	地图_UI_20140303	{0}线
1178	通用_职业_20140303	少林
1179	通用_职业_20140303	大理
1180	通用_职业_20140303	天山
1181	通用_职业_20140303	逍遥
1182	版本验证_提示_20140306	客户端版本与服务器不一致，请升级客户端
1183	武道之巅_提示_20140306	正在匹配对手
1184	登陆_UI_20140306	更多
1185	寻路_UI_20140312	当前坐标：{0}，{1}
1186	挂机_UI_20140312	自动战斗
1187	挂机_UI_20140312	人物血量低于
1188	挂机_UI_20140312	%时使用
1189	挂机_UI_20140312	人物法力低于
1190	挂机_UI_20140312	自动搜索范围
1191	挂机_UI_20140312	自动出售设置
1192	挂机_UI_20140312	药品不足自动购买
1193	挂机_UI_20140312	组队邀请自动接受
1194	挂机_UI_20140312	自动战斗
1195	挂机_UI_20140312	[ffffff]白色品质
1196	挂机_UI_20140312	[33cc66]绿色品质
1197	挂机_UI_20140312	[33ccff]蓝色品质
1198	挂机_UI_20140312	[cc66ff]紫色品质
1199	挂机_UI_20140312	[ff9933]橙色品质
1200	挂机_UI_20140312	增强材料
1201	挂机_UI_20140312	其它
1202	挂机_UI_20140312	选择药品
1203	装备强化_UI_20140313	吸收后可增加强化经验:{0}
1204	装备强化_UI_20140313	当前星级:
1205	装备强化_UI_20140313	基础属性提升
1206	装备强化_UI_20140313	成功率:
1207	装备强化_UI_20140313	选择星级
1208	装备强化_UI_20140313	绿色以下
1209	装备强化_UI_20140313	蓝色以下
1210	装备强化_UI_20140313	紫色以下
1211	装备强化_UI_20140313	橙色以下
1212	装备强化_UI_20140313	所有装备
1213	装备强化_UI_20140313	未选择
1214	装备强化_UI_20140313	3星
1215	装备强化_UI_20140313	4星
1216	装备强化_UI_20140313	5星
1217	装备强化_UI_20140313	6星
1218	装备强化_UI_20140313	7星
1219	装备强化_UI_20140313	8星
1220	装备强化_UI_20140313	9星
1221	装备强化_UI_20140313	10星
1222	装备强化_UI_20140313	11星
1223	装备强化_UI_20140313	12星
1224	装备强化_UI_20140313	未选择装备
1225	装备强化_UI_20140313	未选择材料
1226	装备强化_UI_20140313	未选择星级
1227	江湖名人录_UI_20140313	您于{0}被{1}击败，排名变为第{2}名
1228	江湖名人录_UI_20140313	您于{0}击败{1}，排名变为第{2}名
1229	江湖名人录_UI_20140314	挑战奖励
1230	江湖名人录_UI_20140314	挑战成功#r奖励真气{0}#r奖励声望{1}
1231	江湖名人录_UI_20140314	虽败犹荣#r奖励真气{0}#r奖励声望{1}
1232	称号_提示内容_20140314	切换称号成功
1233	称号_提示内容_20140314	切换称号失败
1234	称号_提示内容_20140314	删除称号成功
1235	称号_提示内容_20140314	删除称号失败
1236	装备_UI_20140314	战力空
1237	装备_UI_20140314	名字空
1238	装备_UI_20140314	等级空
1239	装备_UI_20140314	职业空
1240	装备_UI_20140314	未解锁
1241	装备_UI_20140314	战力 {0}
1242	装备_UI_20140314	等级 {0}
1243	装备_UI_20140314	职业无
1244	技能使用提示_提示内容_20140314	当前战意不足 无法释放XP技能
1245	技能使用提示_提示内容_20140314	技能正在冷却中 请稍候使用
1246	技能使用提示_提示内容_20140314	请选择一个正确的目标后释放
1247	技能使用提示_提示内容_20140314	当前血量不足 无法释放技能
1248	技能使用提示_提示内容_20140314	当前法力不足 无法释放技能
1249	技能使用提示_提示内容_20140314	当前状态无法释放技能
1250	技能使用提示_提示内容_20140315	当前怒气不足 无法释放技能
1251	技能使用提示_提示内容_20140316	当前能量不足 无法释放技能
1252	邮件_UI_20140317	{0}/32
1253	物品使用提示_提示内容_20140317	物品不能使用
1254	物品使用提示_提示内容_20140317	不满足物品使用等级
1255	装备物品提示_提示内容_20140317	不满足装备等级需求
1256	装备物品提示_提示内容_20140317	不满足装备职业需求
1257	获得物品_提示内容_20140317	您背包内此物品数量已达到上限
1258	副本提示_提示内容_20140317	副本将在5秒钟后开启
1259	邮件_UI_20140317	邮件正文不能超过60个字符。
1260	好友_UI_20140226	在线
1261	好友_UI_20140226	离线
1262	任务_提示_20140318	任务接取数量已达上限
1263	任务_提示_20140318	当前状态无法接取任务
1264	任务_提示_20140318	任务已完成
1265	任务_提示_20140318	已拥有此任务
1266	任务_提示_20140318	您的等级不够
1267	任务_提示_20140318	前序任务未完成
1268	任务_提示_20140318	任务失败
1269	任务_提示_20140318	任务所需物品数量不足
1270	任务_提示_20140318	酒楼功能尚未开启，敬请期待
1271	装备强化_屏幕提示_20140318	不可作为强化材料
1272	装备强化_屏幕提示_20140318	强化成功，获得{0}强化经验
1273	装备强化_屏幕提示_20140318	当前强化等级已满
1274	装备强化_屏幕提示_20140318	当前打星等级已满
1275	装备强化_屏幕提示_20140318	打星石数量不足
1276	装备强化_屏幕提示_20140318	打星成功
1277	装备强化_屏幕提示_20140318	打星失败
1278	登陆_提示_20140319	包含非法字符
1279	登陆_提示_20140319	名字过长
1280	登陆_提示_20140319	名字不能包含空格
1281	登陆_提示_20140319	请输入人物名称
1282	登陆_提示_20140319	该名称已经被占用
1283	登陆_提示_20140319	创建人物失败，点击确定返回登录界面
1284	登陆_提示_20140319	登陆失败，错误代码{0}
1285	登陆_提示_20140319	该账户已经登录，请稍后再试
1286	登陆_提示_20140319	获取角色列表失败
1287	登陆_提示_20140319	未知错误
1288	登陆_提示_20140319	账户不能为空
1289	登陆_提示_20140319	密码不能为空
1290	通用_提示_20140319	请稍候……
1291	登陆_提示_20140319	选择角色失败，点击确定返回登录界面
1292	登陆_提示_20140319	连接丢失，请重新登录
1293	登陆_提示_20140319	您已掉线，点击确认后重新连接
1294	登陆_提示_20140319	重新连接获取角色失败，点击确定重新登录
1295	登陆_提示_20140319	重新连接失败，点击确定返回登录界面
1296	系统商店_UI_20140319	单击可将物品回购
1297	系统商店_提示内容_20140319	您选择的物品中有不能出售的，已保留在背包。
1298	物品使用提示_提示内容_20140317	物品使用尚未冷却
1299	目标头像_UI_20140319	加为好友
1300	目标头像_UI_20140319	私聊
1301	目标头像_UI_20140319	邀请入队
1302	目标头像_UI_20140319	申请入队
1303	拾取_提示_20140319	您获得{0}金币
1304	拾取_提示_20140319	您获得{0}个{1}
1305	背包_UI_20140319	点击可花费元宝解锁
1306	美人_UI_20140320	今日已免费亲密{0}/{1}次
1307	美人_UI_20140320	当前亲密度：{0}/100
1308	美人_UI_20140320	品阶：{0}{1}阶
1309	美人_UI_20140320	当前阵型
1310	美人_UI_20140320	无
1311	聚贤庄副本_UI_20140320	简单
1312	聚贤庄副本_UI_20140320	困难
1313	聚贤庄副本_UI_20140320	挑战
1314	聚贤庄副本_UI_20140320	单人
1315	聚贤庄副本_UI_20140320	队伍
1316	聚贤庄副本_UI_20140320	体能：{0}/{1}
1317	聚贤庄副本_UI_20140320	购买
1318	聚贤庄副本_UI_20140320	消耗体能：{0}
1319	聚贤庄副本_UI_20140320	参与等级
1320	聚贤庄副本_UI_20140320	活动时间
1321	聚贤庄副本_UI_20140320	最低战力
1322	聚贤庄副本_UI_20140320	剩余次数
1323	聚贤庄副本_UI_20140320	通关奖励：
1324	聚贤庄副本_UI_20140320	金币
1325	聚贤庄副本_UI_20140320	经验
1326	聚贤庄副本_UI_20140320	扫荡
1327	聚贤庄副本_UI_20140320	喊人
1328	聚贤庄副本_UI_20140320	组队平台
1329	聚贤庄副本_UI_20140320	进入副本
1330	聚贤庄副本_UI_20140320	阿朱自杏子林目睹乔峰被丐帮众长老陷害逐出丐帮，又遭西夏武士暗使“悲酥清风”挟持被乔峰解救后，于少林寺盗取《易筋经》遭玄慈方丈劈空掌波及。乔峰念及是自己挟持假扮少林僧人止清的阿朱姑娘才使其遭致波及，心中甚是过意不去，便时时以内力相继，但内力只能维系生命，阿朱并不曾好转。时逢游氏双雄和薛神医大撒英雄帖，遍邀群雄于聚贤庄一聚。乔峰知其多半是冲自己而来，但为了阿朱姑娘性命之故，虽凶多吉少，但也须闯他一闯。
1331	聚贤庄副本_UI_20140320	聚贤庄副本
1332	聚贤庄副本_UI_20140320	可以参与
1333	武道之巅_提示_20140325	挑战次数已用尽
1334	武道之巅_提示_20140326	等级不足15级，无法参加
1335	武道之巅_提示_20140327	对手正在被挑战
1336	武道之巅_提示_20140328	您正在挑战中
1337	武道之巅_提示_20140329	对手名次已经改变，请重新选择对手
1338	武道之巅_提示_20140330	您在江湖名人录的排名提升为第{0}名！
1339	武道之巅_提示_20140331	目前没有可以匹配对手，稍候再试
1344	武道之巅_提示_20140335	战斗将于{0}秒后开始
1345	武道之巅_提示_20140335	战斗开始
1349	日常副本通用规则_提示信息_20140320	这个副本的次数已经用完，请明日再战！
1350	日常副本通用规则_提示信息_20140320	副本尚未开启，请关注副本开启时间！
1351	日常副本通用规则_提示信息_20140320	当前等级无法参加本副本，请达到{0}级再来尝试！
1352	日常副本通用规则_提示信息_20140320	当前战力不足，冒然进入凶多吉少，请提升战力再来尝试!
1353	日常副本通用规则_提示信息_20140320	只有通关过至少一次的副本才可以扫荡！
1354	日常副本通用规则_提示信息_20140320	体能不够，请等待片刻或者够买体能！
1355	日常副本通用规则_提示信息_20140320	{0}级【{1}】开组，【申请入队】
1356	日常副本通用规则_提示信息_20140320	只有队长才可以使用自动组队。
1357	日常副本通用规则_提示信息_20140320	花费{0}#q3抽取全部奖励
1358	日常副本通用规则_提示信息_20140320	背包已满，奖励将以邮件形式发送到邮箱中，请及时领取！
1359	日常副本通用规则_提示信息_20140320	背包和邮箱均已满，奖励将被系统扣除！
1360	日常副本通用规则_提示信息_20140320	副本将于{0}秒后关闭！
1361	任务_UI_20140320	[00FF00](完成) 
1362	任务_UI_20140321	[FF0000](失败) 
1363	邮件_UI_20140320	系统邮件
1364	邮件_提示内容_20140226	对方收件箱已满，无法发送。
1365	邮件_提示内容_20140226	系统错误，无法发送邮件。
1366	登陆_提示_20140321	连接成功
1367	背包解锁_提示_20140321	每次可扩展10格背包，需要花费{0}绑定元宝
1368	背包解锁_提示_20140321	背包扩展成功
1369	登陆_提示_20140324	您还没有建立角色
1370	装备强化_屏幕提示_20140324	选择星级需要大于装备已有星级
1371	登陆_提示_20140324	少侠，加载场景资源不消耗流量哦！
1372	登陆_提示_20140324	昵称已存在。
1373	登陆_提示_20140324	有新的版本可以更新啦！请登陆APP下载。
1374	登陆_提示_20140324	网络不给力，建议在wifi下使用。
1375	登陆_提示_20140324	资源加载异常，请关闭程序后重试或重新下载客户端。
1376	登陆_提示_20140324	本移动端游戏改编自金庸先生原著《天龙八部》，金庸先生拥有对《天龙八部》的一切版权，并禁止任何侵权行为
1377	美人_提示_20140325	您还没有获得任何美人
1378	奖励_提示_20140325	领取
1379	奖励_提示_20140325	未领取
1380	奖励_提示_20140326	已领取
1381	奖励_提示_20140327	不能领取
1382	目标_UI_20140325	可以通过以下方式获得经验（点击前往）
1383	目标UI_20140325	一
1384	目标UI_20140325	二
1385	目标UI_20140325	三
1386	装备打星UI_20140327	1、消耗打星石打星提高装备星级，星级越高装备基础属性加成越多。#r2、星级在装备强化中可以被继承。#r3、装备品质越高，可打星级上限越高。
1387	自动转义符_提示_20140327	少侠
1388	自动转义符_提示_20140327	姑娘
1389	自动转义符_提示_20140327	小子
1390	自动转义符_提示_20140327	小丫头
1391	技能_提示_20140327	本屏范围内无可选攻击目标
1392	技能_提示_20140327	本屏范围内无可选目标
1393	装备强化_屏幕提示_20140328	材料装备等级不得高于强化目标装备等级
1394	PK系统_提示内容_20140329	同队伍玩家之间无法PK
1395	副本_提示_20140329	第一波敌人即将来袭！
1396	副本_提示_20140329	第二波敌人即将来袭！
1397	副本_提示_20140329	最后一波敌人即将来袭！
1398	副本_提示_20140329	通关成功！
1399	美人_提示_20140328	再次亲密需要消耗#q3
1400	美人_提示_20140328	加速进化需要消耗#q3
1401	美人_提示_20140328	是否继续？
1402	美人_提示_20140328	进化至{0}阶需要消耗冰魄神丹*{1}，金币{2}，是否确定进化
1403	美人_提示_20140328	进化至{0}阶需要消耗冰魄神丹*{1}，金币{2}，是否确定进化
1404	美人_提示_20140328	进化至{0}阶需要消耗冰魄神丹*{1}，金币{2}，是否确定进化
1405	美人_提示_20140328	进化至{0}阶需要消耗冰魄神丹*{1}，金币{2}，是否确定进化
1406	通用_提示_20140331	您的元宝不足，无法使用此功能，是否现在充值？
1407	坐骑_UI_20140401	骑乘
1408	坐骑_UI_20140401	休息
1409	美人_UI_20140401	美人收集说明：#r1、每个美人都有不同的邂逅途径。通过“上阵”操作可以使已邂逅的美人为您提供属性加成。#r2、邂逅的美人总数越多，美人的属性值也会相应提升。#r3、通过与单个美人“亲密”，还可以培养该美人的好感度；当好感度满值时，美人会馈赠您一件“大礼”哦~
1410	美人_UI_20140401	美人阵法说明：#r1、阵法将随等级提升逐步开启；但同时只能激活一个阵法。只有被激活阵法才有加成效果。#r2、被激活阵法中的所有美人都会为您提供属性加成；如果上阵的美人达成情缘条件，还可以激活情缘效果。#r3、每个阵法都有不同的阵法效果；只有当所有阵位上都有美人时，才会激活阵法效果。
1411	美人_UI_20140401	美人进化说明：#r1、通过“进化”操作，可以提升美人的品质。美人每次提升品质都会增加一项新的属性。#r2、当进化到紫色和橙色品质时，美人还会有越来越华丽的外观变化哦~#r3、美人的品质决定了阵法属性加成。阵法属性加成多少是根据阵法内所有美人的最低品质而定的。品质越高，加成值越高。
1412	美人_提示_20140401	背包已满，请清理背包后再行亲密。
1413	结婚系统_提示_20140401	该道具只可以对异性角色使用
1414	结婚系统_提示_20140401	对方当前状态不可被求婚
1415	结婚系统_UI_20140401	您正在向{0}求婚，成功后将消耗一见倾心戒指一个，是否继续？
1416	结婚系统_UI_20140401	{0}鼓起勇气，向您表明真心，您是否愿意鸳鸯相伴，共浴江湖？
1417	结婚系统_提示_20140401	您的好友{0}答应了{1}的求婚，快去祝福他们吧！
1418	结婚系统_提示_20140401	您的好友{0}向{1}求婚成功，快去祝福他们吧！
1419	结婚系统_提示_20140401	{0}拒绝了您的求婚，也许是{1}还没准备好，切莫灰心！
1420	结婚系统_提示_20140401	您拒绝了{0}的求婚，成不了伴侣还可以做朋友，切莫辜负了他一番心意！
1421	结婚系统_提示_20140401	距离太远，求婚被打断，请重新尝试！
1422	结婚系统_提示_20140401	为表示对庄主的尊敬，山庄内需要下坐骑
1423	结婚系统_提示_20140401	山庄内请各位宾客步行进入
1424	结婚系统_提示_20140401	结婚需要两个人带着“并蒂芙蓉”戒指组队在这里申请，队伍中切勿有其他玩家
1425	结婚系统_提示_20140401	新娘子都要等不及了，快回乘龙山庄准备迎亲吧！
1426	结婚系统_提示_20140401	新郎就要来迎亲啦，快回凤鸾山庄梳妆准备吧！
1427	结婚系统_提示_20140401	新娘需要在10米以内方可进入大堂举行结婚仪式
1428	结婚系统_提示_20140401	您稍候可以通过乘龙山庄大堂门口的司仪NPC进入拜堂场景
1429	结婚系统_提示_20140401	当前没有人结婚，无法进入拜堂场景
1430	结婚系统_提示_20140401	新郎新娘需要在拜堂区域才能开始婚礼
1431	结婚系统_提示_20140401	请携带“鸳鸯戏水”戒指在此申请离婚！
1432	背包_UI_20140402	背包已经全部解锁
1433	升级_提示_20140402	恭喜升级！！！
1434	美人_提示_20140402	亲密成功，获得XXXX！！
1435	美人_提示_20140402	进化成功！！！
1436	时装_UI_20140402	剩余时间：{0}
1437	时装_UI_20140402	装备
1438	时装_UI_20140402	购买
1439	时装_UI_20140402	续费
1440	时装_UI_20140402	7天
1441	时装_UI_20140402	30天
1442	时装_UI_20140402	永久
1443	时装_UI_20140402	共需要{0}#q3
1444	挂机_UI_20140312	关闭战斗
1445	背包_提示内容_20140402	最多可开启90格背包位，不可再开启。
1446	聚贤庄副本_公告_20140402	聚贤庄副本正在火热进行中，大量经验等着您来拿，需要的侠士请点击活动参与！
1447	副本_提示_20140403	5秒后将传出副本
1448	tips_UI_20140403	2件套效果:
1449	tips_UI_20140403	3件套效果:
1450	tips_UI_20140403	4件套效果:
1451	离线挂机_提示_20140403	您距离上次在线时间已有{0}天了，现在登录游戏将获得{1}经验的厚礼！点击登录游戏！
1452	离线挂机_提示_20140403	欢迎再次光临，您共{0}天没登录游戏了，我们为您准备了{1}的经验作为见面礼！
1453	离线挂机_提示_20140403	欢迎再次光临，您共{0}天没登录游戏了，我们为您准备了{1}的经验作为见面礼！因为您的等级达到上限，多余的经验已被系统扣除！
1454	上线提醒_提示_20140403	老婆【$N】上线了
1455	上线提醒_提示_20140403	老公【$N】上线了
1456	上线提醒_提示_20140403	师傅【$N】上线了
1457	上线提醒_提示_20140403	好友【$N】上线了
1458	美人_提示_20140403	美人进化材料或金币不足
1459	结婚系统_公告_20140403	恭喜【$N】和【$N】喜结良缘！
1460	师徒系统_UI_20140404	师门
1461	师徒系统_UI_20140404	帮会
1462	师徒系统_UI_20140404	师门信息
1463	师徒系统_UI_20140404	师门技能
1464	师徒系统_UI_20140404	师门名称
1465	师徒系统_UI_20140404	开山祖师
1466	师徒系统_UI_20140404	弟子数
1467	师徒系统_UI_20140404	师门技能
1468	师徒系统_UI_20140404	创派时间
1469	师徒系统_UI_20140404	申请加入
1470	师徒系统_UI_20140404	联系掌门
1471	师徒系统_UI_20140404	加为好友
1472	师徒系统_UI_20140404	自立门户
1473	师徒系统_UI_20140404	昵称
1474	师徒系统_UI_20140404	帮会
1475	师徒系统_UI_20140404	等级
1476	师徒系统_UI_20140404	职业
1477	师徒系统_UI_20140404	战力
1478	师徒系统_UI_20140404	设为密聊
1479	师徒系统_UI_20140404	批准申请
1480	师徒系统_UI_20140404	拒绝申请
1481	师徒系统_UI_20140404	全部批准
1482	师徒系统_UI_20140404	全部拒绝
1483	师徒系统_UI_20140404	创建师门
1484	师徒系统_UI_20140404	稍候再说
1485	师徒系统_UI_20140404	师门令
1486	师徒系统_UI_20140404	{0}[掌门人：$N]
1487	师徒系统_UI_20140404	在线弟子 / 总弟子 / 弟子上限：{0} / {1} / {2}
1488	师徒系统_UI_20140404	师门介绍
1489	师徒系统_UI_20140404	管理师门
1490	师徒系统_UI_20140404	审核入门申请
1491	师徒系统_UI_20140404	解散师门
1492	师徒系统_UI_20140404	激活
1493	师徒系统_UI_20140404	学习
1494	师徒系统_UI_20140404	升级
1495	师徒系统_UI_20140404	放入快捷栏
1496	师徒系统_UI_20140404	离线时间
1497	师徒系统_UI_20140404	邀请入队
1498	师徒系统_UI_20140404	申请入队
1499	师徒系统_UI_20140404	断绝关系
1500	师徒系统_UI_20140404	查看师门弟子
1501	师徒系统_UI_20140404	您正在为师门自创武功，请输入武功名称（最多六个字）：
1502	师徒系统_UI_20140404	每个师门最多只可以激活四个技能，想要激活更多技能请遗忘一个已有技能，请选择想要遗忘的技能：
1503	师徒系统_UI_20140404	注意：学习技能所消耗的薪火不会返还
1504	师徒系统_UI_20140404	遗忘
1505	师徒系统_提示_20140404	“{0}”是屏蔽字，请重新输入！
1506	师徒系统_提示_20140404	技能名称最多六个汉字，请重新输入！
1507	师徒系统_提示_20140404	该技能名称已经被其他师门使用过了，请重新输入！
1508	师徒系统_提示_20140404	只有掌门才可以学习师门技能
