Id	Desc	HelpName	RecomTitle1	RecomIcon1	RecomStar1	RecomDesc1	RecomTitle2	RecomIcon2	RecomStar2	RecomDesc2	RecomTitle3	RecomIcon3	RecomStar3	RecomDesc3	RecomTitle4	RecomIcon4	RecomStar4	RecomDesc4	RecomTitle5	RecomIcon5	RecomStar5	RecomDesc5
		人物升级8	少室山8	icon-jishou	8	xxxxxxx	燕子坞9	icon-yaoqianshu	9	描述描述描述描述描述描述描述描述描述	燕子坞10	icon-guild01	10	描述描述描述描述描述描述描述描述描述	燕子坞11	icon-yaoqianshu	11	描述描述描述描述描述描述描述描述描述	燕子坞12	icon-yaoqianshu	12	描述描述描述描述描述描述描述描述描述
		人物升级9	少室山9	icon-jishou	9	xxxxxxx	燕子坞10	icon-yaoqianshu	10	描述描述描述描述描述描述描述描述描述	燕子坞11	icon-guild01	11	描述描述描述描述描述描述描述描述描述	燕子坞12	icon-yaoqianshu	12	描述描述描述描述描述描述描述描述描述	燕子坞13	icon-yaoqianshu	13	描述描述描述描述描述描述描述描述描述
2		人物升级10	少室山10	icon-jishou	10	xxxxxxx	燕子坞11	icon-yaoqianshu	11	描述描述描述描述描述描述描述描述描述	燕子坞12	icon-guild01	12	描述描述描述描述描述描述描述描述描述	燕子坞13	icon-yaoqianshu	13	描述描述描述描述描述描述描述描述描述	燕子坞14	icon-yaoqianshu	14	描述描述描述描述描述描述描述描述描述
		人物升级11	少室山11	icon-jishou	11	xxxxxxx	燕子坞12	icon-yaoqianshu	12	描述描述描述描述描述描述描述描述描述	燕子坞13	icon-guild01	13	描述描述描述描述描述描述描述描述描述	燕子坞14	icon-yaoqianshu	14	描述描述描述描述描述描述描述描述描述	燕子坞15	icon-yaoqianshu	15	描述描述描述描述描述描述描述描述描述
		人物升级12	少室山12	icon-jishou	12	xxxxxxx	燕子坞13	icon-yaoqianshu	13	描述描述描述描述描述描述描述描述描述	燕子坞14	icon-guild01	14	描述描述描述描述描述描述描述描述描述	燕子坞15	icon-yaoqianshu	15	描述描述描述描述描述描述描述描述描述	燕子坞16	icon-yaoqianshu	16	描述描述描述描述描述描述描述描述描述
		人物升级13	少室山13	icon-jishou	13	xxxxxxx	燕子坞14	icon-yaoqianshu	14	描述描述描述描述描述描述描述描述描述	燕子坞15	icon-guild01	15	描述描述描述描述描述描述描述描述描述	燕子坞16	icon-yaoqianshu	16	描述描述描述描述描述描述描述描述描述	燕子坞17	icon-yaoqianshu	17	描述描述描述描述描述描述描述描述描述
		人物升级14	少室山14	icon-jishou	14	xxxxxxx	燕子坞15	icon-yaoqianshu	15	描述描述描述描述描述描述描述描述描述	燕子坞16	icon-guild01	16	描述描述描述描述描述描述描述描述描述	燕子坞17	icon-yaoqianshu	17	描述描述描述描述描述描述描述描述描述	燕子坞18	icon-yaoqianshu	18	描述描述描述描述描述描述描述描述描述
		人物升级15	少室山15	icon-jishou	15	xxxxxxx	燕子坞16	icon-yaoqianshu	16	描述描述描述描述描述描述描述描述描述	燕子坞17	icon-guild01	17	描述描述描述描述描述描述描述描述描述	燕子坞18	icon-yaoqianshu	18	描述描述描述描述描述描述描述描述描述	燕子坞19	icon-yaoqianshu	19	描述描述描述描述描述描述描述描述描述
		人物升级16	少室山16	icon-jishou	16	xxxxxxx	燕子坞17	icon-yaoqianshu	17	描述描述描述描述描述描述描述描述描述	燕子坞18	icon-guild01	18	描述描述描述描述描述描述描述描述描述	燕子坞19	icon-yaoqianshu	19	描述描述描述描述描述描述描述描述描述	燕子坞20	icon-yaoqianshu	20	描述描述描述描述描述描述描述描述描述
		人物升级17	少室山17	icon-jishou	17	xxxxxxx	燕子坞18	icon-yaoqianshu	18	描述描述描述描述描述描述描述描述描述	燕子坞19	icon-guild01	19	描述描述描述描述描述描述描述描述描述	燕子坞20	icon-yaoqianshu	20	描述描述描述描述描述描述描述描述描述	燕子坞21	icon-yaoqianshu	21	描述描述描述描述描述描述描述描述描述
