Id	Desc	Profession	Level	NeedSkillId	NextSkillId	NeedConsume	NeedCoin
30804	无所遁形	2	65	30804	30805	21215	109000
30805	无所遁形	2	70	30805	30806	24078	187800
30806	无所遁形	2	76	30806	30807	29835	287900
30807	无所遁形	2	82	30807	30808	39306	409400
30808	无所遁形	2	86	30808	30809	47490	552300
30809	无所遁形	2	89	30809	30810	59786	687600
30810	无所遁形	2	92	30810	-1	0	0
40301	小无相功	3	2	40301	40302	462	500
40302	小无相功	3	15	40302	40303	942	1600
40303	小无相功	3	30	40303	40304	12166	11600
40304	小无相功	3	54	40304	40305	15317	44100
40305	小无相功	3	63	40305	40306	21041	98000
40306	小无相功	3	69	40306	40307	23799	173200
40307	小无相功	3	75	40307	40308	29090	269700
40308	小无相功	3	81	40308	40309	38275	387700
40309	小无相功	3	86	40309	40310	45174	527000
40310	小无相功	3	89	40310	-1	0	0
40401	祝融掌	3	10	40401	40402	541	800
40402	祝融掌	3	20	40402	40403	2033	3000
40403	祝融掌	3	39	40403	40404	12769	15600
40404	祝融掌	3	56	40404	40405	15885	51600
40405	祝融掌	3	64	40405	40406	22437	120700
40406	祝融掌	3	71	40406	40407	24586	203000
40407	祝融掌	3	77	40407	40408	31628	306700
40408	祝融掌	3	83	40408	40409	40384	431700
40409	祝融掌	3	87	40409	40410	49854	578200
40410	祝融掌	3	90	40410	-1	0	0
40501	北冥神功	3	17	40501	40502	667	900
40502	北冥神功	3	25	40502	40503	3151	3400
40503	北冥神功	3	42	40503	40504	14117	25200
40504	北冥神功	3	60	40504	40505	17805	68400
40505	北冥神功	3	66	40505	40506	22706	132900
40506	北冥神功	3	72	40506	40507	26140	218800
40507	北冥神功	3	78	40507	40508	33468	326000
40508	北冥神功	3	84	40508	40509	40510	454700
40509	北冥神功	3	87	40509	40510	52266	604600
40510	北冥神功	3	90	40510	-1	0	0
40601	寒冰镜	3	28	40601	40602	1264	1900
40602	寒冰镜	3	35	40602	40603	5144	5600
40603	寒冰镜	3	48	40603	40604	14863	30900
40604	寒冰镜	3	61	40604	40605	18836	77600
40605	寒冰镜	3	67	40605	40606	23022	145700
40606	寒冰镜	3	73	40606	40607	26743	235200
40607	寒冰镜	3	79	40607	40608	34356	346000
40608	寒冰镜	3	85	40608	40609	42684	478200
40609	寒冰镜	3	88	40609	40610	54725	631700
40610	寒冰镜	3	91	40610	-1	0	0
40701	凌波微步	3	40	40701	40702	4059	5000
40702	凌波微步	3	45	40702	40703	8104	7600
40703	凌波微步	3	50	40703	40704	15176	37200
40704	凌波微步	3	62	40704	40705	19915	87500
40705	凌波微步	3	68	40705	40706	23387	159100
40706	凌波微步	3	74	40706	40707	28393	252200
40707	凌波微步	3	80	40707	40708	37292	366500
40708	凌波微步	3	85	40708	40709	44905	502300
40709	凌波微步	3	88	40709	40710	57231	659400
40710	凌波微步	3	91	40710	-1	0	0
40801	寒霜怒雪	3	50	40801	40802	9611	8300
40802	寒霜怒雪	3	52	40802	40803	13419	20100
40803	寒霜怒雪	3	58	40803	40804	16821	59700
40804	寒霜怒雪	3	65	40804	40805	21215	109000
40805	寒霜怒雪	3	70	40805	40806	24078	187800
40806	寒霜怒雪	3	76	40806	40807	29835	287900
40807	寒霜怒雪	3	82	40807	40808	39306	409400
40808	寒霜怒雪	3	86	40808	40809	47490	552300
40809	寒霜怒雪	3	89	40809	40810	59786	687600
40810	寒霜怒雪	3	92	40810	-1	0	0
