Id	DESC	szString	type_1	type_2
154		司仪	0	1
155		媒婆	0	1
156		段正明	0	1
157		段正淳	0	1
158		秦红棉	0	1
159		阮星竹	0	1
160		高升泰	0	1
161		巴天石	0	1
162		华赫艮	0	1
163		范骅	0	1
164		古笃诚	0	1
165		傅思归	0	1
166		崔百泉	0	1
167		过彦之	0	1
168		本观	0	1
169		本相	0	1
170		本参	0	1
171		黄眉大师	0	1
172		破嗔	0	1
173		萧远山	0	1
174		阿紫	0	1
175		游坦之	0	1
176		康敏	0	1
177		徐长老	0	1
178		项长老	0	1
179		陈长老	0	1
180		吴长老	0	1
181		宋长老	0	1
182		奚长老	0	1
183		全冠清	0	1
184		完颜阿骨打	0	1
185		耶律洪基	0	1
186		游骥	0	1
187		游驹	0	1
188		赵钱孙	0	1
189		单正	0	1
190		单伯山	0	1
191		单仲山	0	1
192		单叔山	0	1
193		单季山	0	1
194		单小山	0	1
195		智光大师	0	1
196		许卓诚	0	1
197		谭公	0	1
198		谭婆	0	1
199		谭青	0	1
200		乔三槐	0	1
201		无崖子	0	1
202		无涯子	0	1
203		天山童姥	0	1
204		李秋水	0	1
205		李清露	0	1
206		梦姑	0	1
207		银川公主	0	1
208		苏星河	0	1
209		丁春秋	0	1
210		康广陵	0	1
211		范百龄	0	1
212		苟读	0	1
213		吴领军	0	1
214		薛慕华	0	1
215		薛神医	0	1
216		冯阿三	0	1
217		李傀儡	0	1
218		石清露	0	1
219		摘星子	0	1
220		天狼子	0	1
221		出尘子	0	1
222		乌老大	0	1
223		桑土公	0	1
224		玄黄子	0	1
225		章达夫	0	1
226		瑞木元	0	1
227		黎夫人	0	1
228		安岛主	0	1
229		区岛主	0	1
230		哈大霸	0	1
231		余婆	0	1
232		石嫂	0	1
233		符敏仪	0	1
234		程青霜	0	1
235		梅剑	0	1
236		兰剑	0	1
237		竹剑	0	1
238		菊剑	0	1
239		辛双清	0	1
240		不平道长	0	1
241		芙蓉仙子	0	1
242		崔绿华	0	1
243		龚光杰	0	1
244		卓不凡	0	1
245		容子矩	0	1
246		干光豪	0	1
247		葛光佩	0	1
248		郁光标	0	1
249		钱光胜	0	1
250		唐光雄	0	1
251		扫地神僧	0	1
252		玄慈	0	1
253		玄渡	0	1
254		玄难	0	1
255		玄痛	0	1
256		玄苦	0	1
257		玄寂	0	1
258		玄惭	0	1
259		玄愧	0	1
260		玄念	0	1
261		玄净	0	1
262		慧真	0	1
263		慧观	0	1
264		慧方	0	1
265		止清	0	1
266		神山上人	0	1
267		观心大师	0	1
268		玄澄	0	1
269		灵门禅师	0	1
270		七指头陀	0	1
271		汪剑通	0	1
272		柯百岁	0	1
273		孙三霸	0	1
274		九翼道人	0	1
275		秦伯起	0	1
276		司马卫	0	1
277		骆氏三雄	0	1
278		包不靓	0	1
279		神仙姐姐	0	1
280		神仙姊姊	0	1
281		达摩	0	1
282		逍遥子	0	1
283		虚竹	0	1
284		李沧海	0	1
285		巫行云	0	1
286		庄聚贤	0	1
287		萧太后	0	1
288		扫地僧	0	1
289		扫地老僧	0	1
290		（達癩	1	1
291		（盜竊	1	1
292		（放蕩	1	1
293		（熱比婭	1	1
294		（伊斯蘭亞格林尼斯	1	1
295		*法*轮*功*	1	1
296		*法*轮*功*靠	1	1
297		*李*洪*志*	1	1
298		*李*洪*志*靠	1	1
299		.ad	1	1
300		.ae	1	1
301		.aero	1	1
302		.af	1	1
303		.ag	1	1
304		.ai	1	1
305		.al	1	1
306		.am	1	1
307		.an	1	1
308		.ao	1	1
309		.aq	1	1
310		.ar	1	1
311		.arpa	1	1
312		.as	1	1
313		.at	1	1
314		.au	1	1
315		.aw	1	1
316		.az	1	1
317		.ba	1	1
318		.bb	1	1
319		.bd	1	1
320		.be	1	1
321		.bf	1	1
322		.bg	1	1
323		.bh	1	1
324		.bi	1	1
325		.biz	1	1
326		.bj	1	1
327		.bm	1	1
328		.bn	1	1
329		.bo	1	1
330		.br	1	1
331		.bs	1	1
332		.bt	1	1
333		.bv	1	1
334		.bw	1	1
335		.by	1	1
336		.bz	1	1
337		.ca	1	1
338		.cc	1	1
339		.cf	1	1
340		.cg	1	1
341		.ch	1	1
342		.ci	1	1
343		.ck	1	1
344		.cl	1	1
345		.cm	1	1
346		.cn	1	1
347		.co	1	1
348		.com	1	1
349		.coop	1	1
350		.cq	1	1
351		.cr	1	1
352		.cu	1	1
353		.cv	1	1
354		.cx	1	1
355		.cy	1	1
356		.cz	1	1
357		.de	1	1
358		.dj	1	1
359		.dk	1	1
360		.dm	1	1
361		.do	1	1
362		.dz	1	1
363		.ec	1	1
364		.edu	1	1
365		.ee	1	1
366		.eg	1	1
367		.eh	1	1
368		.es	1	1
369		.et	1	1
370		.ev	1	1
371		.fi	1	1
372		.fj	1	1
373		.fk	1	1
374		.fm	1	1
375		.fo	1	1
376		.fr	1	1
377		.ga	1	1
378		.gb	1	1
379		.gd	1	1
380		.ge	1	1
381		.gf	1	1
382		.gh	1	1
383		.gi	1	1
384		.gl	1	1
385		.gm	1	1
386		.gn	1	1
387		.gov	1	1
388		.gp	1	1
389		.gr	1	1
390		.gt	1	1
391		.gu	1	1
392		.gw	1	1
393		.gy	1	1
394		.hk	1	1
395		.hm	1	1
396		.hn	1	1
397		.hr	1	1
398		.ht	1	1
399		.hu	1	1
400		.id	1	1
401		.ie	1	1
402		.il	1	1
403		.in	1	1
404		.info	1	1
405		.int	1	1
406		.io	1	1
407		.iq	1	1
408		.ir	1	1
409		.is	1	1
410		.it	1	1
411		.jm	1	1
412		.jo	1	1
413		.jp	1	1
414		.ke	1	1
415		.kg	1	1
416		.kh	1	1
417		.ki	1	1
418		.km	1	1
419		.kn	1	1
420		.kp	1	1
421		.kr	1	1
422		.kw	1	1
423		.ky	1	1
424		.kz	1	1
425		.la	1	1
426		.lb	1	1
427		.lc	1	1
428		.li	1	1
429		.lk	1	1
430		.lr	1	1
431		.ls	1	1
432		.lt	1	1
433		.lu	1	1
434		.lv	1	1
435		.ly	1	1
436		.ma	1	1
437		.mc	1	1
438		.md	1	1
439		.mg	1	1
440		.mh	1	1
441		.mil	1	1
442		.ml	1	1
443		.mm	1	1
444		.mn	1	1
445		.mo	1	1
446		.mp	1	1
447		.mq	1	1
448		.mr	1	1
449		.ms	1	1
450		.mt	1	1
451		.museum	1	1
452		.mv	1	1
453		.mw	1	1
454		.mx	1	1
455		.my	1	1
456		.mz	1	1
457		.na	1	1
458		.name	1	1
459		.nc	1	1
460		.ne	1	1
461		.net	1	1
462		.nf	1	1
463		.ng	1	1
464		.ni	1	1
465		.nl	1	1
466		.no	1	1
467		.np	1	1
468		.nr	1	1
469		.nt	1	1
470		.nu	1	1
471		.nz	1	1
472		.om	1	1
473		.org	1	1
474		.pa	1	1
475		.pe	1	1
476		.pf	1	1
477		.pg	1	1
478		.ph	1	1
479		.pk	1	1
480		.pl	1	1
481		.pm	1	1
482		.pn	1	1
483		.pr	1	1
484		.pro	1	1
485		.pt	1	1
486		.pw	1	1
487		.py	1	1
488		.qa	1	1
489		.re	1	1
490		.ro	1	1
491		.ru	1	1
492		.rw	1	1
493		.sa	1	1
494		.sb	1	1
495		.sc	1	1
496		.sd	1	1
497		.se	1	1
498		.sg	1	1
499		.sh	1	1
500		.si	1	1
501		.sj	1	1
502		.sk	1	1
503		.sl	1	1
504		.sm	1	1
505		.sn	1	1
506		.so	1	1
507		.sr	1	1
508		.st	1	1
509		.su	1	1
510		.sy	1	1
511		.sz	1	1
512		.tc	1	1
513		.td	1	1
514		.tf	1	1
515		.tg	1	1
516		.th	1	1
517		.tj	1	1
518		.tk	1	1
519		.tm	1	1
520		.tn	1	1
521		.to	1	1
522		.tp	1	1
523		.tr	1	1
524		.tt	1	1
525		.tv	1	1
526		.tw	1	1
527		.tz	1	1
528		.ua	1	1
529		.ug	1	1
530		.uk	1	1
531		.us	1	1
532		.uy	1	1
533		.va	1	1
534		.vc	1	1
535		.ve	1	1
536		.vg	1	1
537		.vn	1	1
538		.vu	1	1
539		.wf	1	1
540		.ws	1	1
541		.ye	1	1
542		.yu	1	1
543		.za	1	1
544		.zm	1	1
545		.zr	1	1
546		.zw	1	1
547		@sshole	1	1
548		@sshole靠	1	1
549		∪R	1	1
550		∪R靠	1	1
551		01gh.com	1	1
552		09city.com	1	1
553		1000scarf.com	1	1
554		1100y.com	1	1
555		11xp.1243.net.cn	1	1
556		1234chengren.1249.net.cn	1	1
557		131.com	1	1
558		13888wg.com	1	1
559		13点靠	1	1
560		158le.com	1	1
561		166578.cn	1	1
562		17173dl.net	1	1
563		17173yxdl.cn	1	1
564		17youle.com	1	1
565		18900.com	1	1
566		18摸 	1	1
567		1qmsj.com	1	1
568		1t1t.com	1	1
569		202333.com	1	1
570		208.43.198.56	1	1
571		21世纪中国基金会	1	1
572		2y7v.cnhwxvote.cn	1	1
573		2逼靠	1	1
574		365gn	1	1
575		365tttyx.com	1	1
576		37447.cn	1	1
577		3P	1	1
578		51jiafen.cn	1	1
579		52ppsa.cn	1	1
580		52sxhy.cn	1	1
581		54hero.com	1	1
582		567567aa.cn	1	1
583		58.253.67.74	1	1
584		597ft.com	1	1
585		5d6d.com	1	1
586		5m5m5m.com	1	1
587		610办公室靠	1	1
588		6-4tianwang	1	1
589		64靠	1	1
590		661661.com	1	1
591		6人被逮	1	1
592		7.5事件	1	1
593		71ka.com	1	1
594		7mmo.com	1	1
595		8 仙	1	1
596		8 仙靠	1	1
597		888895.com	1	1
598		88mysf.com	1	1
599		89-64cdjp	1	1
600		89靠	1	1
601		8仙	1	1
602		8仙靠	1	1
603		91bysd.cn	1	1
604		92klgh.cn	1	1
605		92wydl.com	1	1
606		a$$hole	1	1
607		a$shole	1	1
608		aa.yazhousetu.hi.9705.net.cn	1	1
609		aaac.s.51524.com	1	1
610		aaad.s.59764.com	1	1
611		ADMIN	1	1
612		admin靠	1	1
613		AIDS	1	1
614		Aiort墓地	1	1
615		ai滋	1	1
616		Arqus会议场	1	1
617		as$hole	1	1
618		asgardcn.com	1	1
619		ASS	1	1
620		asshole	1	1
621		Atan的移动石	1	1
622		A片	1	1
623		Baichi	1	1
624		baijie.1249.net.cn	1	1
625		Baopi	1	1
626		Bao皮	1	1
627		bastard	1	1
628		bbs.766.com	1	1
629		bbs.7gg.cn	1	1
630		bbs.butcn.com	1	1
631		bbs.pkmmo.whoyo.com	1	1
632		bbscity	1	1
633		bcd.s.59764.com	1	1
634		beijingspring	1	1
635		biaozi	1	1
636		Biao子	1	1
637		bignews	1	1
638		Bitch	1	1
639		Bi样	1	1
640		bjzc	1	1
641		bl62.com	1	1
642		blacksee.com.cn	1	1
643		BLOW	1	1
644		BLOWJOB	1	1
645		boxun	1	1
646		bt	1	1
647		bulaoge.com	1	1
648		butthead	1	1
649		butthole	1	1
650		bz176.com	1	1
651		B样	1	1
652		c a o	1	1
653		c a o靠	1	1
654		canyaa.com	1	1
655		cao	1	1
656		caoB	1	1
657		caobi	1	1
658		cao靠	1	1
659		cao你	1	1
660		cao你大爷	1	1
661		cao你妈	1	1
662		Carrefour	1	1
663		cdjp	1	1
664		cdream.com	1	1
665		cha你	1	1
666		chengmingmag	1	1
667		chengrenmanhua.1242.net.cn	1	1
668		chengrenwangzhi.1242.net.cn	1	1
669		chinaliberal	1	1
670		chinamz	1	1
671		chinavfx.net	1	1
672		chinesenewsnet	1	1
673		chinesenewsweek	1	1
674		Clockgemstone	1	1
675		cnaicheng.1174.net.cn	1	1
676		consignment5173	1	1
677		creaders	1	1
678		Crestbone	1	1
679		cunt	1	1
680		dadati.com	1	1
681		dafa	1	1
682		dajiyuan	1	1
683		damm	1	1
684		damn	1	1
685		dfdz	1	1
686		DICK	1	1
687		digitallongking.com	1	1
688		dingxiang.1243.net.cn	1	1
689		dingxiang.1249.net	1	1
690		dl.com	1	1
691		dolbbs.com	1	1
692		dpp	1	1
693		e7sw.cn	1	1
694		eee.xaoh.cn	1	1
695		eight仙	1	1
696		eight仙靠	1	1
697		ent365.com	1	1
698		epochtime	1	1
699		epochtimes	1	1
700		EVENT	1	1
701		E周刊	1	1
702		F.L.G	1	1
703		falu	1	1
704		falun	1	1
705		falundafa	1	1
706		fawanghuihui	1	1
707		FA轮	1	1
708		fa轮 	1	1
709		Feelmistone	1	1
710		feitengdl.com	1	1
711		fgmtv	1	1
712		Fku	1	1
713		flg	1	1
714		fofg	1	1
715		fosaon	1	1
716		freechina	1	1
717		freedom	1	1
718		freenet	1	1
719		fu(	1	1
720		fuc	1	1
721		FUCK	1	1
722		FUCKYOU	1	1
723		fuck靠	1	1
724		fuck氵去	1	1
725		fuck骚	1	1
726		fuck色情	1	1
727		fuck色情电影	1	1
728		fuck色情服务	1	1
729		fuck色情小电影	1	1
730		fuck杀人犯	1	1
731		fuck傻B	1	1
732		fuck傻屄	1	1
733		fuck傻逼	1	1
734		fuck傻比	1	1
735		fuck傻吊	1	1
736		fuck傻卵	1	1
737		fuck傻子	1	1
738		fuck煞逼	1	1
739		fuck商务部	1	1
740		fuck上你	1	1
741		fuck上妳	1	1
742		fuck社.会.正.义.力.量	1	1
743		fuck社保基金会	1	1
744		fuck社会主义	1	1
745		fuck社科院	1	1
746		fuck射精	1	1
747		fuck身份生成器	1	1
748		fuck神经病	1	1
749		fuck神通加持法	1	1
750		fuck审计署	1	1
751		fuck升达毕业证	1	1
752		fuck生春袋	1	1
753		fuck生孩子没屁眼	1	1
754		fuck生鸦片	1	1
755		fuck圣女峰	1	1
756		fuck湿透的内裤	1	1
757		fuck十八摸	1	1
758		fuck十年动乱	1	1
759		fuck十五周年	1	1
760		fuck石进	1	1
761		fuck食捻屎	1	1
762		fuck食屎	1	1
763		fuck驶你爸	1	1
764		fuck驶你公	1	1
765		fuck驶你老母	1	1
766		fuck驶你老师	1	1
767		fuck驶你母	1	1
768		fuck驶你娘	1	1
769		fuck世界日报	1	1
770		fuck是鸡	1	1
771		fuck手机复制	1	1
772		fuck手淫	1	1
773		fuck受虐狂	1	1
774		fuck售ID	1	1
775		fuck售号	1	1
776		fuck售软件	1	1
777		fuck双峰微颤	1	1
778		fuck水利部	1	1
779		fuck水去车仑	1	1
780		fuck税务总局	1	1
781		fuck司法部	1	1
782		fuck私/服	1	1
783		fuck私\\服	1	1
784		fuck私服	1	1
785		fuck私-服	1	1
786		fuck私—服	1	1
787		fuck斯大林	1	1
788		fuck死gd	1	1
789		fuck死gm	1	1
790		fuck死全家	1	1
791		fuck四川独立	1	1
792		fuck四人帮	1	1
793		fuck宋楚瑜	1	1
794		fuck宋祖英	1	1
795		fuck孙文	1	1
796		fuck孙逸仙	1	1
797		fuck孙中山	1	1
798		fuck他爹	1	1
799		fuck他妈	1	1
800		fuck他妈的	1	1
801		fuck他马的	1	1
802		fuck他母亲	1	1
803		fuck他祖宗	1	1
804		fuck台办	1	1
805		fuck台独	1	1
806		fuck台联	1	1
807		fuck台湾党	1	1
808		fuck台湾帝国	1	1
809		fuck台湾独立	1	1
810		fuck台湾共产党	1	1
811		fuck台湾共和国	1	1
812		fuck台湾狗	1	1
813		fuck台湾国	1	1
814		fuck台湾民国	1	1
815		fuck太监	1	1
816		fuck太子党	1	1
817		fuck唐家璇	1	1
818		fuck特别公告	1	1
819		fuck特码	1	1
820		fuck体育总局	1	1
821		fuck天安门	1	1
822		fuck天安门档案	1	1
823		fuck天安门录像带	1	1
824		fuck天安门事件	1	1
825		fuck天安门屠杀	1	1
826		fuck天安门一代	1	1
827		fuck天鹅之旅	1	1
828		fuck天皇	1	1
829		fuck天皇陛下	1	1
830		fuck田纪云	1	1
831		fuck舔西	1	1
832		fuck铁道部	1	1
833		fuck统计局	1	1
834		fuck投毒杀人	1	1
835		fuck透视软件	1	1
836		fuck透视眼镜	1	1
837		fuck推油	1	1
838		fuck退党	1	1
839		fuck托管理事会	1	1
840		fuck外　挂	1	1
841		fuck外/挂	1	1
842		fuck外\\挂	1	1
843		fuck外_挂	1	1
844		fuck外挂	1	1
845		fuck外-挂	1	1
846		fuck外—挂	1	1
847		fuck外汇局	1	1
848		fuck外交部	1	1
849		fuck外专局	1	1
850		fuck晚年周恩来	1	1
851		fuck万税	1	1
852		fuck王八蛋	1	1
853		fuck王宝森	1	1
854		fuck王刚	1	1
855		fuck王昊	1	1
856		fuck王乐泉	1	1
857		fuck王岐山	1	1
858		fuck王太华	1	1
859		fuck王兆国	1	1
860		fuck王震	1	1
861		fuck网管	1	1
862		fuck威而钢	1	1
863		fuck威而柔	1	1
864		fuck卫生部	1	1
865		fuck尉健行	1	1
866		fuck温加宝	1	1
867		fuck温家宝	1	1
868		fuck温家保	1	1
869		fuck温馨	1	1
870		fuck温总理	1	1
871		fuck文化部	1	1
872		fuck文物局	1	1
873		fuck倭国	1	1
874		fuck倭寇	1	1
875		fuck我操	1	1
876		fuck我操你	1	1
877		fuck我干	1	1
878		fuck我妳老爸	1	1
879		fuck我日	1	1
880		fuck我日你	1	1
881		fuck无界浏览器	1	1
882		fuck吴　仪	1	1
883		fuck吴邦国	1	1
884		fuck吴官正	1	1
885		fuck吴仪	1	1
886		fuck五星红旗	1	1
887		fuck西藏独立	1	1
888		fuck西藏天葬	1	1
889		fuck希拉克	1	1
890		fuck希特勒	1	1
891		fuck希望之声	1	1
892		fuck洗脑班	1	1
893		fuck系统	1	1
894		fuck系统公告	1	1
895		fuck系统讯息	1	1
896		fuck鲜族	1	1
897		fuck乡巴佬	1	1
898		fuck想上你	1	1
899		fuck小鸡鸡	1	1
900		fuck小泉	1	1
901		fuck小泉纯一郎	1	1
902		fuck小日本	1	1
903		fuck小肉粒	1	1
904		fuck小乳头	1	1
905		fuck小穴	1	1
906		fuck邪教	1	1
907		fuck新党	1	1
908		fuck新光明	1	1
909		fuck新华内情	1	1
910		fuck新华社	1	1
911		fuck新疆独立	1	1
912		fuck新生网	1	1
913		fuck新手指导员	1	1
914		fuck新唐人	1	1
915		fuck新闻办	1	1
916		fuck新闻出版	1	1
917		fuck新闻出版署	1	1
918		fuck新闻出版总署	1	1
919		fuck新闻管制	1	1
920		fuck新义安	1	1
921		fuck信访局	1	1
922		fuck信息产业部	1	1
923		fuck兴奋剂	1	1
924		fuck性爱	1	1
925		fuck性交	1	1
926		fuk	1	1
927		fv(	1	1
928		fvc	1	1
929		fy371.com	1	1
930		g365.net	1	1
931		ＧＡＭＥ　ｍａｓｔｅｒ	1	1
932		GameMaste	1	1
933		GAMEMASTER	1	1
934		gan你	1	1
935		g-bits	1	1
936		gc365	1	1
937		GCD	1	1
938		geocities.com	1	1
939		gigabyte.cn	1	1
940		globalrescue	1	1
941		Gm	1	1
942		ＧＭ	1	1
943		gogo.net	1	1
944		Gruepin	1	1
945		gssmtt.com	1	1
946		HACKING	1	1
947		haosilu.com	1	1
948		haouse.cn	1	1
949		hongzhi	1	1
950		host800.com	1	1
951		hrichina	1	1
952		huanet	1	1
953		huangsexiaoshuo.1242.net.cn	1	1
954		hypermart.net	1	1
955		h站	1	1
956		h站靠	1	1
957		i9game.com	1	1
958		icpcn.com	1	1
959		id666.uqc.cn	1	1
960		ieboy.cn	1	1
961		incest	1	1
962		ising99.com	1	1
963		item	1	1
964		itnongzhuang.com	1	1
965		J8	1	1
966		j8靠	1	1
967		JB	1	1
968		JB靠	1	1
969		jiangdongriji	1	1
970		jian你	1	1
971		jiaochuang	1	1
972		jiaochun	1	1
973		jiayyou.cn	1	1
974		jiba	1	1
975		jinpaopao.com	1	1
976		jinv	1	1
977		Ji女	1	1
978		jj.pangfangwuyuetian.hi.9705.net.cn	1	1
979		jooplay.com	1	1
980		kao	1	1
981		KISSMYASS	1	1
982		kkk.xaoh.cn	1	1
983		ko180	1	1
984		kyohwangmark	1	1
985		K他命	1	1
986		l2jsom.cn	1	1
987		Lhakar	1	1
988		lihongzhi	1	1
989		likeko.com	1	1
990		lll.xaoh.cn	1	1
991		lordren.com	1	1
992		lunlidianying.1274.net.cn	1	1
993		lunlidianyingxiazai.1174.net.cn	1	1
994		luosisa.cn	1	1
995		luoxialu.cn	1	1
996		lxsm888.com	1	1
997		lybbs.info	1	1
998		Mai骚	1	1
999		making	1	1
1000		meiguiqingren.1274.net.cn	1	1
1001		minghui	1	1
1002		minghuinews	1	1
1003		mingpaonews	1	1
1004		minhui	1	1
1005		nacb	1	1
1006		naive	1	1
1007		nbfib.cn	1	1
1008		ncyh.cn	1	1
1009		Neckromancer	1	1
1010		newsmth.net	1	1
1011		niuniujidi.1174.net.cn	1	1
1012		NMD	1	1
1013		nmis	1	1
1014		NND	1	1
1015		NPC靠	1	1
1016		okaygood.cn	1	1
1017		on9	1	1
1018		ooo.xaoh.cn	1	1
1019		orgasmus	1	1
1020		paper64	1	1
1021		parke888.com	1	1
1022		pcikcatv.2om	1	1
1023		pcikchina.com	1	1
1024		peacehall	1	1
1025		penis	1	1
1026		phuc	1	1
1027		piss	1	1
1028		pkmmo.com	1	1
1029		playboy	1	1
1030		ppt.cc	1	1
1031		prettyirene.net	1	1
1032		pussy	1	1
1033		qgqm.org	1	1
1034		qiangjian	1	1
1035		qingsewuyuetian.1174.net.cn	1	1
1036		qtoy.com	1	1
1037		Rape	1	1
1038		reddidi.com.cn	1	1
1039		renminbao	1	1
1040		renmingbao	1	1
1041		rfa	1	1
1042		ri	1	1
1043		rivals	1	1
1044		rivals靠	1	1
1045		rrr.xaoh.cn	1	1
1046		safeweb	1	1
1047		saobi	1	1
1048		SB	1	1
1049		screw	1	1
1050		secretchina	1	1
1051		sega	1	1
1052		sewuyuetian.1174.net.cn	1	1
1053		sewuyuetian.1274.net.cn	1	1
1054		sex	1	1
1055		sf	1	1
1056		sh!t	1	1
1057		shengda	1	1
1058		shit	1	1
1059		showka8.com	1	1
1060		shyt	1	1
1061		simple	1	1
1062		siwameitui.1274.net.cn	1	1
1063		sjlike.com	1	1
1064		SM	1	1
1065		snatch	1	1
1066		soundofhope	1	1
1067		stlmbbs.cn	1	1
1068		SUCK	1	1
1069		sucker	1	1
1070		svdc	1	1
1071		System	1	1
1072		szlmgh.cn	1	1
1073		T.M.D	1	1
1074		T.M.D靠	1	1
1075		taip	1	1
1076		taobao	1	1
1077		taobao靠	1	1
1078		tb.hi.4024.net.cn	1	1
1079		tibetalk	1	1
1080		tlyx-game.cn	1	1
1081		tmd	1	1
1082		TMD靠	1	1
1083		tnnd	1	1
1084		tont.cn	1	1
1085		triangle	1	1
1086		triangleboy	1	1
1087		Tringel	1	1
1088		u   r靠	1	1
1089		U  R靠	1	1
1090		u r	1	1
1091		u r靠	1	1
1092		U/R	1	1
1093		U/R靠	1	1
1094		ul86.com	1	1
1095		UltraSurf	1	1
1096		unixbox	1	1
1097		UR	1	1
1098		ＵＲ	1	1
1099		U-R	1	1
1100		urban	1	1
1101		urban-rivals	1	1
1102		urban-rivals靠	1	1
1103		urban靠	1	1
1104		urTNND	1	1
1105		UR靠	1	1
1106		ＵＲ靠	1	1
1107		U-R靠	1	1
1108		ustibet	1	1
1109		uu1001.com	1	1
1110		vip886.com	1	1
1111		voa	1	1
1112		voachinese	1	1
1113		wangce	1	1
1114		wangyoudl.com	1	1
1115		webgame.com.cn	1	1
1116		webgame.com.cn靠	1	1
1117		WEBZEN	1	1
1118		WEB牌戰	1	1
1119		WEB牌戰靠	1	1
1120		WEB战牌	1	1
1121		WEB战牌靠	1	1
1122		weelaa	1	1
1123		WG	1	1
1124		wg7766.cn	1	1
1125		wgxiaowu.com	1	1
1126		woyinwose.1243.net.cn	1	1
1127		wstaiji	1	1
1128		www.	1	1
1129		www.23nice.com.cn	1	1
1130		www.2q5q.com	1	1
1131		www.315ts.net	1	1
1132		www.365jw.com	1	1
1133		www.50spcombaidu1828adyou97sace.co.cc	1	1
1134		www.567yx.com	1	1
1135		www.70yx.com	1	1
1136		www.766.com	1	1
1137		www.91wangyou.com	1	1
1138		www.976543.com	1	1
1139		www.978808.com	1	1
1140		www.99game.net	1	1
1141		www.anule.cn	1	1
1142		www.bin5.cn	1	1
1143		www.dy6789.cn	1	1
1144		www.foyeye.com	1	1
1145		www.gamelifeclub.cn	1	1
1146		www.gardcn.com	1	1
1147		www.gw17173.cn	1	1
1148		www.legu.com	1	1
