Id	Desc	DataId	Count
358	熔炼之狩技能书	4508	1
359	群兽怒吼技能书	4509	1
360	借力技能书	4510	1
361	御敌技能书	4511	1
362	疗伤技能书	4512	1
363	霜瀑技能书	4513	1
364	看破技能书	4514	1
365	护主技能书	4515	1
366	绊足技能书	4516	1
367	碧波护体技能书	4517	1
368	郁兰芬芳技能书	4518	1
369	般若心经技能书	4519	1
370	1级生命宝石	8001	1
371	1级法力宝石	8201	1
372	1级外功宝石	8301	1
373	1级内功宝石	8401	1
374	1级外防宝石	8501	1
375	1级内防宝石	8601	1
376	1级命中宝石	8701	1
377	1级闪避宝石	8801	1
378	1级暴击宝石	8901	1
379	1级暴抗宝石	9001	1
380	1级穿透宝石	9101	1
381	1级韧性宝石	9201	1
382	1级暴加宝石	9301	1
383	1级暴减宝石	9401	1
384	2级生命宝石	8002	1
385	2级法力宝石	8202	1
386	2级外功宝石	8302	1
387	2级内功宝石	8402	1
388	2级外防宝石	8502	1
389	2级内防宝石	8602	1
390	2级命中宝石	8702	1
391	2级闪避宝石	8802	1
392	2级暴击宝石	8902	1
393	2级暴抗宝石	9002	1
394	2级穿透宝石	9102	1
395	2级韧性宝石	9202	1
396	2级暴加宝石	9302	1
397	2级暴减宝石	9402	1
398	3级生命宝石	8003	1
399	3级法力宝石	8203	1
400	3级外功宝石	8303	1
401	3级内功宝石	8403	1
402	3级外防宝石	8503	1
403	3级内防宝石	8603	1
404	3级命中宝石	8703	1
405	3级闪避宝石	8803	1
406	3级暴击宝石	8903	1
407	3级暴抗宝石	9003	1
408	3级穿透宝石	9103	1
409	3级韧性宝石	9203	1
410	3级暴伤宝石	9303	1
411	3级暴减宝石	9403	1
412	4级生命宝石	8004	1
413	4级法力宝石	8204	1
414	4级外功宝石	8304	1
415	4级内功宝石	8404	1
416	4级外防宝石	8504	1
417	4级内防宝石	8604	1
418	4级命中宝石	8704	1
419	4级闪避宝石	8804	1
420	4级暴击宝石	8904	1
421	4级暴抗宝石	9004	1
422	4级穿透宝石	9104	1
423	4级韧性宝石	9204	1
424	4级暴伤宝石	9304	1
425	4级暴减宝石	9404	1
426	5级生命宝石	8005	1
427	5级法力宝石	8205	1
428	5级外功宝石	8305	1
429	5级内功宝石	8405	1
430	5级外防宝石	8505	1
431	5级内防宝石	8605	1
432	5级命中宝石	8705	1
433	5级闪避宝石	8805	1
434	5级暴击宝石	8905	1
435	5级暴抗宝石	9005	1
436	5级穿透宝石	9105	1
437	5级韧性宝石	9205	1
438	5级暴伤宝石	9305	1
439	5级暴减宝石	9405	1
440	6级生命宝石	8006	1
441	6级法力宝石	8206	1
442	6级外功宝石	8306	1
443	6级内功宝石	8406	1
444	6级外防宝石	8506	1
445	6级内防宝石	8606	1
446	6级命中宝石	8706	1
447	6级闪避宝石	8806	1
448	6级暴击宝石	8906	1
449	6级暴抗宝石	9006	1
450	6级穿透宝石	9106	1
451	6级韧性宝石	9206	1
452	6级暴伤宝石	9306	1
453	6级暴减宝石	9406	1
454	7级生命宝石	8007	1
455	7级法力宝石	8207	1
456	7级外功宝石	8307	1
457	7级内功宝石	8407	1
458	7级外防宝石	8507	1
459	7级内防宝石	8607	1
460	7级命中宝石	8707	1
461	7级闪避宝石	8807	1
462	7级暴击宝石	8907	1
463	7级暴抗宝石	9007	1
464	7级穿透宝石	9107	1
465	7级韧性宝石	9207	1
466	7级暴伤宝石	9307	1
467	7级暴减宝石	9407	1
468	8级生命宝石	8008	1
469	8级法力宝石	8208	1
470	8级外功宝石	8308	1
471	8级内功宝石	8408	1
472	8级外防宝石	8508	1
473	8级内防宝石	8608	1
474	8级命中宝石	8708	1
475	8级闪避宝石	8808	1
476	8级暴击宝石	8908	1
477	8级暴抗宝石	9008	1
478	8级穿透宝石	9108	1
479	8级韧性宝石	9208	1
480	8级暴伤宝石	9308	1
481	8级暴减宝石	9408	1
482	9级生命宝石	8009	1
483	9级法力宝石	8209	1
484	9级外功宝石	8309	1
485	9级内功宝石	8409	1
486	9级外防宝石	8509	1
487	9级内防宝石	8609	1
488	9级命中宝石	8709	1
489	9级闪避宝石	8809	1
490	9级暴击宝石	8909	1
491	9级暴抗宝石	9009	1
492	9级穿透宝石	9109	1
493	9级韧性宝石	9209	1
494	9级暴伤宝石	9309	1
495	9级暴减宝石	9409	1
496	10级生命宝石	8010	1
497	10级法力宝石	8210	1
498	10级外功宝石	8310	1
499	10级内功宝石	8410	1
500	10级外防宝石	8510	1
501	10级内防宝石	8610	1
502	10级命中宝石	8710	1
503	10级闪避宝石	8810	1
504	10级暴击宝石	8910	1
505	10级暴抗宝石	9010	1
506	10级穿透宝石	9110	1
507	10级韧性宝石	9210	1
508	10级暴伤宝石	9310	1
509	10级暴减宝石	9410	1
510	11级生命宝石	8011	1
511	11级法力宝石	8211	1
512	11级外功宝石	8311	1
513	11级内功宝石	8411	1
514	11级外防宝石	8511	1
515	11级内防宝石	8611	1
516	11级命中宝石	8711	1
517	11级闪避宝石	8811	1
518	11级暴击宝石	8911	1
519	11级暴抗宝石	9011	1
520	11级穿透宝石	9111	1
521	11级韧性宝石	9211	1
522	11级暴伤宝石	9311	1
523	11级暴减宝石	9411	1
524	12级生命宝石	8012	1
525	12级法力宝石	8212	1
526	12级外功宝石	8312	1
527	12级内功宝石	8412	1
528	12级外防宝石	8512	1
529	12级内防宝石	8612	1
530	12级命中宝石	8712	1
531	12级闪避宝石	8812	1
532	12级暴击宝石	8912	1
533	12级暴抗宝石	9012	1
534	12级穿透宝石	9112	1
535	12级韧性宝石	9212	1
536	12级暴伤宝石	9312	1
537	12级暴减宝石	9412	1
538	通用美人碎片	59378	1
539	刀白凤	56529	1
540	秦红棉	56531	1
541	王夫人	56530	1
542	甘宝宝	56520	1
543	木婉清	56521	1
544	王语嫣	56522	1
545	阿朱	56523	1
546	阿紫	56524	1
547	西夏公主	56525	1
548	阿碧	56526	1
549	李秋水	56527	1
550	天山童姥	56528	1
551	阮星竹	56532	1
552	钟灵	56533	1
553	马夫人	56534	1
554	梅剑	59208	1
555	兰剑	59209	1
556	竹剑	59210	1
557	菊剑	59211	1
558	神仙姐姐	59212	1
559	香香公主	59213	1
560	何铁手	59214	1
561	温青青	59215	1
562	精钢	60	1
563	乌金	61	1
