Id	Desc	Money	BindYuanBao	Exp	ToolID1	ToolNum1	ToolID2	ToolNum2	ProfessionItemID1	ProfessionNum1	ProfessionItemID2	ProfessionNum2	ProfessionItemID3	ProfessionNum3	ProfessionItemID4	ProfessionNum4	ChoosedItemNum	ItemID1	ItemNum1	ItemID2	ItemNum2	ItemID3	ItemNum3
11	{0}【主】{1}除害	0	0	1220	-1	0	-1	0	46601	1	47601	1	49601	1	48601	1	0	-1	0	-1	0	-1	0
12	{0}【主】{1}交情	0	0	1220	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
13	{0}【主】{1}比武	0	0	2292	-1	0	-1	0	46101	1	47101	1	49101	1	48101	1	0	-1	0	-1	0	-1	0
14	{0}【主】{1}转机	0	0	2292	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
15	{0}【主】{1}出气	0	0	3936	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
16	{0}【主】{1}痴愚	0	0	3672	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
17	{0}【主】{1}真相	0	0	3672	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
18	{0}【主】{1}制毒	0	0	3672	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
19	{0}【主】{1}放毒	0	0	4220	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
20	{0}【主】{1}询问	0	0	4220	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
21	{0}【主】{1}送信	0	0	4220	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
22	{0}【主】{1}进喜	0	0	5760	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
23	{0}【主】{1}来福	0	0	6528	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
24	{0}【主】{1}信物	0	0	6528	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
25	{0}【主】{1}情仇	0	0	7344	-1	0	-1	0	46301	1	47301	1	49301	1	48301	1	0	-1	0	-1	0	-1	0
26	{0}【主】{1}借马	0	0	7344	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
27	{0}【主】{1}冷艳	0	0	7344	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
28	{0}【主】{1}保护	0	0	8208	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
29	{0}【主】{1}采药	0	0	8208	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
30	{0}【主】{1}取胆	0	0	8208	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
31	{0}【主】{1}回程	0	0	9120	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
32	{0}【主】{1}圣使	0	0	9120	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
33	{0}【主】{1}截杀	0	0	9120	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
34	{0}【主】{1}假扮	0	0	10080	-1	0	-1	0	46701	1	47701	1	49701	1	48701	1	0	-1	0	-1	0	-1	0
35	{0}【主】{1}劝说	0	0	10080	4013	50	4023	50	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
36	{0}【主】{1}毒王	0	0	21120	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
37	{0}【主】{1}结拜	0	0	21120	-1	0	-1	0	38202	1	39202	1	41202	1	40202	1	0	-1	0	-1	0	-1	0
38	{0}【主】{1}竞技	0	0	5760	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
39	{0}【主】{1}强化	0	0	6528	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
40	【门派】掌门问候	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
41	【门派】行侠仗义	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
42	【门派】收集物资	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
43	【门派】掌门问候	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
44	【门派】行侠仗义	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
45	【门派】收集物资	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
46	【门派】掌门问候	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
47	【门派】行侠仗义	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
48	【门派】收集物资	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
49	【野外】无量山除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
50	【野外】无量山除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
51	【野外】无量山除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
52	【野外】万劫谷除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
53	【野外】万劫谷除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
54	【野外】万劫谷除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
55	【野外】苍山除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
56	【野外】苍山除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
57	【野外】苍山除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
58	【野外】燕子坞除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
59	【野外】燕子坞除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
60	【野外】燕子坞除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
61	【野外】小镜湖除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
62	【野外】小镜湖除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
63	【野外】小镜湖除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
64	【野外】杏子林除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
65	【野外】杏子林除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
66	【野外】杏子林除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
67	【野外】聚贤庄除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
68	【野外】聚贤庄除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
69	【野外】聚贤庄除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
70	【野外】少室山除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
71	【野外】少室山除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
72	【野外】少室山除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
73	【野外】雁门关除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
74	【野外】雁门关除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
75	【野外】雁门关除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
76	【野外】敦煌除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
77	【野外】敦煌除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
78	【野外】敦煌除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
79	【野外】雪原除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
80	【野外】雪原除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
81	【野外】雪原除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
82	【野外】缥缈峰除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
83	【野外】缥缈峰除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
84	【野外】缥缈峰除恶	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
85	【副本】燕子坞—普通	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
86	【副本】燕王古墓—普通	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
87	【副本】珍珑棋局—普通	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
88	【副本】聚贤庄—普通	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
89	【副本】少室山—普通	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
90	【副本】藏经阁	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
91	【强化】装备吸收	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
92	【强化】装备打星	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
93	【强化】装备镶嵌	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
94	【竞技】江湖名人录	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
95	【竞技】华山论剑	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
96	【竞技】世界BOSS	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
97	【竞技】命运收割	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
98	【帮会】帮战	0	0	2300	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
99	【主】5帮忙	0	0	560	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
100	【主】6酒量	0	0	732	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
101	【主】9驭兽	0	0	804	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
102	【主】10豺肉	0	0	1076	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
103	【主】18朋友	0	0	2864	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
104	【主】19解渴	2650	0	2864	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
105	【主】30字牌	0	0	5760	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
106	【主】约定	0	0	17388	-1	0	-1	0	38302	1	39302	1	41302	1	40302	1	0	-1	0	-1	0	-1	0
107	【主】孽缘	0	0	17388	-1	0	-1	0	38602	1	39602	1	41602	1	40602	1	0	-1	0	-1	0	-1	0
108	【主】生辰	0	0	17388	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
109	【主】拜师	0	0	17388	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
110	【主】威逼	0	0	19008	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
111	【主】溜走	0	0	19008	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
112	【主】援手	0	0	19008	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
113	【主】切磋	0	0	19008	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
114	【主】躲避	0	0	20700	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
115	【主】危难	0	0	20700	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
116	【主】求助	0	0	20700	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
117	【主】磨练	0	0	20700	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
118	【主】降怪	0	0	22464	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
119	【主】福源	0	0	22464	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
120	【主】解困	0	0	22464	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
121	【主】美景	0	0	22464	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
122	【主】威胁	0	0	35964	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
123	【主】丹药	0	0	35964	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
124	【主】爬塔	0	0	35964	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
125	【主】重入	0	0	38808	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
126	【主】提醒	0	0	38808	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
127	【主】挑衅	0	0	38808	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
128	【主】比武	0	0	38808	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
129	【主】参悟	0	0	41760	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
130	【主】焚烧	0	0	41760	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
131	【主】拜服	0	0	41760	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
132	【主】剑谱	0	0	41760	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
133	【主】挟持	0	0	44820	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
134	【主】寻路	0	0	44820	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
135	【主】冤屈	0	0	44820	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
136	【主】报答	0	0	44820	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
137	【主】恶奴	0	0	47988	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
138	【主】搭救	0	0	47988	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
139	【主】阿碧	0	0	47988	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
140	【主】警惕	0	0	47988	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
141	【主】阿朱	0	0	54375	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
142	【主】烦恼	0	0	54375	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
143	【主】美食	0	0	54375	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
144	【主】伪装	0	0	54375	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
145	【主】宝贝	0	0	54375	4014	20	4024	20	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
146	【主】告知	0	0	57785	-1	0	-1	0	38203	1	39203	1	41203	1	40203	1	0	-1	0	-1	0	-1	0
147	【主】演戏	0	0	57785	-1	0	-1	0	38303	1	39303	1	41303	1	40303	1	0	-1	0	-1	0	-1	0
148	【主】出手	0	0	57785	-1	0	-1	0	38603	1	39603	1	41603	1	40603	1	0	-1	0	-1	0	-1	0
149	【主】【30-40】1教训	0	0	57785	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
150	【主】2神兽	0	0	57785	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
151	【主】3暂避	0	0	61494	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
152	【主】4澄清	0	0	61494	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
153	【主】5燕子坞	0	0	61494	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
154	【主】6同门	0	0	61494	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
155	【主】7门派	0	0	61494	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
156	【主】8报仇	0	0	65319	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
157	【主】9历练	0	0	65319	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
158	【主】10秘笈	0	0	65319	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
159	【主】11花肥	0	0	65319	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
160	【主】12免罚	0	0	65319	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
161	【主】13寻找	0	0	69259	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
162	【主】14琅嬛	0	0	69259	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
163	【主】15外界	0	0	69259	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
164	【主】16招式	0	0	69259	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
165	【主】17丐帮	0	0	69259	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
166	【主】18剿匪	0	0	87806	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
167	【主】19遗失	0	0	87806	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
168	【主】20蹊跷	0	0	87806	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
169	【主】21同行	0	0	87806	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
170	【主】22平乱	0	0	87806	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
171	【主】23帮主	0	0	101369	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
172	【主】24不解	0	0	101369	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
173	【主】25御敌	0	0	101369	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
174	【主】26擒王	0	0	101369	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
175	【主】27拉拢	0	0	101369	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
176	【主】28高手	0	0	106985	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
177	【主】29恐吓	0	0	106985	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
178	【主】30劲敌	600	0	106985	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
179	【主】31宝石	0	0	106985	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
180	【主】32身世	0	0	106985	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
181	【主】争辩33	0	0	108960	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
182	【主】怒气34	0	0	108960	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
183	【主】求证35	0	0	108960	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
184	【主】神医36	0	0	108960	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
185	【主】发帖37	0	0	108960	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
186	【主】聚众38	0	0	108960	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
187	【主】送信39	0	0	124765	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
188	【主】奇冤40	0	0	124765	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
189	【主】续命41	1000	0	124765	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
190	【主】犯险42	0	0	124765	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
191	【主】担忧43	0	0	124765	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
192	【主】托付44	0	0	124765	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
193	【主】埋伏45	0	0	124765	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
194	【主】牵挂46	0	0	164742	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
195	【主】杀戮47	0	0	164742	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
196	【主】医治48	0	0	164742	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
197	【主】和尚49	0	0	164742	-1	0	-1	0	38204	1	39204	1	41204	1	40204	1	0	-1	0	-1	0	-1	0
198	【主】吃肉50	0	0	164742	-1	0	-1	0	38304	1	39304	1	41304	1	40304	1	0	-1	0	-1	0	-1	0
199	【主】无趣51	0	0	164742	-1	0	-1	0	38604	1	39604	1	41604	1	40604	1	0	-1	0	-1	0	-1	0
200	【主】寻乐52	0	0	164742	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
201	【主】玄慈53	0	0	164742	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
202	【主】秘密54	0	0	164742	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0
