SkillExID	Desc	BaseId	SkillDesc	level	CombatValue	SkillLogic	LogicParam01	LogicParam02	LogicParam03	LogicParam04	RefixThreat	Radius	CDTimeId	SkillDelayTime	SkillContinueTime	YinChangTime	DelType_01	DelNum_01	DelType_02	DelNum_02	GainsType_01	GainsNum_01	GainsType_02	GainsNum_02	NextSkillId	Impact_01	Impact_2	Impact_03	Impact_04	Impact_05	Impact_06	SatrtMotionId	EndMotionId	CameraRockId	CameraRockRate	SceneEffectId	BulletEffectID_01	BulletEffectID_02	BulletEffectID_03	RangeEffectType	RangeEffectTarType	RangeEffectSize01	RangeEffectSize02
10305	罗汉棍	103	达摩祖师所创棍法，刚猛无敌。攻击单个近身敌人，立即造成[a2ff00]240%[-]外功攻击伤害。	5	1380	0	-1	-1	-1	-1	0	2	2	0	1500	0	201	70	-1	0	301	5	-1	0	10101	1505	-1	-1	-1	-1	-1	5	5	3	100	-1	-1	-1	-1	-1	-1	-1	-1
10306	罗汉棍	103	达摩祖师所创棍法，刚猛无敌。攻击单个近身敌人，立即造成[a2ff00]250%[-]外功攻击伤害。	6	1540	0	-1	-1	-1	-1	0	2	2	0	1500	0	201	110	-1	0	301	5	-1	0	10101	1506	-1	-1	-1	-1	-1	5	5	3	100	-1	-1	-1	-1	-1	-1	-1	-1
10307	罗汉棍	103	达摩祖师所创棍法，刚猛无敌。攻击单个近身敌人，立即造成[a2ff00]270%[-]外功攻击伤害。	7	1700	0	-1	-1	-1	-1	0	2	2	0	1500	0	201	140	-1	0	301	5	-1	0	10101	1507	-1	-1	-1	-1	-1	5	5	3	100	-1	-1	-1	-1	-1	-1	-1	-1
10308	罗汉棍	103	达摩祖师所创棍法，刚猛无敌。攻击单个近身敌人，立即造成[a2ff00]290%[-]外功攻击伤害。	8	1870	0	-1	-1	-1	-1	0	2	2	0	1500	0	201	180	-1	0	301	5	-1	0	10101	1508	-1	-1	-1	-1	-1	5	5	3	100	-1	-1	-1	-1	-1	-1	-1	-1
10309	罗汉棍	103	达摩祖师所创棍法，刚猛无敌。攻击单个近身敌人，立即造成[a2ff00]310%[-]外功攻击伤害。	9	2030	0	-1	-1	-1	-1	0	2	2	0	1500	0	201	270	-1	0	301	5	-1	0	10101	1509	-1	-1	-1	-1	-1	5	5	3	100	-1	-1	-1	-1	-1	-1	-1	-1
10310	罗汉棍	103	达摩祖师所创棍法，刚猛无敌。攻击单个近身敌人，立即造成[a2ff00]330%[-]外功攻击伤害。	10	2190	0	-1	-1	-1	-1	0	2	2	0	1500	0	201	390	-1	0	301	5	-1	0	10101	1510	-1	-1	-1	-1	-1	5	5	3	100	-1	-1	-1	-1	-1	-1	-1	-1
10401	摩诃无量	104	少林七十二绝技之一，瞬间缩短和敌手的距离。像旋风一样挥舞武器，攻击以自身为中心半径[a2ff00]4[-]步范围内的所有敌人，对每个目标造成每秒[a2ff00]217%[-]的外功攻击伤害，持续[a2ff00]3.9[-]秒。	1	1650	8	-1	-1	-1	-1	0	4	4	0	3900	0	201	50	-1	0	301	15	-1	0	10101	31401	-1	-1	-1	-1	-1	6	6	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10402	摩诃无量	104	少林七十二绝技之一，瞬间缩短和敌手的距离。像旋风一样挥舞武器，攻击以自身为中心半径[a2ff00]4[-]步范围内的所有敌人，对每个目标造成每秒[a2ff00]233%[-]的外功攻击伤害，持续[a2ff00]3.9[-]秒。	2	2010	8	-1	-1	-1	-1	0	4	4	0	3900	0	201	80	-1	0	301	15	-1	0	10101	31402	-1	-1	-1	-1	-1	6	6	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10403	摩诃无量	104	少林七十二绝技之一，瞬间缩短和敌手的距离。像旋风一样挥舞武器，攻击以自身为中心半径[a2ff00]4[-]步范围内的所有敌人，对每个目标造成每秒[a2ff00]250%[-]的外功攻击伤害，持续[a2ff00]3.9[-]秒。	3	2380	8	-1	-1	-1	-1	0	4	4	0	3900	0	201	140	-1	0	301	15	-1	0	10101	31403	-1	-1	-1	-1	-1	6	6	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10404	摩诃无量	104	少林七十二绝技之一，瞬间缩短和敌手的距离。像旋风一样挥舞武器，攻击以自身为中心半径[a2ff00]4[-]步范围内的所有敌人，对每个目标造成每秒[a2ff00]267%[-]的外功攻击伤害，持续[a2ff00]3.9[-]秒。	4	2740	8	-1	-1	-1	-1	0	4	4	0	3900	0	201	220	-1	0	301	15	-1	0	10101	31404	-1	-1	-1	-1	-1	6	6	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10405	摩诃无量	104	少林七十二绝技之一，瞬间缩短和敌手的距离。像旋风一样挥舞武器，攻击以自身为中心半径[a2ff00]4[-]步范围内的所有敌人，对每个目标造成每秒[a2ff00]283%[-]的外功攻击伤害，持续[a2ff00]3.9[-]秒。	5	3110	8	-1	-1	-1	-1	0	4	4	0	3900	0	201	350	-1	0	301	15	-1	0	10101	31405	-1	-1	-1	-1	-1	6	6	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10406	摩诃无量	104	少林七十二绝技之一，瞬间缩短和敌手的距离。像旋风一样挥舞武器，攻击以自身为中心半径[a2ff00]4[-]步范围内的所有敌人，对每个目标造成每秒[a2ff00]300%[-]的外功攻击伤害，持续[a2ff00]3.9[-]秒。	6	3480	8	-1	-1	-1	-1	0	4	4	0	3900	0	201	550	-1	0	301	15	-1	0	10101	31406	-1	-1	-1	-1	-1	6	6	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10407	摩诃无量	104	少林七十二绝技之一，瞬间缩短和敌手的距离。像旋风一样挥舞武器，攻击以自身为中心半径[a2ff00]4[-]步范围内的所有敌人，对每个目标造成每秒[a2ff00]317%[-]的外功攻击伤害，持续[a2ff00]3.9[-]秒。	7	3840	8	-1	-1	-1	-1	0	4	4	0	3900	0	201	700	-1	0	301	15	-1	0	10101	31407	-1	-1	-1	-1	-1	6	6	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10408	摩诃无量	104	少林七十二绝技之一，瞬间缩短和敌手的距离。像旋风一样挥舞武器，攻击以自身为中心半径[a2ff00]4[-]步范围内的所有敌人，对每个目标造成每秒[a2ff00]333%[-]的外功攻击伤害，持续[a2ff00]3.9[-]秒。	8	4210	8	-1	-1	-1	-1	0	4	4	0	3900	0	201	920	-1	0	301	15	-1	0	10101	31408	-1	-1	-1	-1	-1	6	6	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10409	摩诃无量	104	少林七十二绝技之一，瞬间缩短和敌手的距离。像旋风一样挥舞武器，攻击以自身为中心半径[a2ff00]4[-]步范围内的所有敌人，对每个目标造成每秒[a2ff00]350%[-]的外功攻击伤害，持续[a2ff00]3.9[-]秒。	9	4570	8	-1	-1	-1	-1	0	4	4	0	3900	0	201	1370	-1	0	301	15	-1	0	10101	31409	-1	-1	-1	-1	-1	6	6	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10410	摩诃无量	104	少林七十二绝技之一，瞬间缩短和敌手的距离。像旋风一样挥舞武器，攻击以自身为中心半径[a2ff00]4[-]步范围内的所有敌人，对每个目标造成每秒[a2ff00]367%[-]的外功攻击伤害，持续[a2ff00]3.9[-]秒。	10	4940	8	-1	-1	-1	-1	0	4	4	0	3900	0	201	1930	-1	0	301	15	-1	0	10101	31410	-1	-1	-1	-1	-1	6	6	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
10501	迦叶功	105	少林七十二绝技之一，以一条齐眉棍幻出千万棍影。向单个敌人冲锋并进行凶猛攻击，造成[a2ff00]150%[-]外功攻击伤害。	1	1100	3	4242	2	-1	-1	0	7	3	0	1465	0	201	20	-1	0	301	8	-1	0	10101	1301	-1	-1	-1	-1	-1	51	48	14	100	-1	-1	-1	-1	-1	-1	-1	-1
10502	迦叶功	105	少林七十二绝技之一，以一条齐眉棍幻出千万棍影。向单个敌人冲锋并进行凶猛攻击，造成[a2ff00]170%[-]外功攻击伤害。	2	1340	3	4242	2	-1	-1	0	7	3	0	1465	0	201	30	-1	0	301	8	-1	0	10101	1302	-1	-1	-1	-1	-1	51	48	14	100	-1	-1	-1	-1	-1	-1	-1	-1
10503	迦叶功	105	少林七十二绝技之一，以一条齐眉棍幻出千万棍影。向单个敌人冲锋并进行凶猛攻击，造成[a2ff00]190%[-]外功攻击伤害。	3	1580	3	4242	2	-1	-1	0	7	3	0	1465	0	201	60	-1	0	301	8	-1	0	10101	1303	-1	-1	-1	-1	-1	51	48	14	100	-1	-1	-1	-1	-1	-1	-1	-1
10504	迦叶功	105	少林七十二绝技之一，以一条齐眉棍幻出千万棍影。向单个敌人冲锋并进行凶猛攻击，造成[a2ff00]210%[-]外功攻击伤害。	4	1830	3	4242	2	-1	-1	0	7	3	0	1465	0	201	90	-1	0	301	8	-1	0	10101	1304	-1	-1	-1	-1	-1	51	48	14	100	-1	-1	-1	-1	-1	-1	-1	-1
10505	迦叶功	105	少林七十二绝技之一，以一条齐眉棍幻出千万棍影。向单个敌人冲锋并进行凶猛攻击，造成[a2ff00]230%[-]外功攻击伤害。	5	2070	3	4242	2	-1	-1	0	7	3	0	1465	0	201	140	-1	0	301	8	-1	0	10101	1305	-1	-1	-1	-1	-1	51	48	14	100	-1	-1	-1	-1	-1	-1	-1	-1
10506	迦叶功	105	少林七十二绝技之一，以一条齐眉棍幻出千万棍影。向单个敌人冲锋并进行凶猛攻击，造成[a2ff00]250%[-]外功攻击伤害。	6	2320	3	4242	2	-1	-1	0	7	3	0	1465	0	201	220	-1	0	301	8	-1	0	10101	1306	-1	-1	-1	-1	-1	51	48	14	100	-1	-1	-1	-1	-1	-1	-1	-1
10507	迦叶功	105	少林七十二绝技之一，以一条齐眉棍幻出千万棍影。向单个敌人冲锋并进行凶猛攻击，造成[a2ff00]270%[-]外功攻击伤害。	7	2560	3	4242	2	-1	-1	0	7	3	0	1465	0	201	280	-1	0	301	8	-1	0	10101	1307	-1	-1	-1	-1	-1	51	48	14	100	-1	-1	-1	-1	-1	-1	-1	-1
10508	迦叶功	105	少林七十二绝技之一，以一条齐眉棍幻出千万棍影。向单个敌人冲锋并进行凶猛攻击，造成[a2ff00]290%[-]外功攻击伤害。	8	2800	3	4242	2	-1	-1	0	7	3	0	1465	0	201	370	-1	0	301	8	-1	0	10101	1308	-1	-1	-1	-1	-1	51	48	14	100	-1	-1	-1	-1	-1	-1	-1	-1
10509	迦叶功	105	少林七十二绝技之一，以一条齐眉棍幻出千万棍影。向单个敌人冲锋并进行凶猛攻击，造成[a2ff00]320%[-]外功攻击伤害。	9	3050	3	4242	2	-1	-1	0	7	3	0	1465	0	201	550	-1	0	301	8	-1	0	10101	1309	-1	-1	-1	-1	-1	51	48	14	100	-1	-1	-1	-1	-1	-1	-1	-1
10510	迦叶功	105	少林七十二绝技之一，以一条齐眉棍幻出千万棍影。向单个敌人冲锋并进行凶猛攻击，造成[a2ff00]350%[-]外功攻击伤害。	10	3290	3	4242	2	-1	-1	0	7	3	0	1465	0	201	770	-1	0	301	8	-1	0	10101	1310	-1	-1	-1	-1	-1	51	48	14	100	-1	-1	-1	-1	-1	-1	-1	-1
10601	韦陀杵	106	少林七十二绝技之一，与大力金刚掌齐名，以浑厚内力重创敌人。重击地面，使[a2ff00]4[-]步范围内所有敌人防御降低[a2ff00]10%[-]，并晕眩，持续[a2ff00]2.5[-]秒。	1	2010	0	-1	-1	-1	-1	0	4	34	0	1233	0	201	20	-1	0	301	10	-1	0	10101	81602	41601	-1	-1	-1	-1	70	70	8	100	-1	-1	-1	-1	-1	-1	-1	-1
10602	韦陀杵	106	少林七十二绝技之一，与大力金刚掌齐名，以浑厚内力重创敌人。重击地面，使[a2ff00]4[-]步范围内所有敌人防御降低[a2ff00]12%[-]，并晕眩，持续[a2ff00]2.5[-]秒。	2	2460	0	-1	-1	-1	-1	0	4	34	0	1233	0	201	30	-1	0	301	10	-1	0	10101	81603	41602	-1	-1	-1	-1	70	70	8	100	-1	-1	-1	-1	-1	-1	-1	-1
10603	韦陀杵	106	少林七十二绝技之一，与大力金刚掌齐名，以浑厚内力重创敌人。重击地面，使[a2ff00]4[-]步范围内所有敌人防御降低[a2ff00]15%[-]，并晕眩，持续[a2ff00]2.5[-]秒。	3	2900	0	-1	-1	-1	-1	0	4	34	0	1233	0	201	40	-1	0	301	10	-1	0	10101	81604	41603	-1	-1	-1	-1	70	70	8	100	-1	-1	-1	-1	-1	-1	-1	-1
10604	韦陀杵	106	少林七十二绝技之一，与大力金刚掌齐名，以浑厚内力重创敌人。重击地面，使[a2ff00]4[-]步范围内所有敌人防御降低[a2ff00]18%[-]，并晕眩，持续[a2ff00]2.5[-]秒。	4	3350	0	-1	-1	-1	-1	0	4	34	0	1233	0	201	60	-1	0	301	10	-1	0	10101	81605	41604	-1	-1	-1	-1	70	70	8	100	-1	-1	-1	-1	-1	-1	-1	-1
10605	韦陀杵	106	少林七十二绝技之一，与大力金刚掌齐名，以浑厚内力重创敌人。重击地面，使[a2ff00]4[-]步范围内所有敌人防御降低[a2ff00]18%[-]，并晕眩，持续[a2ff00]3[-]秒。	5	3800	0	-1	-1	-1	-1	0	4	34	0	1233	0	201	100	-1	0	301	10	-1	0	10101	81606	41605	-1	-1	-1	-1	70	70	8	100	-1	-1	-1	-1	-1	-1	-1	-1
10606	韦陀杵	106	少林七十二绝技之一，与大力金刚掌齐名，以浑厚内力重创敌人。重击地面，使[a2ff00]4[-]步范围内所有敌人防御降低[a2ff00]21%[-]，并晕眩，持续[a2ff00]3[-]秒。	6	4240	0	-1	-1	-1	-1	0	4	34	0	1233	0	201	160	-1	0	301	10	-1	0	10101	81607	41606	-1	-1	-1	-1	70	70	8	100	-1	-1	-1	-1	-1	-1	-1	-1
10607	韦陀杵	106	少林七十二绝技之一，与大力金刚掌齐名，以浑厚内力重创敌人。重击地面，使[a2ff00]4[-]步范围内所有敌人防御降低[a2ff00]24%[-]，并晕眩，持续[a2ff00]3[-]秒。	7	4690	0	-1	-1	-1	-1	0	4	34	0	1233	0	201	210	-1	0	301	10	-1	0	10101	81608	41607	-1	-1	-1	-1	70	70	8	100	-1	-1	-1	-1	-1	-1	-1	-1
10608	韦陀杵	106	少林七十二绝技之一，与大力金刚掌齐名，以浑厚内力重创敌人。重击地面，使[a2ff00]4[-]步范围内所有敌人防御降低[a2ff00]27%[-]，并晕眩，持续[a2ff00]3[-]秒。	8	5140	0	-1	-1	-1	-1	0	4	34	0	1233	0	201	280	-1	0	301	10	-1	0	10101	81609	41608	-1	-1	-1	-1	70	70	8	100	-1	-1	-1	-1	-1	-1	-1	-1
10609	韦陀杵	106	少林七十二绝技之一，与大力金刚掌齐名，以浑厚内力重创敌人。重击地面，使[a2ff00]4[-]步范围内所有敌人防御降低[a2ff00]27%[-]，并晕眩，持续[a2ff00]3.5[-]秒。	9	5580	0	-1	-1	-1	-1	0	4	34	0	1233	0	201	410	-1	0	301	10	-1	0	10101	81610	41609	-1	-1	-1	-1	70	70	8	100	-1	-1	-1	-1	-1	-1	-1	-1
10610	韦陀杵	106	少林七十二绝技之一，与大力金刚掌齐名，以浑厚内力重创敌人。重击地面，使[a2ff00]4[-]步范围内所有敌人防御降低[a2ff00]30%[-]，并晕眩，持续[a2ff00]3.5[-]秒。	10	6030	0	-1	-1	-1	-1	0	4	34	0	1233	0	201	580	-1	0	301	10	-1	0	10101	81611	41610	-1	-1	-1	-1	70	70	8	100	-1	-1	-1	-1	-1	-1	-1	-1
10701	金钟罩	107	少林七十二绝技之一，以纯阳内力御敌，如金钟护体。降低自身所受到的伤害[a2ff00]20%[-]，持续[a2ff00]10[-]秒。	1	2190	0	-1	-1	-1	-1	0	1	36	0	1533	0	201	20	-1	0	301	3	-1	0	-1	11801	-1	-1	-1	-1	-1	72	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10702	金钟罩	107	少林七十二绝技之一，以纯阳内力御敌，如金钟护体。降低自身所受到的伤害[a2ff00]21%[-]，持续[a2ff00]10[-]秒。	2	2680	0	-1	-1	-1	-1	0	1	36	0	1533	0	201	30	-1	0	301	3	-1	0	-1	11802	-1	-1	-1	-1	-1	72	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10703	金钟罩	107	少林七十二绝技之一，以纯阳内力御敌，如金钟护体。降低自身所受到的伤害[a2ff00]22%[-]，持续[a2ff00]10[-]秒。	3	3170	0	-1	-1	-1	-1	0	1	36	0	1533	0	201	60	-1	0	301	3	-1	0	-1	11803	-1	-1	-1	-1	-1	72	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10704	金钟罩	107	少林七十二绝技之一，以纯阳内力御敌，如金钟护体。降低自身所受到的伤害[a2ff00]23%[-]，持续[a2ff00]10[-]秒。	4	3660	0	-1	-1	-1	-1	0	1	36	0	1533	0	201	90	-1	0	301	3	-1	0	-1	11804	-1	-1	-1	-1	-1	72	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10705	金钟罩	107	少林七十二绝技之一，以纯阳内力御敌，如金钟护体。降低自身所受到的伤害[a2ff00]24%[-]，持续[a2ff00]10[-]秒。	5	4140	0	-1	-1	-1	-1	0	1	36	0	1533	0	201	140	-1	0	301	3	-1	0	-1	11805	-1	-1	-1	-1	-1	72	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10706	金钟罩	107	少林七十二绝技之一，以纯阳内力御敌，如金钟护体。降低自身所受到的伤害[a2ff00]26%[-]，持续[a2ff00]10[-]秒。	6	4630	0	-1	-1	-1	-1	0	1	36	0	1533	0	201	220	-1	0	301	3	-1	0	-1	11806	-1	-1	-1	-1	-1	72	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10707	金钟罩	107	少林七十二绝技之一，以纯阳内力御敌，如金钟护体。降低自身所受到的伤害[a2ff00]28%[-]，持续[a2ff00]10[-]秒。	7	5120	0	-1	-1	-1	-1	0	1	36	0	1533	0	201	280	-1	0	301	3	-1	0	-1	11807	-1	-1	-1	-1	-1	72	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10708	金钟罩	107	少林七十二绝技之一，以纯阳内力御敌，如金钟护体。反弹自身所受到的伤害[a2ff00]20%[-]，持续[a2ff00]10[-]秒。	8	5610	0	-1	-1	-1	-1	0	1	36	0	1533	0	201	370	-1	0	301	3	-1	0	-1	151808	-1	-1	-1	-1	-1	72	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10709	金钟罩	107	少林七十二绝技之一，以纯阳内力御敌，如金钟护体。反弹自身所受到的伤害[a2ff00]21%[-]，持续[a2ff00]10[-]秒。	9	6090	0	-1	-1	-1	-1	0	1	36	0	1533	0	201	550	-1	0	301	3	-1	0	-1	151809	-1	-1	-1	-1	-1	72	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10710	金钟罩	107	少林七十二绝技之一，以纯阳内力御敌，如金钟护体。反弹自身所受到的伤害[a2ff00]22%[-]，持续[a2ff00]10[-]秒。	10	6580	0	-1	-1	-1	-1	0	1	36	0	1533	0	201	770	-1	0	301	3	-1	0	-1	151810	-1	-1	-1	-1	-1	72	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10801	狮吼功	108	少林七十二绝技之一，以丹田之气发出狮吼震慑敌人胆魄。嘲讽附近[a2ff00]8[-]步范围内的所有敌人，持续[a2ff00]5[-]秒；并使其伤害降低[a2ff00]10%[-]，持续[a2ff00]5[-]秒。使你和附近[a2ff00]8[-]步范围内所有队友攻击提升[a2ff00]15%[-]，持续[a2ff00]10[-]秒。	1	3660	8	-1	-1	-1	-1	0	10	35	0	1500	0	201	40	-1	0	301	12	-1	0	-1	21701	21702	21703	21704	-1	-1	71	71	9	100	-1	-1	-1	-1	-1	-1	-1	-1
10802	狮吼功	108	少林七十二绝技之一，以丹田之气发出狮吼震慑敌人胆魄。嘲讽附近[a2ff00]8[-]步范围内的所有敌人，持续[a2ff00]5[-]秒；并使其伤害降低[a2ff00]10%[-]，持续[a2ff00]5[-]秒。使你和附近[a2ff00]8[-]步范围内所有队友攻击提升[a2ff00]16%[-]，持续[a2ff00]10[-]秒。	2	4470	8	-1	-1	-1	-1	0	10	35	0	1500	0	201	60	-1	0	301	12	-1	0	-1	21705	21706	21707	21708	-1	-1	71	71	9	100	-1	-1	-1	-1	-1	-1	-1	-1
10803	狮吼功	108	少林七十二绝技之一，以丹田之气发出狮吼震慑敌人胆魄。嘲讽附近[a2ff00]8[-]步范围内的所有敌人，持续[a2ff00]5[-]秒；并使其伤害降低[a2ff00]10%[-]，持续[a2ff00]5[-]秒。使你和附近[a2ff00]8[-]步范围内所有队友攻击提升[a2ff00]17%[-]，持续[a2ff00]10[-]秒。	3	5280	8	-1	-1	-1	-1	0	10	35	0	1500	0	201	100	-1	0	301	12	-1	0	-1	21709	21710	21711	21712	-1	-1	71	71	9	100	-1	-1	-1	-1	-1	-1	-1	-1
10804	狮吼功	108	少林七十二绝技之一，以丹田之气发出狮吼震慑敌人胆魄。嘲讽附近[a2ff00]8[-]步范围内的所有敌人，持续[a2ff00]5[-]秒；并使其伤害降低[a2ff00]10%[-]，持续[a2ff00]5[-]秒。使你和附近[a2ff00]8[-]步范围内所有队友攻击提升[a2ff00]18%[-]，持续[a2ff00]10[-]秒。	4	6090	8	-1	-1	-1	-1	0	10	35	0	1500	0	201	150	-1	0	301	12	-1	0	-1	21713	21714	21715	21716	-1	-1	71	71	9	100	-1	-1	-1	-1	-1	-1	-1	-1
