Id	Desc	Calculat	Monster1	Monster2	Monster3	Drop1	Drop2	Drop3	Drop4	Reward1	Reward2	Reward3	Level
23	23层	12302	怪物1	怪物2	怪物3	50092	50108	-1	-1	-1	-1	-1	33
24	24层	12945	怪物1	怪物2	怪物3	50092	50108	-1	-1	-1	-1	-1	34
25	25层	60394	怪物1	怪物2	怪物3	50092	50108	50100	50116	-1	-1	-1	35
26	26层	14231	怪物1	怪物2	怪物3	50092	50108	-1	-1	-1	-1	-1	36
27	27层	14874	怪物1	怪物2	怪物3	50092	50108	-1	-1	-1	-1	-1	37
28	28层	15517	怪物1	怪物2	怪物3	50092	50108	-1	-1	-1	-1	-1	38
29	29层	16160	怪物1	怪物2	怪物3	50092	50108	-1	-1	-1	-1	-1	39
30	30层	69786	怪物1	怪物2	怪物3	50093	50109	50101	50117	-1	-1	-1	40
31	31层	19522	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	41
32	32层	22152	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	42
33	33层	24781	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	43
34	34层	27411	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	44
35	35层	87934	怪物1	怪物2	怪物3	50093	50109	50101	50117	-1	-1	-1	45
36	36层	46320	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	46
37	37层	48789	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	47
38	38层	51266	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	48
39	39层	53738	怪物1	怪物2	怪物3	50093	50109	-1	-1	-1	-1	-1	49
40	40层	106050	怪物1	怪物2	怪物3	50094	50110	50102	50118	-1	-1	-1	50
41	41层	58693	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	51
42	42层	61098	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	52
43	43层	63496	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	53
44	44层	65893	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	54
45	45层	118345	怪物1	怪物2	怪物3	50094	50110	50102	50118	-1	-1	-1	55
46	46层	70696	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	56
47	47层	73098	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	57
48	48层	75492	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	58
49	49层	77897	怪物1	怪物2	怪物3	50094	50110	-1	-1	-1	-1	-1	59
50	50层	130743	怪物1	怪物2	怪物3	50095	50111	50103	50119	-1	-1	-1	60
51	51层	83566	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	61
52	52层	86734	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	62
53	53层	89905	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	63
54	54层	93068	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	64
55	55层	171062	怪物1	怪物2	怪物3	50095	50111	50103	50119	-1	-1	-1	65
56	56层	99410	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	66
57	57层	102579	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	67
58	58层	105746	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	68
59	59层	108913	怪物1	怪物2	怪物3	50095	50111	-1	-1	-1	-1	-1	69
60	60层	202997	怪物1	怪物2	怪物3	50096	50112	50104	50120	-1	-1	-1	70
61	61层	115866	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	71
62	62层	119575	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	72
63	63层	123286	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	73
64	64层	126994	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	74
65	65层	240411	怪物1	怪物2	怪物3	50096	50112	50104	50120	-1	-1	-1	75
66	66层	134414	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	76
67	67层	138125	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	77
68	68层	141832	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	78
69	69层	145545	怪物1	怪物2	怪物3	50096	50112	-1	-1	-1	-1	-1	79
70	70层	277903	怪物1	怪物2	怪物3	50097	50113	50105	50121	-1	-1	-1	80
71	71层	156803	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	81
72	72层	164255	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	82
73	73层	171715	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	83
74	74层	179171	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	84
75	75层	341455	怪物1	怪物2	怪物3	50097	50113	50105	50121	-1	-1	-1	85
76	76层	194082	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	86
77	77层	201538	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	87
78	78层	208991	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	88
79	79层	216449	怪物1	怪物2	怪物3	50097	50113	-1	-1	-1	-1	-1	89
80	80层	405108	怪物1	怪物2	怪物3	50098	50114	50106	50122	-1	-1	-1	90
81	81层	233134	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	91
82	82层	242296	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	92
83	83层	251470	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	93
84	84层	260643	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	94
85	85层	467386	怪物1	怪物2	怪物3	50098	50114	50106	50122	-1	-1	-1	95
86	86层	278978	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	96
87	87层	288149	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	97
88	88层	297315	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	98
89	89层	306483	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	99
90	90层	529741	怪物1	怪物2	怪物3	50098	50114	50106	50122	-1	-1	-1	100
91	91层	378889	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	100
92	92层	473611	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	100
93	93层	518333	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	100
94	94层	583056	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	100
95	95层	794352	怪物1	怪物2	怪物3	50098	50114	50106	50122	-1	-1	-1	100
96	96层	547223	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	100
97	97层	605093	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	100
98	98层	662964	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	100
99	99层	720834	怪物1	怪物2	怪物3	50098	50114	-1	-1	-1	-1	-1	100
100	100层	1168705	怪物1	怪物2	怪物3	50098	50114	50106	50122	-1	-1	-1	100
206	剑湖宫	100	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
207	虎头战船	101	怪物1	怪物2	怪物3	28	56511	56511	56511	-1	-1	-1	-1
208	江湖名人录	102	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
211	聚贤庄	103	怪物1	怪物2	怪物3	38102	38202	38302	38402	-1	-1	-1	-1
212	雁门关外	104	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
214	藏经阁	105	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
216	华山论剑	106	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
217	决斗副本	107	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
218	忘忧谷	108	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
219	燕子坞副本	109	怪物1	怪物2	怪物3	23	105	56511	52192	-1	-1	-1	-1
227	燕王古墓	110	怪物1	怪物2	怪物3	56511	56511	56511	56511	-1	-1	-1	-1
228	珍珑棋局	111	怪物1	怪物2	怪物3	8001	8701	52192	104	-1	-1	-1	-1
229	拜堂	112	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
230	帮战	113	怪物1	怪物2	怪物3	2000	2001	2002	2002	-1	-1	-1	-1
231	少室山副本	114	怪物1	怪物2	怪物3	43609	42209	4600	56524	-1	-1	-1	-1
