Id	Desc	LowLevel	PreMission	ItemNeed	ItemCount	IsLoop
54	【野外】万劫谷除恶	15	-1	-1	-1	1
55	【野外】苍山除恶	20	-1	-1	-1	1
56	【野外】苍山除恶	20	-1	-1	-1	1
57	【野外】苍山除恶	20	-1	-1	-1	1
58	【野外】燕子坞除恶	30	-1	-1	-1	1
59	【野外】燕子坞除恶	30	-1	-1	-1	1
60	【野外】燕子坞除恶	30	-1	-1	-1	1
61	【野外】小镜湖除恶	35	-1	-1	-1	1
62	【野外】小镜湖除恶	35	-1	-1	-1	1
63	【野外】小镜湖除恶	35	-1	-1	-1	1
64	【野外】杏子林除恶	40	-1	-1	-1	1
65	【野外】杏子林除恶	40	-1	-1	-1	1
66	【野外】杏子林除恶	40	-1	-1	-1	1
67	【野外】聚贤庄除恶	40	-1	-1	-1	1
68	【野外】聚贤庄除恶	40	-1	-1	-1	1
69	【野外】聚贤庄除恶	40	-1	-1	-1	1
70	【野外】少室山除恶	45	-1	-1	-1	1
71	【野外】少室山除恶	45	-1	-1	-1	1
72	【野外】少室山除恶	45	-1	-1	-1	1
73	【野外】雁门关除恶	50	-1	-1	-1	1
74	【野外】雁门关除恶	50	-1	-1	-1	1
75	【野外】雁门关除恶	50	-1	-1	-1	1
76	【野外】敦煌除恶	55	-1	-1	-1	1
77	【野外】敦煌除恶	55	-1	-1	-1	1
78	【野外】敦煌除恶	55	-1	-1	-1	1
79	【野外】雪原除恶	60	-1	-1	-1	1
80	【野外】雪原除恶	60	-1	-1	-1	1
81	【野外】雪原除恶	60	-1	-1	-1	1
82	【野外】缥缈峰除恶	65	-1	-1	-1	1
83	【野外】缥缈峰除恶	65	-1	-1	-1	1
84	【野外】缥缈峰除恶	65	-1	-1	-1	1
85	【副本】燕子坞—普通	20	-1	-1	-1	1
86	【副本】燕王古墓—普通	30	-1	-1	-1	1
87	【副本】珍珑棋局—普通	20	-1	-1	-1	1
88	【副本】聚贤庄—普通	25	-1	-1	-1	1
89	【副本】少室山—普通	70	-1	-1	-1	1
90	【副本】藏经阁	25	-1	-1	-1	1
91	【强化】装备吸收	20	-1	-1	-1	1
92	【强化】装备打星	20	-1	-1	-1	1
93	【强化】装备镶嵌	20	-1	-1	-1	1
94	【竞技】江湖名人录	20	-1	-1	-1	1
95	【竞技】华山论剑	20	-1	-1	-1	1
96	【竞技】世界BOSS	50	-1	-1	-1	1
97	【竞技】命运收割	20	-1	-1	-1	1
98	【帮会】帮战	200	-1	-1	-1	1
99	【主】5帮忙	1	4	-1	-1	0
100	【主】6酒量	1	99	-1	-1	0
101	【主】9驭兽	1	6	-1	-1	0
102	【主】10豺肉	1	101	-1	-1	0
103	【主】18朋友	1	14	-1	-1	0
104	【主】19解渴	1	103	-1	-1	0
105	【主】30字牌	1	22	-1	-1	0
106	【主】约定1	1	209	-1	-1	0
107	【主】孽缘2	1	106	-1	-1	0
108	【主】生辰3	1	107	-1	-1	0
109	【主】拜师4	1	108	-1	-1	0
110	【主】威逼5	1	109	-1	-1	0
111	【主】溜走6	1	110	-1	-1	0
112	【主】援手7	1	111	-1	-1	0
113	【主】切磋8	1	112	-1	-1	0
114	【主】躲避9	1	113	-1	-1	0
115	【主】危难10	1	114	-1	-1	0
116	【主】求助11	1	115	-1	-1	0
117	【主】磨练12	1	116	-1	-1	0
118	【主】降怪13	1	117	-1	-1	0
119	【主】福源14	1	118	-1	-1	0
120	【主】解困15	1	119	-1	-1	0
121	【主】美景16	1	120	-1	-1	0
122	【主】威胁17	1	121	-1	-1	0
123	【主】丹药18	1	122	-1	-1	0
124	【主】爬塔19	1	123	-1	-1	0
125	【主】重入20	1	210	-1	-1	0
126	【主】提醒21	1	125	-1	-1	0
127	【主】挑衅22	1	126	-1	-1	0
128	【主】比武23	1	127	-1	-1	0
129	【主】参悟24	1	128	-1	-1	0
130	【主】焚烧25	1	129	-1	-1	0
131	【主】拜服26	1	130	-1	-1	0
132	【主】剑谱27	1	131	-1	-1	0
133	【主】挟持28	1	132	-1	-1	0
134	【主】寻路29	1	133	-1	-1	0
135	【主】冤屈30	1	134	-1	-1	0
136	【主】报答31	1	135	-1	-1	0
137	【主】恶奴32	1	136	-1	-1	0
138	【主】搭救33	1	137	-1	-1	0
139	【主】阿碧34	1	138	-1	-1	0
140	【主】警惕35	1	139	-1	-1	0
141	【主】阿朱36	1	140	-1	-1	0
142	【主】烦恼37	1	141	-1	-1	0
143	【主】美食38	1	142	-1	-1	0
144	【主】伪装39	1	143	-1	-1	0
145	【主】宝贝40	1	144	-1	-1	0
146	【主】告知41	1	145	-1	-1	0
147	【主】演戏42	1	146	-1	-1	0
148	【主】出手43	1	147	-1	-1	0
149	【主】【30-40】1教训	1	148	-1	-1	0
150	【主】2神兽	1	149	-1	-1	0
151	【主】3暂避	1	150	-1	-1	0
152	【主】4澄清	1	151	-1	-1	0
153	【主】5燕子坞	1	152	-1	-1	0
154	【主】6同门	1	153	-1	-1	0
155	【主】7门派	1	154	-1	-1	0
156	【主】8报仇	1	155	-1	-1	0
157	【主】9历练	1	156	-1	-1	0
158	【主】10秘笈	1	157	-1	-1	0
159	【主】11花肥	1	158	-1	-1	0
160	【主】12免罚	1	159	-1	-1	0
161	【主】13寻找	1	160	-1	-1	0
162	【主】14琅嬛	1	161	-1	-1	0
163	【主】15外界	1	162	-1	-1	0
164	【主】16招式	1	163	-1	-1	0
165	【主】17丐帮	1	164	-1	-1	0
166	【主】18剿匪	1	165	-1	-1	0
167	【主】19遗失	1	166	-1	-1	0
168	【主】20蹊跷	1	167	-1	-1	0
169	【主】21同行	1	168	-1	-1	0
170	【主】22平乱	1	169	-1	-1	0
171	【主】23帮主	1	170	-1	-1	0
172	【主】24不解	1	171	-1	-1	0
173	【主】25御敌	1	172	-1	-1	0
174	【主】26擒王	1	173	-1	-1	0
175	【主】27拉拢	1	174	-1	-1	0
176	【主】28高手	1	175	-1	-1	0
177	【主】29恐吓	1	176	-1	-1	0
178	【主】30劲敌	1	177	-1	-1	0
179	【主】31宝石	1	178	-1	-1	0
180	【主】32身世	1	179	-1	-1	0
181	【主】争辩33	1	180	-1	-1	0
182	【主】怒气34	1	181	-1	-1	0
183	【主】求证35	1	182	-1	-1	0
184	【主】神医36	1	183	-1	-1	0
185	【主】发帖37	1	184	-1	-1	0
186	【主】聚众38	1	185	-1	-1	0
187	【主】送信39	1	186	-1	-1	0
188	【主】奇冤40	1	187	-1	-1	0
189	【主】续命41	1	188	-1	-1	0
190	【主】犯险42	1	237	-1	-1	0
191	【主】担忧43	1	190	-1	-1	0
192	【主】托付44	1	191	-1	-1	0
193	【主】埋伏45	1	192	-1	-1	0
194	【主】牵挂46	1	193	-1	-1	0
195	【主】杀戮47	1	194	-1	-1	0
196	【主】医治48	1	195	-1	-1	0
197	【主】和尚49	1	196	-1	-1	0
198	【主】吃肉50	1	197	-1	-1	0
199	【主】无趣51	1	198	-1	-1	0
200	【主】寻乐52	1	199	-1	-1	0
201	【主】玄慈53	1	200	-1	-1	0
202	【主】秘密54	1	201	-1	-1	0
203	【主】疯癫55	1	202	-1	-1	0
204	【主】喝酒56	1	203	-1	-1	0
205	【主】帮派57	1	204	-1	-1	0
206	【支】入帮58	40	207	-1	-1	0
207	【主】日常59	1	205	-1	-1	0
208	【主】人质	1	34	-1	-1	0
209	【主】棋局	1	37	-1	-1	0
210	【主】渐进	1	124	-1	-1	0
211	【抽奖】每日抽奖	20	-1	-1	-1	1
212	【美人】亲密	10	-1	-1	-1	1
213	【伙伴】吸收	10	-1	-1	-1	1
214	【支】宝物	41	-1	-1	-1	0
215	【支】玄铁	41	214	-1	-1	0
216	【支】古墓	41	215	-1	-1	0
217	【支】合成	41	216	-1	-1	0
218	【主】精进	41	233	-1	-1	0
219	【主】打星	41	218	-1	-1	0
220	【主】而立	41	234	-1	-1	0
221	【主】魔头	50	220	-1	-1	0
222	【主】立德	50	220	-1	-1	0
223	【主】锄奸	55	222	-1	-1	0
224	【主】立言	55	235	-1	-1	0
225	【主】侠客	60	224	-1	-1	0
226	【主】立身	60	225	-1	-1	0
227	【主】不惑	65	226	-1	-1	0
228	【主】天命	70	227	-1	-1	0
229	【主】盟主	75	228	-1	-1	0
230	【主】耳顺	75	229	-1	-1	0
231	【主】从心	80	230	-1	-1	0
232	【主】所欲	85	231	-1	-1	0
233	【主】装备	41	207	-1	-1	0
234	【主】经验	41	241	-1	-1	0
235	【主】棋魂	55	242	-1	-1	0
236	【主】耕耘	30	-1	-1	-1	1
237	【主】丹药	1	189	-1	-1	0
238	【光棍节】表白	1	-1	-1	-1	1
239	【感恩节】仪式	1	-1	-1	-1	1
240	【感恩节】礼拜	1	239	-1	-1	1
241	【主】前行	41	219	-1	-1	0
242	【主】坚持	55	223	-1	-1	0
