Id	Desc	Name	IsShowSkillName	IsAutoSelectTar	IsMoveToTarInAutoCombat	Icon 	ProfessionId	IsNeedWeapon	PriorityAutoFight	SkillClass	UseType	IsMove	IsMoveBreak	IsSkillBreak	IsBreakBeAttacked	TargetType	SelLogic	IsPlayAttackSound	IsNeedStopEffectId
208	无	雪花六出	1	0	0	XueHuaLiuChu	1	1	1	1	0	0	0	1	0	3	1	0	-1
301	无	大理普攻	0	1	1	attack01	2	1	2	5	0	0	1	1	0	4	0	1	-1
302	无	暴雨梨花	1	0	1	BaoYuLiHua	2	1	3	9	0	0	0	0	0	4	2	0	34
303	无	一阳指	1	1	1	YiYangZhi	2	1	2	1	0	0	0	0	0	4	0	1	-1
304	无	六脉神剑	1	1	1	LiuMaiShenJian	2	1	3	33	0	0	1	1	0	4	0	0	-1
305	无	流星赶月	1	1	1	LiuXingGanYue	2	1	2	1	0	0	0	0	0	4	0	0	-1
306	无	画地为牢	1	0	0	HuaDiWeiLao	2	1	3	1	0	0	0	1	0	1	2	0	-1
307	无	以退为进	1	0	0	YiTuiWeiJin	2	1	-1	1	0	0	0	0	0	4	1	0	-1
308	无	无处遁形	1	1	1	WuSuoDunXing	2	1	1	1	0	0	0	1	0	4	1	0	-1
401	无	逍遥普攻	0	1	1	attack01	3	1	2	5	0	0	1	1	0	4	0	1	-1
402	无	毁天灭地	1	0	1	HuiTianMieDi	3	1	3	9	0	0	0	0	0	4	2	0	-1
403	无	小无相功	1	1	1	XiaoWuXiangGong	3	1	3	1	0	0	0	1	0	4	0	0	-1
404	无	祝融掌	1	1	1	ZhuRongZhang	3	1	3	33	0	1	0	1	0	4	1	1	21
405	无	北冥神功	1	1	1	BeiMingShenGong	3	1	2	1	0	0	0	1	0	4	0	0	-1
406	无	寒霜怒雪	1	0	1	HanShuangNuXue	3	1	3	33	0	0	1	1	0	4	1	0	69
407	无	凌波微步	1	0	0	LingBoWeiBu	3	1	-1	1	0	0	0	1	0	1	2	0	-1
408	无	寒冰镜	1	0	0	HanBingJing	3	1	1	1	0	0	0	1	0	1	2	0	-1
500	动物普攻	动物普攻	0	0	0	attack01	-1	0	-1	1	0	0	1	1	0	4	0	1	-1
501	爪击	爪击	1	0	0	huobanjineng_0_dongwu_zhuaji	-1	0	-1	1	0	0	0	1	0	4	0	0	-1
502	淬毒	淬毒	1	0	0	huobanjineng_01_dongwu_cuidu	-1	0	-1	1	0	0	0	1	0	4	0	0	-1
503	削铁	削铁	1	0	0	huobanjineng_02_dongwu_xiaotie	-1	0	-1	1	0	0	0	1	0	4	0	0	-1
504	横扫	横扫	1	0	0	huobanjineng_03_dongwu_hengsao	-1	0	-1	1	0	0	0	1	0	4	0	0	-1
505	阳炎	阳炎	1	0	0	huobanjineng_04_dongwu_yangyan	-1	0	-1	1	0	0	0	1	0	4	1	0	-1
506	咆哮	咆哮	1	0	0	huobanjineng_05_dongwu_paoxiao	-1	0	-1	1	0	0	0	1	0	1	0	0	-1
507	狂野	狂野	1	0	0	huobanjineng_06_dongwu_kuangye	-1	0	-1	1	0	0	0	1	0	1	0	0	-1
508	荆棘之狩	荆棘之狩	1	0	0	huobanjineng_07_dongwu_jinjizhishou	-1	0	-1	129	0	0	0	1	0	16	0	0	-1
509	熔炼之狩	熔炼之狩	1	0	0	huobanjineng_08_dongwu_ronglianzhishou	-1	0	-1	129	0	0	0	1	0	16	0	0	-1
510	群兽怒吼	群兽怒吼	1	0	0	huobanjineng_09_dongwu_qunshounuhou	-1	0	-1	1	0	0	0	1	0	1	0	0	-1
600	人型普攻	人型普攻	0	0	0	attack01	-1	0	-1	1	0	0	1	1	0	4	0	1	-1
601	借力	借力	1	0	0	huobanjineng_renxing_00_jieli	-1	0	-1	1	0	0	0	1	0	16	0	0	-1
602	御敌	御敌	1	0	0	huobanjineng_renxing_01_yudi	-1	0	-1	1	0	0	0	1	0	16	0	0	-1
603	疗伤	疗伤	1	0	0	huobanjineng_renxing_02_liaoshang	-1	0	-1	1	0	0	0	1	0	16	0	0	-1
604	霜瀑	霜瀑	1	0	0	huobanjineng_renxing_03_shuangpu	-1	0	-1	1	0	0	0	1	0	4	1	0	-1
605	看破	看破	1	0	0	huobanjineng_renxing_04_kanpo	-1	0	-1	1	0	0	0	1	0	16	0	0	-1
606	护主	护主	1	0	0	huobanjineng_renxing_05_huzhu	-1	0	-1	1	0	0	0	1	0	16	0	0	-1
607	绊足	绊足	1	0	0	huobanjineng_renxing_06_banzu	-1	0	-1	1	0	0	0	1	0	4	0	0	-1
608	碧波护体	碧波护体	1	0	0	huobanjineng_renxing_07_bibohuti	-1	0	-1	1	0	0	0	1	0	16	0	0	-1
609	郁兰芬芳	郁兰芬芳	1	0	0	huobanjineng_renxing_08_yulanfenfang	-1	0	-1	129	0	0	0	1	0	16	0	0	-1
610	般若心经	般若心经	1	0	0	huobanjineng_renxing_09_borexinjing	-1	0	-1	129	0	0	0	1	0	1	0	0	-1
701	聚贤庄BOSS1技能-千娇百媚	千娇百媚	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	1	0	-1
702	燕子坞-包不同	影乱	1	0	0	空	-1	0	-1	1	0	1	0	0	0	4	0	0	-1
703	燕子坞-风波恶	吕洞宾咬狗	1	0	0	空	-1	0	-1	1	0	0	1	0	0	4	2	0	-1
704	燕子坞-公冶乾	排山倒海	1	0	0	空	-1	0	-1	1	0	1	0	0	0	4	0	0	-1
705	燕子坞-公冶乾	迷踪步	1	0	0	空	-1	0	-1	1	0	1	0	0	0	4	0	0	-1
706	燕子坞-邓百川	石破惊天	1	0	0	空	-1	0	-1	1	0	0	1	0	0	4	1	0	-1
707	燕子坞-慕容复	移花接木	1	0	0	空	-1	0	-1	1	0	1	0	0	0	1	2	0	-1
708	聚贤庄BOSS1技能-蛇肠蝎心	蛇肠蝎心	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
709	聚贤庄BOSS2技能-盾击	盾击	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
710	聚贤庄BOSS2技能-盾旋	盾旋	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
711	聚贤庄BOSS3技能-袖里乾坤	袖里乾坤	1	0	0	空	-1	0	-1	33	0	0	0	0	0	4	1	0	-1
712	聚贤庄BOSS3技能-天竺佛指	天竺佛指	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
713	聚贤庄BOSS4技能-挑拨离间	挑拨离间	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
714	聚贤庄BOSS4技能-小人之心	小人之心	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
715	聚贤庄BOSS5技能-缠丝擒拿手	缠丝擒拿手	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
716	聚贤庄BOSS5技能-降龙十八掌	降龙十八掌	1	0	0	空	-1	0	-1	33	0	0	0	0	0	4	1	0	-1
800	师门技能1	自定义	0	0	0	shimenjineng01	-1	0	-1	66	2	0	0	0	0	1	2	0	-1
801	师门技能2	自定义	0	0	0	shimenjineng02	-1	0	-1	66	2	0	0	0	0	1	2	0	-1
802	师门技能3	自定义	0	0	0	shimenjineng06	-1	0	-1	66	2	0	0	0	0	1	2	0	-1
803	师门技能4	自定义	0	0	0	shimenjineng04	-1	0	-1	66	2	0	0	0	0	1	2	0	-1
804	师门技能5	自定义	1	0	0	shimenjineng05	-1	0	-1	66	2	0	0	0	0	1	2	0	-1
805	师门技能6	自定义	1	0	0	shimenjineng03	-1	0	-1	65	0	0	0	0	0	1	2	0	-1
723	世界BOSS技能1	生死符	1	0	0	HanShuangNuXue	-1	0	-1	1	0	0	1	0	0	1	2	0	-1
724	世界BOSS技能2	八荒六合唯我独尊	1	0	0	HanBingJing	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
725	苍山—刷出怪究极版	小无相功	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
726	聚贤庄BOSS1技能-千娇百媚	千娇百媚	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	1	0	-1
727	聚贤庄-金刚盾伤害	金刚盾伤害	0	0	0	空	-1	0	-1	1	0	0	0	0	0	4	1	0	-1
728	燕王古墓BOSS1-帝王之相	帝王之相	1	0	0	空	-1	0	-1	1	0	0	0	0	0	1	2	0	-1
729	燕王古墓BOSS2-权倾天下	权倾天下	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	1	0	-1
730	燕王古墓BOSS3-皇天厚土	皇天厚土	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	1	0	-1
731	燕王古墓BOSS4-奉天承运	奉天承运	1	0	0	空	-1	0	-1	1	0	0	0	0	0	1	2	0	-1
732	燕王古墓BOSS5-斗转星移	斗转星移	1	0	0	空	-1	0	-1	1	0	0	0	0	0	1	2	0	-1
733	少室山游坦之	易筋经	1	0	0	空	-1	0	-1	1	0	0	0	0	0	1	2	0	-1
734	少室山丁春秋	三笑逍遥散	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	1	0	-1
735	少室山丁春秋	腐尸无边	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	2	0	-1
736	少室山鸠摩智	血祭	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	2	0	-1
737	少室山鸠摩智	无相神功	1	0	0	空	-1	0	-1	1	0	0	0	0	0	1	2	0	-1
738	少室山慕容博	以彼之道还施彼身	1	0	0	空	-1	0	-1	1	0	0	0	0	0	1	2	0	-1
739	少室山慕容博	复国大业	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
740	少室山萧远山	大海无量	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	1	0	-1
741	少室山萧远山	袈裟伏魔功	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
901	世界地图传送技能	世界地图传送技能	0	0	0	-1	-1	0	-1	1	1	0	1	1	1	1	2	0	-1
902	切线专用传送技能	切线专用传送技能	0	0	0	-1	-1	0	-1	1	1	0	1	1	1	1	2	0	-1
903	结婚播放动作技能	结婚播放动作技能	0	0	0	-1	-1	0	-1	1	1	0	1	0	0	1	2	0	-1
904	燕子坞分身	特殊普攻	0	0	0	空	-1	0	-1	1	0	0	0	0	0	4	0	0	-1
905	雁门关BOSS	斗转星移	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	1	0	-1
906	少室山萧远山	大海无量	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	1	0	-1
907	少室山萧远山	大海无量	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	1	0	-1
908	少室山萧远山	大海无量	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	1	0	-1
909	珍珑棋局-段延庆-段家剑	段家剑	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	1	0	-1
910	珍珑棋局-苏星河-天鉴神功	天鉴神功	1	0	0	空	-1	0	-1	1	0	0	0	0	0	4	1	0	-1
911	珍珑棋局-远古棋魂-落雷	落雷	1	0	0	空	-1	0	-1	1	0	0	0	0	0	1	2	0	-1
