Index	Desc	RankType	PosMin	PosMax	StartTime	EndTime	TitleId	Money	BindYuanBao	Reputation	RewardDesc
61	金币榜第一	15	1	1	1	9999	62	0	0	0	3196
62	金币榜第二	15	2	2	1	9999	63	0	0	0	3196
63	金币榜第三	15	3	3	1	9999	64	0	0	0	3196
64	金币榜前列	15	4	20	1	9999	65	0	0	0	3196
65	金币榜上榜	15	21	100	1	9999	66	0	0	0	3196
66	充值榜第一	-1	1	1	1	9999	67	0	0	0	3196
67	充值榜第二	-1	2	2	1	9999	68	0	0	0	3196
68	充值榜第三	-1	3	3	1	9999	69	0	0	0	3196
69	充值榜前列	-1	4	20	1	9999	70	0	0	0	3196
70	充值榜上榜	-1	21	100	1	9999	71	0	0	0	3196
71	消费榜第一	17	1	1	1	9999	72	0	0	0	3196
72	消费榜第二	17	2	2	1	9999	73	0	0	0	3196
73	消费榜第三	17	3	3	1	9999	74	0	0	0	3196
74	消费榜前列	17	4	20	1	9999	75	0	0	0	3196
75	消费榜上榜	17	21	100	1	9999	76	0	0	0	3196
76	宗师榜第一	16	1	1	1	9999	77	0	0	0	3196
77	宗师榜第二	16	2	2	1	9999	78	0	0	0	3196
78	宗师榜第三	16	3	3	1	9999	79	0	0	0	3196
79	宗师榜前列	16	4	20	1	9999	80	0	0	0	3196
80	宗师榜上榜	16	21	100	1	9999	81	0	0	0	3196
81	活跃榜第一	22	1	1	1	9999	91	0	100	0	3260
82	活跃榜第二	22	2	2	1	9999	92	0	60	0	3261
83	活跃榜第三	22	3	3	1	9999	93	0	30	0	3262
84	活跃榜前列	22	4	20	1	9999	94	0	0	0	3196
85	活跃榜上榜	22	21	100	1	9999	95	0	0	0	3196
