Id	Desc	Name	FullPathName	PanLevel	Volume	MinDistance	Spread	IsLoop	Delay	FadeInTime	FadeOutTime	CurMaxPlayingCount	Priority
69	大理技能-一阳指	sk2yyz_dali	Sounds/Skill/sk2yyz_dali	0.5	1	20	180	0	0	-1	-1	1	128
70	少林技能-罗汉棍	sk3dg_shaolin	Sounds/Skill/sk3dg_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
71	逍遥技能-单攻-北冥神功	sk3dg_xiaoyao	Sounds/Skill/sk3dg_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
72	大理技能-无所遁形	sk3wsdx_dali	Sounds/Skill/sk3wsdx_dali	0.5	1	20	180	0	0	-1	-1	1	128
73	天山技能-折梅手	sk3zms_tianshan	Sounds/Skill/sk3zms_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
74	少林技能-践踏	sk4cf_shaolin	Sounds/Skill/sk4cf_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
75	大理技能-六脉神剑	sk4lmsj_dali	Sounds/Skill/sk4lmsj_dali	0.5	1	20	180	0	0	-1	-1	1	128
76	少林技能-xpg第一段	sk4xpg1_shaolin	Sounds/Skill/sk4xpg1_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
77	逍遥技能-XP技1	sk4xpg1_xiaoyao	Sounds/Skill/sk4xpg1_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
78	少林技能-xpg第二段	sk4xpg2_shaolin	Sounds/Skill/sk4xpg2_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
79	逍遥技能-XP技2	sk4xpg2_xiaoyao	Sounds/Skill/sk4xpg2_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
80	少林技能-xpg第三段	sk4xpg3_shaolin	Sounds/Skill/sk4xpg3_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
81	逍遥技能-XP技3	sk4xpg3_xiaoyao	Sounds/Skill/sk4xpg3_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
82	逍遥技能-小无相功	sk4xwxg_xiaoyao	Sounds/Skill/sk4xwxg_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
83	天山技能-移花接木	sk4yh_tianshan	Sounds/Skill/sk4yh_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
84	逍遥技能-寒霜怒雪1	sk5hsnx1_xiaoyao	Sounds/Skill/sk5hsnx1_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
85	逍遥技能-寒霜怒雪2	sk5hsnx2_xiaoyao	Sounds/Skill/sk5hsnx2_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
86	天山技能-生死符	sk5ssf_tianshan	Sounds/Skill/sk5ssf_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
87	大理技能-XP1	sk5xp1_dali	Sounds/Skill/sk5xp1_dali	0.5	1	20	180	0	0	-1	-1	1	128
88	天山技能-XP技1	sk5xp1_tianshan	Sounds/Skill/sk5xp1_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
89	天山技能-XP技2	sk5xp2_tianshan	Sounds/Skill/sk5xp2_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
90	大理技能-XP3	sk5xp3_dali	Sounds/Skill/sk5xp3_dali	0.5	1	20	180	0	0	-1	-1	1	128
91	天山技能-XP技3	sk5xp3_tianshan	Sounds/Skill/sk5xp3_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
92	少林技能-瞬移攻击-迦叶功	sk5xy_shaolin	Sounds/Skill/sk5xy_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
93	少林技能-瞬移音效	sk5xy2_shaolin	Sounds/Skill/sk5xy2_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
94	逍遥技能-寒冰镜	sk6hbj_xiaoyao	Sounds/Skill/sk6hbj_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
95	少林技能-狮吼功	sk6shg_shaolin	Sounds/Skill/sk6shg_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
96	天山技能-雪花六出	sk6xhlc_tianshan	Sounds/Skill/sk6xhlc_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
97	大理技能-以退为进	sk6ytwj_dali	Sounds/Skill/sk6ytwj_dali	0.5	1	20	180	0	0	-1	-1	1	128
98	大理技能-画地为牢	sk7hdwl_dali	Sounds/Skill/sk7hdwl_dali	0.5	1	20	180	0	0	-1	-1	1	128
99	少林技能-金钟罩	sk7jzz_shaolin	Sounds/Skill/sk7jzz_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
100	逍遥技能-凌波微步1	sk7lbwb1_xiaoyao	Sounds/Skill/sk7lbwb1_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
101	天山技能-隐遁	sk7yd_tianshan	Sounds/Skill/sk7yd_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
102	大理技能-流星赶月	sk8lxgy_dali	Sounds/Skill/sk8lxgy_dali	0.5	1	20	180	0	0	-1	-1	1	128
103	主界面UI	ui_common_click	Sounds/UI/common_click	0.5	1	20	180	0	0	-1	-1	1	128
104	登陆界面左右旋转UI	ui_login_click	Sounds/UI/login_click	0.5	1	20	180	0	0	-1	-1	1	128
105	登陆界面进入游戏	ui_login_enter	Sounds/UI/login_enter	0.5	1	20	180	0	0	-1	-1	1	128
106	战斗力提醒弹出音效	upgrading	Sounds/UI/upgrading	0.5	1	20	180	0	0	-1	-1	1	128
107	雁门关外黑衣人对打	ymgw_hyr	Sounds/Common/ymgw_hyr	0.5	1	20	180	0	0	-1	-1	1	128
108	雁门关外轻功	ymgw_qg	Sounds/Common/ymgw_qg	0.5	1	20	180	0	0	-1	-1	1	128
109	监狱场景	scene_jianyu	Sounds/SceneBG/jianyu	0	0.5	10	180	1	0	0.5	0.5	1	128
110	购买宝石/玄铁/打星石	buy_gem	Sounds/UI/buy_gem	0.5	1	20	180	0	0	-1	-1	1	128
111	购买打造图/技能书	buy_paper	Sounds/UI/buy_paper	0.5	1	20	180	0	0	-1	-1	1	128
112	购买（药品商店）所有药品/（商城）XX丹	buy_drug	Sounds/UI/buy_drug	0.5	1	20	180	0	0	-1	-1	1	128
113	创建角色-少林	login_shaolin	Sounds/Skill/login_shaolin	0.5	1	20	180	0	0	-1	-1	1	128
114	创建角色-天山	login_tianshan	Sounds/Skill/login_tianshan	0.5	1	20	180	0	0	-1	-1	1	128
115	创建角色-大理	login_dali	Sounds/Skill/login_dali	0.5	1	20	180	0	0	-1	-1	1	128
116	创建角色-逍遥	login_xiaoyao	Sounds/Skill/login_xiaoyao	0.5	1	20	180	0	0	-1	-1	1	128
117	开宝箱特效（抽伙伴、摇奖）	box	Sounds/UI/box	0.5	1	20	180	0	0	-1	-1	1	128
118	酒楼结账	check	Sounds/UI/check	0.5	1	20	180	0	0	-1	-1	1	128
119	虎头战船	scene_hutouzhanchuan	Sounds/SceneBG/hutouzhanchuan	0	0.5	10	180	1	0	0.5	0.5	1	128
120	狮子的脚步声	footsteps_shizi	Sounds/Common/footsteps_shizi	0.5	0.4	20	180	0	0	-1	-1	1	128
121	麒麟脚步声	footsteps_qilin	Sounds/Common/footsteps_qilin	0.5	0.4	20	180	0	0	-1	-1	1	128
122	马车脚步声	footsteps_mache	Sounds/Common/footsteps_mache	0.5	0.4	20	180	0	0	-1	-1	1	128
123	笨雕的脚步声	footsteps_bendiao	Sounds/Common/footsteps_bendiao	0.5	0.4	20	180	0	0	-1	-1	1	128
124	创建角色-少林2	login_shaolin2	Sounds/Skill/login_shaolin2	0.5	1	20	180	0	0	-1	-1	1	128
125	创建角色-天山2	login_tianshan2	Sounds/Skill/login_tianshan2	0.5	1	20	180	0	0	-1	-1	1	128
126	创建角色-大理2	login_dali2	Sounds/Skill/login_dali2	0.5	1	20	180	0	0	-1	-1	1	128
127	创建角色-逍遥2	login_xiaoyao2	Sounds/Skill/login_xiaoyao2	0.5	1	20	180	0	0	-1	-1	1	128
128	二级界面展开UI	open2	Sounds/UI/open2	0.5	1	20	180	0	0	-1	-1	1	128
129	摇钱树	cointree	Sounds/UI/cointree	0.5	1	20	180	0	0	-1	-1	1	128
130	抽奖转盘	lottery	Sounds/UI/lottery	0.5	1	20	180	0	0	-1	-1	1	128
131	开宝箱后分发卡牌	card	Sounds/UI/card	0.5	1	20	180	0	0	-1	-1	10	128
132	抽奖转盘(10连抽)	lottery10	Sounds/UI/lottery10	0.5	1	20	180	0	0	-1	-1	1	128
133	开宝箱后分发卡牌(高品质奖品)	card_best	Sounds/UI/card_best	0.5	1	20	180	0	0	-1	-1	10	128
134	酒楼制作这道菜按钮	serving	Sounds/UI/serving	0.5	1	20	180	0	0	-1	-1	10	128
135	伙伴抽取	yes	Sounds/UI/yes	0.5	1	20	180	0	0	-1	-1	10	128
136	日常任务完成	get_reward	Sounds/UI/get_reward	0.5	1	20	180	0	0	-1	-1	10	128
137	琅嬛福地场景	scene_lhfd	Sounds/SceneBG/lhfd	0	1	10	180	1	0	0.5	0.5	1	128
138	美人亲密	kiss	Sounds/UI/kiss	0.5	1	20	180	0	0	-1	-1	1	128
139	雁门关boss普攻	pg_mmr	Sounds/Skill/pg_mmr	0.5	1	20	180	0	0	-1	-1	1	128
140	雁门关boss技能	skill_mmr	Sounds/Skill/skill_mmr	0.5	1	20	180	0	0	-1	-1	1	128
141	技能升级	skill_levelup	Sounds/UI/skill_levelup	0.5	1	20	180	0	0	-1	-1	1	128
142	美人情缘	belle	Sounds/UI/belle	0.5	1	20	180	0	0	-1	-1	1	128
143	普通UI点击	tab_click	Sounds/UI/tab_click	0.5	1	20	180	0	0	-1	-1	1	128
144	装备	cloth	Sounds/UI/cloth	0.5	1	20	180	0	0	-1	-1	1	128
145	二级界面展开UI	open1	Sounds/UI/open1	0.5	1	20	180	0	0	-1	-1	1	128
146	熊猫的脚步声	footsteps_xiongmao	Sounds/Common/footsteps_xiongmao	0.5	0.4	20	180	0	0	-1	-1	1	128
