Id	Desc	TabIndex	ItemType	ItemID	Num	PriceWeek	SaleWeek	PriceMonth	SaleMonth	PriceForever	SaleForever
29	削铁激活书	1	0	4502	1	90	-1	90	-1	90	-1
30	横扫激活书	1	0	4503	1	180	-1	180	-1	180	-1
31	阳炎激活书	1	0	4504	1	180	-1	180	-1	180	-1
32	咆哮激活书	1	0	4505	1	300	-1	300	-1	300	-1
33	狂野激活书	1	0	4506	1	300	-1	300	-1	300	-1
34	借力激活书	1	0	4510	1	90	-1	90	-1	90	-1
35	御敌激活书	1	0	4511	1	90	-1	90	-1	90	-1
36	疗伤激活书	1	0	4512	1	90	-1	90	-1	90	-1
37	霜瀑激活书	1	0	4513	1	180	-1	180	-1	180	-1
38	看破激活书	1	0	4514	1	180	-1	180	-1	180	-1
39	护主激活书	1	0	4515	1	300	-1	300	-1	300	-1
40	绊足激活书	1	0	4516	1	300	-1	300	-1	300	-1
41	铜钥匙	3	0	9501	1	12	-1	12	-1	12	-1
42	银钥匙	3	0	52197	1	45	-1	45	-1	45	-1
43	金钥匙	3	0	52198	1	420	-1	420	-1	420	-1
44	千里传音	3	0	4031	1	10	-1	10	-1	10	-1
45	千里传音	3	0	4031	10	90	-1	90	-1	90	-1
46	清心丹	3	0	4084	1	20	-1	20	-1	20	-1
47	结婚戒指 - 一见倾心	3	0	48	1	1998	-1	1998	-1	1998	-1
48	雾影寻踪	3	0	59	1	-1	-1	-1	-1	20	-1
49	朱红灵珠	3	0	4001	1	-1	-1	-1	-1	60	-1
50	赤红灵珠	3	0	4002	1	-1	-1	-1	-1	90	-1
51	绯红灵珠	3	0	4003	1	-1	-1	-1	-1	120	-1
52	湖蓝灵珠	3	0	4006	1	-1	-1	-1	-1	60	-1
53	湛蓝灵珠	3	0	4007	1	-1	-1	-1	-1	90	-1
54	碧蓝灵珠	3	0	4008	1	-1	-1	-1	-1	120	-1
55	40级戒指打造图	3	0	2000	1	5	-1	5	-1	5	-1
56	60级戒指打造图	3	0	2001	1	15	-1	15	-1	15	-1
57	80级戒指打造图	3	0	2002	1	25	-1	25	-1	25	-1
58	100级戒指打造图	3	0	2003	1	50	-1	50	-1	50	-1
59	40级护符打造图	3	0	2006	1	5	-1	5	-1	5	-1
60	60级护符打造图	3	0	2007	1	15	-1	15	-1	15	-1
61	80级护符打造图	3	0	2008	1	25	-1	25	-1	25	-1
62	100级护符打造图	3	0	2009	1	50	-1	50	-1	50	-1
63	40级药品秘方	3	0	2039	1	5	-1	5	-1	5	-1
64	60级药品秘方	3	0	2040	1	15	-1	15	-1	15	-1
65	80级药品秘方	3	0	2041	1	25	-1	25	-1	25	-1
66	100级药品秘方	3	0	2042	1	50	-1	50	-1	50	-1
67	资质重洗丹	1	0	4601	1	10	-1	10	-1	10	-1
68	红马（7日）	2	0	56517	1	-1	-1	-1	-1	150	-1
69	红马（30日）	2	0	56518	1	-1	-1	-1	-1	350	-1
70	红马（永久）	2	0	56519	1	-1	-1	-1	-1	1200	-1
71	狮子7	2	0	59039	1	-1	-1	-1	-1	300	-1
72	狮子30	2	0	59040	1	-1	-1	-1	-1	700	-1
73	狮子永久	2	0	59041	1	-1	-1	-1	-1	2400	-1
74	碧水麒麟7	2	0	59042	1	-1	-1	-1	-1	450	-1
75	碧水麒麟30	2	0	59043	1	-1	-1	-1	-1	1050	-1
76	碧水麒麟永久	2	0	59044	1	-1	-1	-1	-1	3600	-1
77	9级生命宝石	4	0	8009	1	52380	-1	52380	-1	52380	-1
78	9级法力宝石	4	0	8209	1	52380	-1	52380	-1	52380	-1
79	9级物攻宝石	4	0	8309	1	52380	-1	52380	-1	52380	-1
80	9级法攻宝石	4	0	8409	1	52380	-1	52380	-1	52380	-1
81	9级物防宝石	4	0	8509	1	52380	-1	52380	-1	52380	-1
82	9级法防宝石	4	0	8609	1	52380	-1	52380	-1	52380	-1
83	9级命中宝石	4	0	8709	1	52380	-1	52380	-1	52380	-1
84	9级闪避宝石	4	0	8809	1	52380	-1	52380	-1	52380	-1
85	9级暴击宝石	4	0	8909	1	52380	-1	52380	-1	52380	-1
86	9级暴抗宝石	4	0	9009	1	52380	-1	52380	-1	52380	-1
87	10级生命宝石	4	0	8010	1	157140	-1	157140	-1	157140	-1
88	10级法力宝石	4	0	8210	1	157140	-1	157140	-1	157140	-1
89	10级物攻宝石	4	0	8310	1	157140	-1	157140	-1	157140	-1
90	10级法攻宝石	4	0	8410	1	157140	-1	157140	-1	157140	-1
91	10级物防宝石	4	0	8510	1	157140	-1	157140	-1	157140	-1
92	10级法防宝石	4	0	8610	1	157140	-1	157140	-1	157140	-1
93	10级命中宝石	4	0	8710	1	157140	-1	157140	-1	157140	-1
94	10级闪避宝石	4	0	8810	1	157140	-1	157140	-1	157140	-1
95	10级暴击宝石	4	0	8910	1	157140	-1	157140	-1	157140	-1
96	10级暴抗宝石	4	0	9010	1	157140	-1	157140	-1	157140	-1
97	11级生命宝石	4	0	8011	1	471420	-1	471420	-1	471420	-1
98	11级法力宝石	4	0	8211	1	471420	-1	471420	-1	471420	-1
99	11级物攻宝石	4	0	8311	1	471420	-1	471420	-1	471420	-1
100	11级法攻宝石	4	0	8411	1	471420	-1	471420	-1	471420	-1
101	11级物防宝石	4	0	8511	1	471420	-1	471420	-1	471420	-1
102	11级法防宝石	4	0	8611	1	471420	-1	471420	-1	471420	-1
103	11级命中宝石	4	0	8711	1	471420	-1	471420	-1	471420	-1
104	11级闪避宝石	4	0	8811	1	471420	-1	471420	-1	471420	-1
105	11级暴击宝石	4	0	8911	1	471420	-1	471420	-1	471420	-1
106	11级暴抗宝石	4	0	9011	1	471420	-1	471420	-1	471420	-1
107	12级生命宝石	4	0	8012	1	1414260	-1	1414260	-1	1414260	-1
108	12级法力宝石	4	0	8212	1	1414260	-1	1414260	-1	1414260	-1
109	12级物攻宝石	4	0	8312	1	1414260	-1	1414260	-1	1414260	-1
110	12级法攻宝石	4	0	8412	1	1414260	-1	1414260	-1	1414260	-1
111	12级物防宝石	4	0	8512	1	1414260	-1	1414260	-1	1414260	-1
112	12级法防宝石	4	0	8612	1	1414260	-1	1414260	-1	1414260	-1
113	12级命中宝石	4	0	8712	1	1414260	-1	1414260	-1	1414260	-1
114	12级闪避宝石	4	0	8812	1	1414260	-1	1414260	-1	1414260	-1
115	12级暴击宝石	4	0	8912	1	1414260	-1	1414260	-1	1414260	-1
116	12级暴抗宝石	4	0	9012	1	1414260	-1	1414260	-1	1414260	-1
117	小烟花	3	0	59077	1	-1	-1	-1	-1	8	-1
118	小烟花	3	0	59078	1	-1	-1	-1	-1	8	-1
119	小烟花	3	0	59079	1	-1	-1	-1	-1	8	-1
120	中烟花	3	0	59080	1	-1	-1	-1	-1	88	-1
121	中烟花	3	0	59081	1	-1	-1	-1	-1	88	-1
122	大烟花	3	0	59082	1	-1	-1	-1	-1	888	-1
