Id	Desc	Name	Icon	ModelId	FakeObjId	ClassId	CallLevel	AttackType	FirstSkillId	Attack	Hit	Critical	Guard	Bless	AttackAdd_White	AttackAdd_Green	AttackAdd_Blue	AttackAdd_Purple	AttackAdd_Orange	HitAdd_White	HitAdd_Green	HitAdd_Blue	HitAdd_Purple	HitAdd_Orange	CriticalAdd_White	CriticalAdd_Green	CriticalAdd_Blue	CriticalAdd_Purple	CriticalAdd_Orange	GuardAdd_White	GuardAdd_Green	GuardAdd_Blue	GuardAdd_Purple	GuardAdd_Orange	BlessAdd_White	BlessAdd_Green	BlessAdd_Blue	BlessAdd_Purple	BlessAdd_Orange	ZzAttack_White	ZzHit_White	ZzCritical_White	ZzGuard_White	ZzBless_White	ZzAttack_Green	ZzHit_Green	ZzCritical_Green	ZzGuard_Green	ZzBless_Green	ZzAttack_Blue	ZzHit_Blue	ZzCritical_Blue	ZzGuard_Blue	ZzBless_Blue	ZzAttack_Purple	ZzHit_Purple	ZzCritical_Purple	ZzGuard_Purple	ZzBless_Purple	ZzAttack_Orange	ZzHit_Orange	ZzCritical_Orange	ZzGuard_Orange	ZzBless_Orange	MaxStarLevel_White	MaxStarLevel_Green	MaxStarLevel_Blue	MaxStarLevel_Purple	MaxStarLevel_Orange	ZzPoint_White	ZzPoint_Green	ZzPoint_Blue	ZzPoint_Purple	ZzPoint_Orange
7	狮	狮	shi	213	17	1	65	2	50002	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	16	8	16	0	0	27	11	33	0	0	53	31	69	0	0	110	38	132	0	0	4	5	7	9	11	1	1	1	1	1
8	进化狮	进化狮	jinhuashi	214	18	1	75	2	50002	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	18	9	18	0	0	30	13	26	0	0	58	35	76	0	0	120	41	144	0	0	5	6	8	10	12	1	1	1	1	1
9	穷奇（封测替代）	熊王	qiongqi	215	19	1	95	2	50002	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	100	100	100	100	100	34	13	41	0	0	63	39	83	0	0	130	44	156	0	0	5	6	8	10	12	1	1	1	1	1
10	钟灵	钟灵	zhongling	216	20	2	35	1	60001	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	3	0	0	6	6	7	4	0	13	13	15	8	0	33	33	26	14	0	70	70	2	3	5	7	9	1	1	1	1	1
11	甘宝宝	甘宝宝	ganbaobao	217	21	2	45	2	60002	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	4	0	0	8	8	8	5	0	16	16	19	10	0	38	38	29	16	0	80	80	3	4	6	8	10	1	1	1	1	1
12	马夫人	马夫人	kangmin	218	22	2	55	2	60002	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	5	0	0	10	10	10	6	0	19	19	23	12	0	43	43	32	18	0	90	90	3	4	6	8	10	1	1	1	1	1
13	木婉清	木婉清	muwanqing	219	23	2	65	1	60001	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	6	0	0	12	12	11	7	0	22	22	27	14	0	48	48	35	20	0	100	100	4	5	7	9	11	1	1	1	1	1
14	刀白凤	刀白凤	daobaifeng	220	24	2	75	2	60002	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	7	0	0	14	14	12	9	0	25	25	31	16	0	53	53	38	22	0	110	110	4	5	7	9	11	1	1	1	1	1
15	阿朱	阿朱	azhu	221	25	2	85	1	60001	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	8	0	0	16	16	14	9	0	28	28	35	18	0	58	58	41	24	0	120	120	5	6	8	10	12	1	1	1	1	1
16	王语嫣	王语嫣	wangyuyan	222	26	2	95	2	60002	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	9	0	0	18	18	16	10	0	31	31	39	20	0	63	63	44	26	0	130	130	5	6	8	10	12	1	1	1	1	1
17	穷奇	穷奇	qiongqi	259	27	1	95	1	50001	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	20	10	20	0	0	34	13	41	0	0	63	39	83	0	0	130	44	156	0	0	5	6	8	10	12	1	1	1	1	1
18	抽奖用	进化狼	jinhualang	208	12	1	15	1	50001	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	6	3	6	0	0	12	4	9	0	3	10	5	10	0	0	60	23	60	0	0	2	3	5	7	9	1	1	1	1	1
19	天山童姥	天山童姥	tianshantonglao	316	33	2	95	2	60002	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	9	0	0	18	18	16	10	0	31	31	39	20	0	63	63	44	26	0	130	130	5	6	8	10	12	1	1	1	1	1
20	秦红棉	秦红棉	qinhongmian	317	34	2	55	2	60002	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	5	0	0	10	10	10	6	0	19	19	23	12	0	43	43	32	18	0	90	90	3	4	6	8	10	1	1	1	1	1
21	阮星竹	阮星竹	ruanxingzhu	318	35	2	65	2	60002	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	6	0	0	12	12	11	7	0	22	22	27	14	0	48	48	35	20	0	100	100	4	5	7	9	11	1	1	1	1	1
22	阿碧	阿碧	abi	319	36	2	75	1	60001	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	7	0	0	14	14	12	9	0	25	25	31	16	0	53	53	38	22	0	110	110	4	5	7	9	11	1	1	1	1	1
23	阿紫	阿紫	azi	320	37	2	85	1	60001	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	8	0	0	16	16	14	9	0	28	28	35	18	0	58	58	41	24	0	120	120	5	6	8	10	12	1	1	1	1	1
24	李秋水	李秋水	liqiushui	321	38	2	95	1	60001	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	9	0	0	18	18	16	10	0	31	31	39	20	0	63	63	44	26	0	130	130	5	6	8	10	12	1	1	1	1	1
25	李青萝	李青萝	liqingluo	322	39	2	75	2	60002	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	7	0	0	14	14	12	9	0	25	25	31	16	0	53	53	38	22	0	110	110	4	5	7	9	11	1	1	1	1	1
26	西夏公主	西夏公主	xixiagongzhu	323	40	2	85	1	60001	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	8	0	0	16	16	14	9	0	28	28	35	18	0	58	58	41	24	0	120	120	5	6	8	10	12	1	1	1	1	1
27	闪电貂	闪电貂	shandiandiao	357	42	1	35	2	50002	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	10	5	10	0	0	18	7	20	0	0	38	19	48	0	0	80	29	96	0	0	3	4	6	8	10	1	1	1	1	1
28	阿翔	阿翔	diao	358	44	1	55	2	50002	100	6780	1875	185	185	1	2	3	17	17	30	30	30	0	0	40	40	40	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	16	8	16	0	0	27	11	33	0	0	53	31	69	0	0	110	38	132	0	0	4	5	7	9	11	1	1	1	1	1
30	火狐	火狐	huohu	373	49	1	55	2	50002	100	6780	1875	185	185	5	8	11	17	17	0	0	0	0	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	16	8	16	0	0	27	11	33	0	0	53	31	69	0	0	110	38	132	0	0	4	5	7	9	11	1	1	1	1	1
31	凤凰	凤凰	zuoqifenghuang	374	50	1	65	2	50002	100	6780	1875	185	185	5	8	11	17	17	0	0	0	0	0	0	0	0	0	0	9	9	9	9	9	9	9	9	9	9	0	0	0	0	0	18	9	18	0	0	30	13	26	0	0	58	35	76	0	0	120	41	144	0	0	5	6	8	10	12	1	1	1	1	1
