Id	Desc	FellowId	Quality	NormalWeight10	NormalWeight20	NormalWeight30	NormalWeight40	NormalWeight50	NormalWeight60	NormalWeight70	NormalWeight80	NormalWeight90	NormalWeight100	YuanBaoWeight10	YuanBaoWeight20	YuanBaoWeight30	YuanBaoWeight40	YuanBaoWeight50	YuanBaoWeight60	YuanBaoWeight70	YuanBaoWeight80	YuanBaoWeight90	YuanBaoWeight100
20	进化豹	4	4	0	167	167	167	167	167	167	167	167	167	0	0	0	167	167	167	167	167	167	167
21	虎	5	0	0	0	34020	34020	34020	34020	34020	34020	34020	34020	0	0	0	0	0	0	0	0	0	0
22	虎	5	1	0	0	967	967	967	967	967	967	967	967	0	0	0	0	0	0	0	0	0	0
23	虎	5	2	0	0	536	536	536	536	536	536	536	536	0	0	0	0	2680	2680	2680	2680	2680	2680
24	虎	5	3	0	0	246	246	246	246	246	246	246	246	0	0	0	0	738	738	738	738	738	738
25	虎	5	4	0	0	139	139	139	139	139	139	139	139	0	0	0	0	139	139	139	139	139	139
26	进化虎	6	0	0	0	0	29160	29160	29160	29160	29160	29160	29160	0	0	0	0	0	0	0	0	0	0
27	进化虎	6	1	0	0	0	829	829	829	829	829	829	829	0	0	0	0	0	0	0	0	0	0
28	进化虎	6	2	0	0	0	459	459	459	459	459	459	459	0	0	0	0	2295	2295	2295	2295	2295	2295
29	进化虎	6	3	0	0	0	211	211	211	211	211	211	211	0	0	0	0	663	663	663	663	663	663
30	进化虎	6	4	0	0	0	120	120	120	120	120	120	120	0	0	0	0	120	120	120	120	120	120
31	狮	7	0	0	0	0	0	25515	25515	25515	25515	25515	25515	0	0	0	0	0	0	0	0	0	0
32	狮	7	1	0	0	0	0	725	725	725	725	725	725	0	0	0	0	0	0	0	0	0	0
33	狮	7	2	0	0	0	0	402	402	402	402	402	402	0	0	0	0	2010	2010	2010	2010	2010	2010
34	狮	7	3	0	0	0	0	185	185	185	185	185	185	0	0	0	0	555	555	555	555	555	555
35	狮	7	4	0	0	0	0	105	105	105	105	105	105	0	0	0	0	105	105	105	105	105	105
36	进化狮	8	0	0	0	0	0	0	22680	22680	22680	22680	22680	0	0	0	0	0	0	0	0	0	0
37	进化狮	8	1	0	0	0	0	0	645	645	645	645	645	0	0	0	0	0	0	0	0	0	0
38	进化狮	8	2	0	0	0	0	0	357	357	357	357	357	0	0	0	0	1785	1785	1785	1785	1785	1785
39	进化狮	8	3	0	0	0	0	0	164	164	164	164	164	0	0	0	0	492	492	492	492	492	492
40	进化狮	8	4	0	0	0	0	0	93	93	93	93	93	0	0	0	0	93	93	93	93	93	93
41	熊王	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	熊王	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	熊王	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	熊王	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	熊王	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	钟灵	10	0	0	51030	51030	51030	51030	51030	51030	51030	51030	51030	0	0	0	0	0	0	0	0	0	0
47	钟灵	10	1	0	1450	1450	1450	1450	1450	1450	1450	1450	1450	0	0	0	0	0	0	0	0	0	0
48	钟灵	10	2	0	804	804	804	804	804	804	804	804	804	0	4020	4020	4020	4020	4020	4020	4020	4020	4020
49	钟灵	10	3	0	369	369	369	369	369	369	369	369	369	0	1107	1107	1107	1107	1107	1107	1107	1107	1107
50	钟灵	10	4	0	209	209	209	209	209	209	209	209	209	0	209	209	209	209	209	209	209	209	209
51	甘宝宝	11	0	0	0	40824	40824	40824	40824	40824	40824	40824	40824	0	0	0	0	0	0	0	0	0	0
52	甘宝宝	11	1	0	0	1160	1160	1160	1160	1160	1160	1160	1160	0	0	0	0	0	0	0	0	0	0
53	甘宝宝	11	2	0	0	643	643	643	643	643	643	643	643	0	0	3215	3215	3215	3215	3215	3215	3215	3215
54	甘宝宝	11	3	0	0	295	295	295	295	295	295	295	295	0	0	885	885	885	885	885	885	885	885
55	甘宝宝	11	4	0	0	167	167	167	167	167	167	167	167	0	0	167	167	167	167	167	167	167	167
56	马夫人	12	0	0	0	0	34020	34020	34020	34020	34020	34020	34020	0	0	0	0	0	0	0	0	0	0
57	马夫人	12	1	0	0	0	967	967	967	967	967	967	967	0	0	0	0	0	0	0	0	0	0
58	马夫人	12	2	0	0	0	536	536	536	536	536	536	536	0	0	0	2680	2680	2680	2680	2680	2680	2680
59	马夫人	12	3	0	0	0	246	246	246	246	246	246	246	0	0	0	738	738	738	738	738	738	738
60	马夫人	12	4	0	0	0	139	139	139	139	139	139	139	0	0	0	139	139	139	139	139	139	139
61	木婉清	13	0	0	0	0	0	20412	20412	20412	20412	20412	20412	0	0	0	0	0	0	0	0	0	0
62	木婉清	13	1	0	0	0	0	580	580	580	580	580	580	0	0	0	0	0	0	0	0	0	0
63	木婉清	13	2	0	0	0	0	321	321	321	321	321	321	0	0	0	0	2295	2295	2295	2295	2295	2295
64	木婉清	13	3	0	0	0	0	148	148	148	148	148	148	0	0	0	0	633	633	633	633	633	633
65	木婉清	13	4	0	0	0	0	84	84	84	84	84	84	0	0	0	0	120	120	120	120	120	120
66	穷奇	17	0	0	0	0	0	0	0	0	29160	29160	29160	0	0	0	0	0	0	0	0	0	0
67	穷奇	17	1	0	0	0	0	0	0	0	829	829	829	0	0	0	0	0	0	0	0	0	0
68	穷奇	17	2	0	0	0	0	0	0	0	459	459	459	0	0	0	0	0	0	0	1605	1605	1605
69	穷奇	17	3	0	0	0	0	0	0	0	211	211	211	0	0	0	0	0	0	0	444	444	444
70	穷奇	17	4	0	0	0	0	0	0	0	120	120	120	0	0	0	0	0	0	0	84	84	84
71	刀白凤	14	0	0	0	0	0	0	25515	25515	25515	25515	25515	0	0	0	0	0	0	0	0	0	0
72	刀白凤	14	1	0	0	0	0	0	725	725	725	725	725	0	0	0	0	0	0	0	0	0	0
73	刀白凤	14	2	0	0	0	0	0	402	402	402	402	402	0	0	0	0	0	2010	2010	2010	2010	2010
74	刀白凤	14	3	0	0	0	0	0	185	185	185	185	185	0	0	0	0	0	555	555	555	555	555
75	刀白凤	14	4	0	0	0	0	0	105	105	105	105	105	0	0	0	0	0	105	105	105	105	105
76	阿朱	15	0	0	0	0	0	0	0	22680	22680	22680	22680	0	0	0	0	0	0	0	0	0	0
77	阿朱	15	1	0	0	0	0	0	0	645	645	645	645	0	0	0	0	0	0	0	0	0	0
78	阿朱	15	2	0	0	0	0	0	0	357	357	357	357	0	0	0	0	0	0	1785	1785	1785	1785
79	阿朱	15	3	0	0	0	0	0	0	164	164	164	164	0	0	0	0	0	0	492	492	492	492
80	阿朱	15	4	0	0	0	0	0	0	93	93	93	93	0	0	0	0	0	0	93	93	93	93
81	王语嫣	16	0	0	0	0	0	0	0	0	20412	20412	20412	0	0	0	0	0	0	0	0	0	0
82	王语嫣	16	1	0	0	0	0	0	0	0	580	580	580	0	0	0	0	0	0	0	0	0	0
83	王语嫣	16	2	0	0	0	0	0	0	0	321	321	321	0	0	0	0	0	0	0	1650	1650	1650
84	王语嫣	16	3	0	0	0	0	0	0	0	148	148	148	0	0	0	0	0	0	0	444	444	444
85	王语嫣	16	4	0	0	0	0	0	0	0	84	84	84	0	0	0	0	0	0	0	84	84	84
86	天山童姥	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	天山童姥	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	天山童姥	19	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	天山童姥	19	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	天山童姥	19	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	秦红棉	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	秦红棉	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	秦红棉	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	秦红棉	20	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	秦红棉	20	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	阮星竹	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	阮星竹	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	阮星竹	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	阮星竹	21	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	阮星竹	21	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	阿碧	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	阿碧	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	阿碧	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	阿碧	22	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	阿碧	22	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	阿紫	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	阿紫	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	阿紫	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	阿紫	23	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	阿紫	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	李秋水	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	李秋水	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	李秋水	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	李秋水	24	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	李秋水	24	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	李青萝	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	李青萝	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	李青萝	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	李青萝	25	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	李青萝	25	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	西夏公主	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	西夏公主	26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	西夏公主	26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	西夏公主	26	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	西夏公主	26	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
